CONIDX,CONJPOS,PRESSURE,DATE,WELL,CONKPOS,SWAT,DRAWDOWN,CONIPOS,SGAS,DEPTH,WELLMODEL,CONBPRES
16,49,283.0136413574219,2018-09-12,R_A4,2,0.23083272576332092,0,35,0.0,1641.97314453125,STANDARD,283.0136413574219
17,49,282.8907165527344,2018-09-12,R_A4,1,0.2230270504951477,0,35,0.0,1640.1248779296875,STANDARD,282.8907165527344
18,49,280.6876525878906,2018-09-12,R_A4,30,0.10263185203075409,0,36,0.0,1646.9852294921875,STANDARD,280.6876525878906
19,48,279.91387939453125,2018-09-12,R_A4,30,0.06455656886100769,0,36,0.0,1638.96240234375,STANDARD,279.91387939453125
20,48,280.9340515136719,2018-09-12,R_A4,30,0.19653835892677307,0,37,0.0,1649.739990234375,STANDARD,280.9340515136719
21,48,279.91607666015625,2018-09-12,R_A4,29,0.9999960064888,0,37,0.0,1643.889892578125,STANDARD,279.91607666015625
22,48,281.9115295410156,2018-09-12,R_A4,29,0.749825656414032,0,38,0.0,1654.09716796875,STANDARD,281.9115295410156
23,47,281.1040344238281,2018-09-12,R_A4,29,0.38423582911491394,0,38,0.0,1650.629638671875,STANDARD,281.1040344238281
1,42,272.31109619140625,2018-11-07,R_A6,1,1.0,0,17,-2.9940388576975014e-16,1694.989013671875,STANDARD,272.31109619140625
2,42,272.453857421875,2018-11-07,R_A6,2,1.0,0,17,-1.5004796907871825e-16,1696.5438232421875,STANDARD,272.453857421875
3,42,272.59246826171875,2018-11-07,R_A6,3,1.0,0,17,-1.1819489805052626e-16,1698.0986328125,STANDARD,272.59246826171875
4,42,272.72637939453125,2018-11-07,R_A6,4,1.0,0,17,-9.552310830519925e-17,1699.6534423828125,STANDARD,272.72637939453125
5,42,272.85748291015625,2018-11-07,R_A6,5,1.0,0,17,-1.3972243892834132e-16,1701.208251953125,STANDARD,272.85748291015625
