CONIDX,SGAS,WELLMODEL,DRAWDOWN,DATE,SWAT,DEPTH,CONJPOS,PRESSURE,CONIPOS,CONBPRES,CONKPOS,WELL
11,0.0,STANDARD,0,2018-09-12,0.060078538954257965,1638.3441162109375,50,280.6534118652344,33,280.6534118652344,4,R_A4
12,0.0,STANDARD,0,2018-09-12,0.062400344759225845,1639.6422119140625,50,280.7411804199219,34,280.7411804199219,4,R_A4
13,0.0,STANDARD,0,2018-09-12,0.060128580778837204,1637.651123046875,50,280.6083068847656,34,280.6083068847656,3,R_A4
14,0.0,STANDARD,0,2018-09-12,0.060413673520088196,1638.8970947265625,50,280.6579895019531,35,280.6579895019531,3,R_A4
15,0.0,STANDARD,0,2018-09-12,0.06190555915236473,1640.85546875,50,280.7886047363281,35,280.7886047363281,4,R_A4
16,0.0,STANDARD,0,2018-09-12,0.10118567198514938,1641.9815673828125,49,280.73028564453125,35,280.73028564453125,4,R_A4
17,0.0,STANDARD,0,2018-09-12,0.12603703141212463,1646.17529296875,49,277.1091613769531,36,277.1091613769531,30,R_A4
18,0.0,STANDARD,0,2018-09-12,0.23265263438224792,1640.486083984375,49,276.8913879394531,36,276.8913879394531,29,R_A4
19,0.0,STANDARD,0,2018-09-12,0.2441265732049942,1643.0308837890625,48,275.9796447753906,36,275.9796447753906,29,R_A4
20,0.0,STANDARD,0,2018-09-12,0.25004082918167114,1650.1591796875,48,276.99267578125,37,276.99267578125,29,R_A4
21,-1.8020761549664144e-09,STANDARD,0,2018-09-12,0.9999999403953552,1644.7486572265625,48,280.0804138183594,37,280.0804138183594,28,R_A4
22,0.0,STANDARD,0,2018-09-12,0.6703488826751709,1651.4033203125,48,279.6219482421875,38,279.6219482421875,28,R_A4
23,0.0,STANDARD,0,2018-09-12,0.6502028107643127,1659.56005859375,47,277.62738037109375,38,277.62738037109375,28,R_A4
1,2.0022410976147447e-16,STANDARD,0,2018-11-07,1.0,1694.303466796875,42,277.9302673339844,17,277.9302673339844,1,R_A6
2,7.868687925808684e-18,STANDARD,0,2018-11-07,1.0,1695.833984375,42,278.07366943359375,17,278.07366943359375,2,R_A6
3,6.288625304093061e-18,STANDARD,0,2018-11-07,1.0,1697.3643798828125,42,278.21429443359375,17,278.21429443359375,3,R_A6
4,4.560124294274184e-18,STANDARD,0,2018-11-07,1.0,1698.8948974609375,42,278.3515319824219,17,278.3515319824219,4,R_A6
5,7.494728669860199e-18,STANDARD,0,2018-11-07,1.0,1700.42529296875,42,278.4870300292969,17,278.4870300292969,5,R_A6
6,2.9853649756198214e-16,STANDARD,0,2018-11-07,1.0,1701.9556884765625,42,278.625732421875,17,278.625732421875,6,R_A6
7,4.447395193953171e-16,STANDARD,0,2018-11-07,1.0,1703.4862060546875,42,278.4725646972656,17,278.4725646972656,7,R_A6
8,2.617957287907776e-16,STANDARD,0,2018-11-07,1.0,1705.0166015625,42,278.62225341796875,17,278.62225341796875,8,R_A6
