CONIPOS,CONBPRES,DATE,CONJPOS,CONIDX,DRAWDOWN,DEPTH,SWAT,WELLMODEL,CONKPOS,PRESSURE,WELL,SGAS
22,300.82830810546875,2018-01-01,30,1,0,1642.5076904296875,0.05520801246166229,STANDARD,1,300.82830810546875,R_A2,0.0
22,300.94671630859375,2018-01-01,30,2,0,1644.2735595703125,0.057163938879966736,STANDARD,2,300.94671630859375,R_A2,0.0
22,301.06512451171875,2018-01-01,30,3,0,1646.039306640625,0.06219139322638512,STANDARD,3,301.06512451171875,R_A2,0.0
22,301.18353271484375,2018-01-01,30,4,0,1647.80517578125,0.06707394868135452,STANDARD,4,301.18353271484375,R_A2,0.0
22,301.3019714355469,2018-01-01,30,5,0,1649.571044921875,0.06872743368148804,STANDARD,5,301.3019714355469,R_A2,0.0
22,301.4203796386719,2018-01-01,30,6,0,1651.3367919921875,0.31804728507995605,STANDARD,6,301.4203796386719,R_A2,0.0
22,301.538818359375,2018-01-01,30,7,0,1653.1025390625,0.8865548968315125,STANDARD,7,301.538818359375,R_A2,0.0
22,301.6572570800781,2018-01-01,30,8,0,1654.868408203125,0.8706464171409607,STANDARD,8,301.6572570800781,R_A2,0.0
22,301.7756652832031,2018-01-01,30,9,0,1656.63427734375,0.13631364703178406,STANDARD,9,301.7756652832031,R_A2,0.0
22,301.89410400390625,2018-01-01,30,10,0,1658.4000244140625,0.1870899200439453,STANDARD,10,301.89410400390625,R_A2,0.0
22,302.0219421386719,2018-01-01,30,11,0,1660.305908203125,0.07339788973331451,STANDARD,11,302.0219421386719,R_A2,0.0
22,302.1591491699219,2018-01-01,30,12,0,1662.3515625,0.07482454925775528,STANDARD,12,302.1591491699219,R_A2,0.0
22,302.29638671875,2018-01-01,30,13,0,1664.3973388671875,0.44903504848480225,STANDARD,13,302.29638671875,R_A2,0.0
22,302.3549499511719,2018-01-01,29,14,0,1665.270263671875,0.4921356737613678,STANDARD,14,302.3549499511719,R_A2,0.0
22,302.4999084472656,2018-01-01,29,15,0,1667.431396484375,0.9309900999069214,STANDARD,15,302.4999084472656,R_A2,0.0
22,302.6448974609375,2018-01-01,29,16,0,1669.5926513671875,0.9514080286026001,STANDARD,16,302.6448974609375,R_A2,0.0
22,302.7898864746094,2018-01-01,29,17,0,1671.7537841796875,0.9151749014854431,STANDARD,17,302.7898864746094,R_A2,0.0
22,302.923828125,2018-01-01,29,18,0,1673.75048828125,0.9757102131843567,STANDARD,18,302.923828125,R_A2,0.0
22,303.0520324707031,2018-01-01,29,19,0,1675.6611328125,1.0,STANDARD,27,303.0520324707031,R_A2,0.0
22,303.1746826171875,2018-01-01,29,20,0,1677.4891357421875,1.0,STANDARD,28,303.1746826171875,R_A2,0.0
22,303.60882568359375,2018-01-01,29,21,0,1679.3170166015625,1.0,STANDARD,29,303.60882568359375,R_A2,0.0
22,303.78204345703125,2018-01-01,29,22,0,1681.1448974609375,1.0,STANDARD,30,303.78204345703125,R_A2,0.0
22,303.95526123046875,2018-01-01,29,23,0,1682.972900390625,1.0,STANDARD,31,303.95526123046875,R_A2,0.0
28,298.5992126464844,2018-01-01,41,1,0,1609.255859375,0.11425326764583588,STANDARD,1,298.5992126464844,R_A3,0.0
28,298.7373962402344,2018-01-01,41,2,0,1611.3175048828125,0.11823459714651108,STANDARD,2,298.7373962402344,R_A3,0.0
28,298.8755798339844,2018-01-01,41,3,0,1613.379150390625,0.09739299863576889,STANDARD,3,298.8755798339844,R_A3,0.0
28,299.01373291015625,2018-01-01,41,4,0,1615.4407958984375,0.1385193169116974,STANDARD,4,299.01373291015625,R_A3,0.0
28,299.15191650390625,2018-01-01,41,5,0,1617.50244140625,0.10765092074871063,STANDARD,5,299.15191650390625,R_A3,0.0
29,298.5287780761719,2018-01-01,41,6,0,1608.2047119140625,0.6481541991233826,STANDARD,5,298.5287780761719,R_A3,0.0
29,298.6587829589844,2018-01-01,41,7,0,1610.1446533203125,0.20638807117938995,STANDARD,6,298.6587829589844,R_A3,0.0
29,298.788818359375,2018-01-01,41,8,0,1612.0845947265625,0.19551196694374084,STANDARD,7,298.788818359375,R_A3,0.0
29,298.9188232421875,2018-01-01,41,9,0,1614.0245361328125,0.1985187828540802,STANDARD,8,298.9188232421875,R_A3,0.0
29,299.0488586425781,2018-01-01,41,10,0,1615.9644775390625,0.7981274127960205,STANDARD,9,299.0488586425781,R_A3,0.0
29,299.1788635253906,2018-01-01,41,11,0,1617.904296875,0.7933322191238403,STANDARD,10,299.1788635253906,R_A3,0.0
29,299.3265075683594,2018-01-01,41,12,0,1620.1070556640625,0.048554789274930954,STANDARD,11,299.3265075683594,R_A3,0.0
29,299.4917907714844,2018-01-01,41,13,0,1622.5726318359375,0.0560130849480629,STANDARD,12,299.4917907714844,R_A3,0.0
29,299.6570739746094,2018-01-01,41,14,0,1625.0382080078125,0.3769353926181793,STANDARD,13,299.6570739746094,R_A3,0.0
29,299.8223571777344,2018-01-01,41,15,0,1627.5037841796875,0.3507862687110901,STANDARD,14,299.8223571777344,R_A3,0.0
29,299.9818420410156,2018-01-01,41,16,0,1629.883056640625,0.8004829287528992,STANDARD,15,299.9818420410156,R_A3,0.0
29,300.08575439453125,2018-01-01,41,17,0,1631.432861328125,0.7984517216682434,STANDARD,16,300.08575439453125,R_A3,0.0
29,300.232177734375,2018-01-01,41,18,0,1633.616943359375,0.7443930506706238,STANDARD,27,300.232177734375,R_A3,0.0
29,300.47100830078125,2018-01-01,41,19,0,1637.1788330078125,0.04723859950900078,STANDARD,28,300.47100830078125,R_A3,0.0
29,300.7098083496094,2018-01-01,41,20,0,1640.7406005859375,0.049806538969278336,STANDARD,29,300.7098083496094,R_A3,0.0
29,300.94866943359375,2018-01-01,41,21,0,1644.302490234375,1.0,STANDARD,30,300.94866943359375,R_A3,0.0
29,301.1875,2018-01-01,41,22,0,1647.8642578125,0.1759783774614334,STANDARD,31,301.1875,R_A3,0.0
30,299.84637451171875,2018-01-01,52,1,0,1627.8623046875,0.048879534006118774,STANDARD,1,299.84637451171875,R_A4,0.0
31,299.7046813964844,2018-01-01,52,2,0,1625.748291015625,0.04790431261062622,STANDARD,1,299.7046813964844,R_A4,0.0
31,299.8404541015625,2018-01-01,52,3,0,1627.7740478515625,0.04950512945652008,STANDARD,2,299.8404541015625,R_A4,0.0
31,299.97625732421875,2018-01-01,52,4,0,1629.7998046875,0.09309844672679901,STANDARD,3,299.97625732421875,R_A4,0.0
31,300.1120910644531,2018-01-01,52,5,0,1631.8255615234375,0.6481541991233826,STANDARD,4,300.1120910644531,R_A4,0.0
31,300.2478942871094,2018-01-01,52,6,0,1633.851318359375,0.8405619263648987,STANDARD,5,300.2478942871094,R_A4,0.0
