DEPTH,CONIDX,SGAS,PRESSURE,CONJPOS,DRAWDOWN,CONBPRES,DATE,WELL,SWAT,CONIPOS,CONKPOS,WELLMODEL
1641.094970703125,1,0.0,300.6733093261719,30,0,300.6733093261719,2018-01-01,R_A2,0.05760246515274048,22,1,STANDARD
1642.8890380859375,2,0.0,300.7936096191406,30,0,300.7936096191406,2018-01-01,R_A2,0.05853121727705002,22,2,STANDARD
1644.68310546875,3,0.0,300.9139099121094,30,0,300.9139099121094,2018-01-01,R_A2,0.06116862595081329,22,3,STANDARD
1646.4771728515625,4,0.0,301.0342102050781,30,0,301.0342102050781,2018-01-01,R_A2,0.0663427859544754,22,4,STANDARD
1648.2713623046875,5,0.0,301.1545104980469,30,0,301.1545104980469,2018-01-01,R_A2,0.0687314122915268,22,5,STANDARD
1650.0654296875,6,0.0,301.27484130859375,30,0,301.27484130859375,2018-01-01,R_A2,0.3121729791164398,22,6,STANDARD
1651.859619140625,7,0.0,301.3951721191406,30,0,301.3951721191406,2018-01-01,R_A2,0.8978545665740967,22,7,STANDARD
1653.6536865234375,8,0.0,301.5154724121094,30,0,301.5154724121094,2018-01-01,R_A2,0.8618757724761963,22,8,STANDARD
1655.44775390625,9,0.0,301.63580322265625,30,0,301.63580322265625,2018-01-01,R_A2,0.9105261564254761,22,9,STANDARD
1657.2418212890625,10,0.0,301.7561340332031,30,0,301.7561340332031,2018-01-01,R_A2,0.9083951115608215,22,10,STANDARD
1659.1368408203125,11,0.0,301.88323974609375,30,0,301.88323974609375,2018-01-01,R_A2,0.07604346424341202,22,11,STANDARD
1661.132568359375,12,0.0,302.01708984375,30,0,302.01708984375,2018-01-01,R_A2,0.0789390504360199,22,12,STANDARD
1663.12841796875,13,0.0,302.1509704589844,30,0,302.1509704589844,2018-01-01,R_A2,0.44872841238975525,22,13,STANDARD
1665.1241455078125,14,0.0,302.28485107421875,30,0,302.28485107421875,2018-01-01,R_A2,0.5068296194076538,22,14,STANDARD
1667.1199951171875,15,0.0,302.4187316894531,30,0,302.4187316894531,2018-01-01,R_A2,0.6861860752105713,22,15,STANDARD
1669.11572265625,16,0.0,302.5526123046875,30,0,302.5526123046875,2018-01-01,R_A2,0.9714688062667847,22,16,STANDARD
1671.111572265625,17,0.0,302.6864929199219,30,0,302.6864929199219,2018-01-01,R_A2,0.948536217212677,22,17,STANDARD
1672.9881591796875,18,0.0,302.8123779296875,30,0,302.8123779296875,2018-01-01,R_A2,0.9796320199966431,22,18,STANDARD
1674.229736328125,19,0.0,302.89569091796875,29,0,302.89569091796875,2018-01-01,R_A2,0.9940532445907593,22,18,STANDARD
1676.1676025390625,20,0.0,303.02569580078125,29,0,303.02569580078125,2018-01-01,R_A2,0.6481541991233826,22,27,STANDARD
1677.9368896484375,21,0.0,303.47802734375,29,0,303.47802734375,2018-01-01,R_A2,1.0,22,28,STANDARD
1679.7061767578125,22,0.0,303.64569091796875,29,0,303.64569091796875,2018-01-01,R_A2,1.0,22,29,STANDARD
1681.4754638671875,23,0.0,303.8133544921875,29,0,303.8133544921875,2018-01-01,R_A2,1.0,22,30,STANDARD
1683.2447509765625,24,0.0,303.98101806640625,29,0,303.98101806640625,2018-01-01,R_A2,1.0,22,31,STANDARD
1609.243408203125,1,0.0,298.53814697265625,41,0,298.53814697265625,2018-01-01,R_A3,0.6481541991233826,28,1,STANDARD
1611.3077392578125,2,0.0,298.676513671875,41,0,298.676513671875,2018-01-01,R_A3,0.19803451001644135,28,2,STANDARD
1613.3720703125,3,0.0,298.8148498535156,41,0,298.8148498535156,2018-01-01,R_A3,0.19370174407958984,28,3,STANDARD
1615.4365234375,4,0.0,298.9532165527344,41,0,298.9532165527344,2018-01-01,R_A3,0.2555322051048279,28,4,STANDARD
1617.5008544921875,5,0.0,299.0915832519531,41,0,299.0915832519531,2018-01-01,R_A3,0.8283283710479736,28,5,STANDARD
1619.565185546875,6,0.0,299.2299499511719,41,0,299.2299499511719,2018-01-01,R_A3,0.6481541991233826,28,6,STANDARD
1609.3663330078125,7,0.0,298.54638671875,41,0,298.54638671875,2018-01-01,R_A3,0.6481541991233826,29,6,STANDARD
1611.4163818359375,8,0.0,298.68377685546875,41,0,298.68377685546875,2018-01-01,R_A3,0.19839943945407867,29,7,STANDARD
1613.46630859375,9,0.0,298.8211669921875,41,0,298.8211669921875,2018-01-01,R_A3,0.20012404024600983,29,8,STANDARD
1615.516357421875,10,0.0,298.95855712890625,41,0,298.95855712890625,2018-01-01,R_A3,0.8029430508613586,29,9,STANDARD
1617.5662841796875,11,0.0,299.095947265625,41,0,299.095947265625,2018-01-01,R_A3,0.8017147183418274,29,10,STANDARD
1619.750732421875,12,0.0,299.24237060546875,41,0,299.24237060546875,2018-01-01,R_A3,0.047662775963544846,29,11,STANDARD
1622.0697021484375,13,0.0,299.3978271484375,41,0,299.3978271484375,2018-01-01,R_A3,0.05465734004974365,29,12,STANDARD
1624.388671875,14,0.0,299.5532531738281,41,0,299.5532531738281,2018-01-01,R_A3,0.36961451172828674,29,13,STANDARD
1629.026611328125,15,0.0,299.8641662597656,41,0,299.8641662597656,2018-01-01,R_A3,0.40267708897590637,29,15,STANDARD
1630.9468994140625,16,0.0,299.992919921875,41,0,299.992919921875,2018-01-01,R_A3,0.814231276512146,29,16,STANDARD
1633.5262451171875,17,0.0,300.16583251953125,41,0,300.16583251953125,2018-01-01,R_A3,0.6481541991233826,29,27,STANDARD
1637.1630859375,18,0.0,300.40966796875,41,0,300.40966796875,2018-01-01,R_A3,0.04657479748129845,29,28,STANDARD
1640.8001708984375,19,0.0,300.6535339355469,41,0,300.6535339355469,2018-01-01,R_A3,0.05444984510540962,29,29,STANDARD
1644.4371337890625,20,0.0,300.89739990234375,41,0,300.89739990234375,2018-01-01,R_A3,1.0,29,30,STANDARD
1648.0740966796875,21,0.0,301.14129638671875,41,0,301.14129638671875,2018-01-01,R_A3,0.06235086917877197,29,31,STANDARD
1631.1873779296875,1,0.0,300.009033203125,52,0,300.009033203125,2018-01-01,R_A4,0.04969937726855278,30,1,STANDARD
1627.4293212890625,2,0.0,299.7571105957031,52,0,299.7571105957031,2018-01-01,R_A4,0.04972411319613457,31,1,STANDARD
