CONKPOS,WELL,WELLMODEL,CONIDX,DRAWDOWN,CONIPOS,CONJPOS,SWAT,CONBPRES,DATE,DEPTH,PRESSURE,SGAS
1,R_A6,STANDARD,1,0,17,42,1.0,276.97637939453125,2018-11-07,1695.1875,276.97637939453125,-1.821066561435991e-11
2,R_A6,STANDARD,2,0,17,42,1.0,277.1636047363281,2018-11-07,1696.7369384765625,277.1636047363281,-1.9763570391784918e-13
3,R_A6,STANDARD,3,0,17,42,1.0,277.3741149902344,2018-11-07,1698.286376953125,277.3741149902344,-1.7371190206769138e-13
4,R_A6,STANDARD,4,0,17,42,1.0,277.5997009277344,2018-11-07,1699.8358154296875,277.5997009277344,-1.4781307688255252e-13
5,R_A6,STANDARD,5,0,17,42,1.0,277.8123474121094,2018-11-07,1701.3853759765625,277.8123474121094,-3.065832364455151e-13
6,R_A6,STANDARD,6,0,17,42,1.0,277.9909973144531,2018-11-07,1702.9349365234375,277.9909973144531,-1.568167470877846e-11
7,R_A6,STANDARD,7,0,17,42,1.0,277.8469543457031,2018-11-07,1704.484375,277.8469543457031,-2.8230726784039817e-11
8,R_A6,STANDARD,8,0,17,42,1.0,277.9989318847656,2018-11-07,1706.0338134765625,277.9989318847656,-2.0376419301859627e-11
9,R_A6,STANDARD,9,0,17,42,1.0,278.4609069824219,2018-11-07,1707.5833740234375,278.4609069824219,-1.288150684210232e-12
10,R_A6,STANDARD,10,0,17,42,1.0,278.3445739746094,2018-11-07,1709.1328125,278.3445739746094,-3.150098237814092e-10
11,R_A6,STANDARD,11,0,17,42,1.0,279.80548095703125,2018-11-07,1711.0794677734375,279.80548095703125,-5.05219588387007e-10
12,R_A6,STANDARD,12,0,17,42,1.0,280.0352478027344,2018-11-07,1713.42333984375,280.0352478027344,-2.0578189152686832e-10
13,R_A6,STANDARD,13,0,17,42,1.0,280.32843017578125,2018-11-07,1715.767333984375,280.32843017578125,-1.032175647036615e-11
14,R_A6,STANDARD,14,0,17,42,1.0,280.55072021484375,2018-11-07,1718.1112060546875,280.55072021484375,-7.848645344754601e-12
15,R_A6,STANDARD,15,0,17,42,1.0,280.931640625,2018-11-07,1720.455078125,280.931640625,-2.2251022639002693e-12
16,R_A6,STANDARD,16,0,17,42,1.0,281.1729736328125,2018-11-07,1722.799072265625,281.1729736328125,-3.99410891730248e-13
17,R_A6,STANDARD,17,0,17,42,1.0,281.4037170410156,2018-11-07,1725.1429443359375,281.4037170410156,-3.858641379507477e-13
18,R_A6,STANDARD,18,0,17,42,1.0,281.54559326171875,2018-11-07,1726.6080322265625,281.54559326171875,-4.4035429599617593e-13
26,R_A6,STANDARD,19,0,17,42,1.0,281.7952575683594,2018-11-07,1727.7640380859375,281.7952575683594,3.574665841110658e-10
27,R_A6,STANDARD,20,0,17,42,1.0,282.2849426269531,2018-11-07,1729.489990234375,282.2849426269531,1.1059905768995293e-10
28,R_A6,STANDARD,21,0,17,42,1.0,283.0773010253906,2018-11-07,1731.2158203125,283.0773010253906,3.6047715825849214e-16
29,R_A6,STANDARD,22,0,17,42,1.0,283.2807312011719,2018-11-07,1732.9417724609375,283.2807312011719,1.421383621823678e-16
30,R_A6,STANDARD,23,0,17,42,1.0,282.3606872558594,2018-11-07,1734.667724609375,282.3606872558594,2.7233328439568716e-11
