CONIPOS,WELLMODEL,SWAT,SGAS,PRESSURE,CONKPOS,CONJPOS,DRAWDOWN,DATE,DEPTH,CONBPRES,CONIDX,WELL
22,STANDARD,0.0729973167181015,0.0,300.7522888183594,1,30,0,2018-01-01,1641.6131591796875,300.7522888183594,1,R_A2
22,STANDARD,0.057207994163036346,0.0,300.87548828125,2,30,0,2018-01-01,1643.4501953125,300.87548828125,2,R_A2
22,STANDARD,0.06015449017286301,0.0,300.9986572265625,3,30,0,2018-01-01,1645.287353515625,300.9986572265625,3,R_A2
22,STANDARD,0.06543581932783127,0.0,301.1218566894531,4,30,0,2018-01-01,1647.1243896484375,301.1218566894531,4,R_A2
22,STANDARD,0.06973003596067429,0.0,301.24505615234375,5,30,0,2018-01-01,1648.9615478515625,301.24505615234375,5,R_A2
22,STANDARD,0.32339751720428467,0.0,301.3682556152344,6,30,0,2018-01-01,1650.798583984375,301.3682556152344,6,R_A2
22,STANDARD,0.8862113356590271,0.0,301.491455078125,7,30,0,2018-01-01,1652.6356201171875,301.491455078125,7,R_A2
22,STANDARD,0.8706008195877075,0.0,301.6146545410156,8,30,0,2018-01-01,1654.4727783203125,301.6146545410156,8,R_A2
22,STANDARD,0.8888638019561768,0.0,301.7378845214844,9,30,0,2018-01-01,1656.309814453125,301.7378845214844,9,R_A2
22,STANDARD,0.9018727540969849,0.0,301.861083984375,10,30,0,2018-01-01,1658.14697265625,301.861083984375,10,R_A2
22,STANDARD,0.07424192875623703,0.0,301.9910888671875,11,30,0,2018-01-01,1660.0849609375,301.9910888671875,11,R_A2
22,STANDARD,0.17945022881031036,0.0,302.12786865234375,12,30,0,2018-01-01,1662.1240234375,302.12786865234375,12,R_A2
22,STANDARD,0.4485214352607727,0.0,302.2646484375,13,30,0,2018-01-01,1664.1632080078125,302.2646484375,13,R_A2
22,STANDARD,0.5054282546043396,0.0,302.40142822265625,14,30,0,2018-01-01,1666.2022705078125,302.40142822265625,14,R_A2
22,STANDARD,0.9447876214981079,0.0,302.5382080078125,15,30,0,2018-01-01,1668.2413330078125,302.5382080078125,15,R_A2
22,STANDARD,0.9660459160804749,0.0,302.67498779296875,16,30,0,2018-01-01,1670.2803955078125,302.67498779296875,16,R_A2
22,STANDARD,0.9501795172691345,0.0,302.5963134765625,16,29,0,2018-01-01,1669.107421875,302.5963134765625,17,R_A2
22,STANDARD,0.9195799231529236,0.0,302.74114990234375,17,29,0,2018-01-01,1671.2664794921875,302.74114990234375,18,R_A2
22,STANDARD,0.9773476123809814,0.0,302.8764953613281,18,29,0,2018-01-01,1673.2840576171875,302.8764953613281,19,R_A2
22,STANDARD,0.6481541991233826,0.0,303.010009765625,25,29,0,2018-01-01,1675.2740478515625,303.010009765625,20,R_A2
22,STANDARD,1.0,0.0,303.13226318359375,26,29,0,2018-01-01,1677.09619140625,303.13226318359375,21,R_A2
22,STANDARD,1.0,0.0,303.571044921875,27,29,0,2018-01-01,1678.918212890625,303.571044921875,22,R_A2
22,STANDARD,1.0,0.0,303.74371337890625,28,29,0,2018-01-01,1680.7403564453125,303.74371337890625,23,R_A2
22,STANDARD,1.0,0.0,303.9163513183594,29,29,0,2018-01-01,1682.5623779296875,303.9163513183594,24,R_A2
28,STANDARD,0.6481541991233826,0.0,298.7351989746094,1,41,0,2018-01-01,1611.523681640625,298.7351989746094,1,R_A3
28,STANDARD,0.19947466254234314,0.0,298.87615966796875,2,41,0,2018-01-01,1613.627197265625,298.87615966796875,2,R_A3
28,STANDARD,0.19667379558086395,0.0,299.01715087890625,3,41,0,2018-01-01,1615.730712890625,299.01715087890625,3,R_A3
28,STANDARD,0.3120173513889313,0.0,299.15814208984375,4,41,0,2018-01-01,1617.834228515625,299.15814208984375,4,R_A3
28,STANDARD,0.8238906860351562,0.0,299.29913330078125,5,41,0,2018-01-01,1619.9378662109375,299.29913330078125,5,R_A3
28,STANDARD,0.6481541991233826,0.0,299.4401550292969,6,41,0,2018-01-01,1622.04150390625,299.4401550292969,6,R_A3
28,STANDARD,0.2098182588815689,0.0,299.5811767578125,7,41,0,2018-01-01,1624.1451416015625,299.5811767578125,7,R_A3
29,STANDARD,0.19710172712802887,0.0,298.7967224121094,7,41,0,2018-01-01,1612.4420166015625,298.7967224121094,8,R_A3
29,STANDARD,0.1967526227235794,0.0,298.9275207519531,8,41,0,2018-01-01,1614.393310546875,298.9275207519531,9,R_A3
29,STANDARD,0.7965973019599915,0.0,299.05828857421875,9,41,0,2018-01-01,1616.3446044921875,299.05828857421875,10,R_A3
29,STANDARD,0.7937915921211243,0.0,299.1890869140625,10,41,0,2018-01-01,1618.2958984375,299.1890869140625,11,R_A3
29,STANDARD,0.05063733085989952,0.0,299.3274230957031,11,41,0,2018-01-01,1620.3597412109375,299.3274230957031,12,R_A3
29,STANDARD,0.05384707823395729,0.0,299.47332763671875,12,41,0,2018-01-01,1622.5362548828125,299.47332763671875,13,R_A3
29,STANDARD,0.3680689036846161,0.0,299.61920166015625,13,41,0,2018-01-01,1624.712646484375,299.61920166015625,14,R_A3
29,STANDARD,0.498346209526062,0.0,299.9110107421875,15,41,0,2018-01-01,1629.0655517578125,299.9110107421875,15,R_A3
29,STANDARD,0.8101766705513,0.0,300.0279235839844,16,41,0,2018-01-01,1630.8095703125,300.0279235839844,16,R_A3
29,STANDARD,0.049118272960186005,0.0,300.1905517578125,25,41,0,2018-01-01,1633.2352294921875,300.1905517578125,17,R_A3
