CONKPOS,CONBPRES,CONIPOS,SWAT,SGAS,CONJPOS,DEPTH,WELLMODEL,DRAWDOWN,CONIDX,DATE,PRESSURE,WELL
1,300.77056884765625,22,0.0555051788687706,0.0,30,1641.9888916015625,STANDARD,0,1,2018-01-01,300.77056884765625,R_A2
2,300.89630126953125,22,0.05836943909525871,0.0,30,1643.864013671875,STANDARD,0,2,2018-01-01,300.89630126953125,R_A2
3,301.02203369140625,22,0.06154206767678261,0.0,30,1645.739013671875,STANDARD,0,3,2018-01-01,301.02203369140625,R_A2
4,301.14776611328125,22,0.06616564095020294,0.0,30,1647.614013671875,STANDARD,0,4,2018-01-01,301.14776611328125,R_A2
5,301.2735290527344,22,0.0711854100227356,0.0,30,1649.4891357421875,STANDARD,0,5,2018-01-01,301.2735290527344,R_A2
6,301.3992614746094,22,0.31242096424102783,0.0,30,1651.3642578125,STANDARD,0,6,2018-01-01,301.3992614746094,R_A2
7,301.5250244140625,22,0.8908512592315674,0.0,30,1653.2392578125,STANDARD,0,7,2018-01-01,301.5250244140625,R_A2
8,301.6507873535156,22,0.878345787525177,0.0,30,1655.1143798828125,STANDARD,0,8,2018-01-01,301.6507873535156,R_A2
9,301.77655029296875,22,0.6481541991233826,0.0,30,1656.9893798828125,STANDARD,0,9,2018-01-01,301.77655029296875,R_A2
10,301.9023132324219,22,0.6481541991233826,0.0,30,1658.8643798828125,STANDARD,0,10,2018-01-01,301.9023132324219,R_A2
11,302.03326416015625,22,0.07856415212154388,0.0,30,1660.81689453125,STANDARD,0,11,2018-01-01,302.03326416015625,R_A2
12,302.16943359375,22,0.081512950360775,0.0,30,1662.846923828125,STANDARD,0,12,2018-01-01,302.16943359375,R_A2
13,302.30560302734375,22,0.45533594489097595,0.0,30,1664.8770751953125,STANDARD,0,13,2018-01-01,302.30560302734375,R_A2
14,302.4417724609375,22,0.5066684484481812,0.0,30,1666.9071044921875,STANDARD,0,14,2018-01-01,302.4417724609375,R_A2
15,302.5779724121094,22,0.6915573477745056,0.0,30,1668.9371337890625,STANDARD,0,15,2018-01-01,302.5779724121094,R_A2
16,302.7141418457031,22,0.9711881875991821,0.0,30,1670.9671630859375,STANDARD,0,16,2018-01-01,302.7141418457031,R_A2
16,302.5382385253906,22,0.9499791264533997,0.0,29,1668.3450927734375,STANDARD,0,17,2018-01-01,302.5382385253906,R_A2
17,302.6783447265625,22,0.9287816286087036,0.0,29,1670.433349609375,STANDARD,0,18,2018-01-01,302.6783447265625,R_A2
18,302.81494140625,22,0.9578242897987366,0.0,29,1672.469482421875,STANDARD,0,19,2018-01-01,302.81494140625,R_A2
19,302.8956298828125,22,0.9908272624015808,0.0,29,1673.6722412109375,STANDARD,0,20,2018-01-01,302.8956298828125,R_A2
25,302.9700012207031,22,0.7512179613113403,0.0,29,1674.7808837890625,STANDARD,0,21,2018-01-01,302.9700012207031,R_A2
26,303.0904846191406,22,0.8055922389030457,0.0,29,1676.5767822265625,STANDARD,0,22,2018-01-01,303.0904846191406,R_A2
27,303.51934814453125,22,1.0,0.0,29,1678.3726806640625,STANDARD,0,23,2018-01-01,303.51934814453125,R_A2
28,303.68951416015625,22,1.0,0.0,29,1680.168701171875,STANDARD,0,24,2018-01-01,303.68951416015625,R_A2
29,303.8597106933594,22,1.0,0.0,29,1681.964599609375,STANDARD,0,25,2018-01-01,303.8597106933594,R_A2
1,298.65289306640625,28,0.6481541991233826,0.0,41,1610.39892578125,STANDARD,0,1,2018-01-01,298.65289306640625,R_A3
2,298.78704833984375,28,0.23204950988292694,0.0,41,1612.400390625,STANDARD,0,2,2018-01-01,298.78704833984375,R_A3
3,298.9211730957031,28,0.27732226252555847,0.0,41,1614.40185546875,STANDARD,0,3,2018-01-01,298.9211730957031,R_A3
