PRESSURE,CONKPOS,CONIDX,CONIPOS,WELLMODEL,DRAWDOWN,WELL,CONJPOS,SWAT,SGAS,DEPTH,DATE,CONBPRES
300.8125915527344,1,1,22,STANDARD,0,R_A2,30,0.05375653877854347,0.0,1641.152099609375,2018-01-01,300.8125915527344
300.93194580078125,2,2,22,STANDARD,0,R_A2,30,0.05461176857352257,0.0,1642.9317626953125,2018-01-01,300.93194580078125
301.05126953125,3,3,22,STANDARD,0,R_A2,30,0.05617674067616463,0.0,1644.71142578125,2018-01-01,301.05126953125
301.1706237792969,4,4,22,STANDARD,0,R_A2,30,0.061672862619161606,0.0,1646.490966796875,2018-01-01,301.1706237792969
301.28997802734375,5,5,22,STANDARD,0,R_A2,30,0.06546641141176224,0.0,1648.2706298828125,2018-01-01,301.28997802734375
301.4093017578125,6,6,22,STANDARD,0,R_A2,30,0.6855860948562622,0.0,1650.05029296875,2018-01-01,301.4093017578125
301.5286560058594,7,7,22,STANDARD,0,R_A2,30,0.8675175309181213,0.0,1651.829833984375,2018-01-01,301.5286560058594
301.64801025390625,8,8,22,STANDARD,0,R_A2,30,0.8730125427246094,0.0,1653.6094970703125,2018-01-01,301.64801025390625
301.76739501953125,9,9,22,STANDARD,0,R_A2,30,0.12153378874063492,0.0,1655.38916015625,2018-01-01,301.76739501953125
301.8867492675781,10,10,22,STANDARD,0,R_A2,30,0.153584286570549,0.0,1657.1688232421875,2018-01-01,301.8867492675781
302.01513671875,11,11,22,STANDARD,0,R_A2,30,0.06675845384597778,0.0,1659.0828857421875,2018-01-01,302.01513671875
302.15252685546875,12,12,22,STANDARD,0,R_A2,30,0.07432287931442261,0.0,1661.1314697265625,2018-01-01,302.15252685546875
302.2899475097656,13,13,22,STANDARD,0,R_A2,30,0.4250367283821106,0.0,1663.18017578125,2018-01-01,302.2899475097656
302.4273681640625,14,14,22,STANDARD,0,R_A2,30,0.47281691431999207,0.0,1665.228759765625,2018-01-01,302.4273681640625
302.5647888183594,15,15,22,STANDARD,0,R_A2,30,0.9071155786514282,0.0,1667.27734375,2018-01-01,302.5647888183594
302.7022399902344,16,16,22,STANDARD,0,R_A2,30,0.9172040224075317,0.0,1669.325927734375,2018-01-01,302.7022399902344
303.0518493652344,17,17,22,STANDARD,0,R_A2,29,0.913648247718811,0.0,1674.537109375,2018-01-01,303.0518493652344
303.17913818359375,18,18,22,STANDARD,0,R_A2,29,0.9852665662765503,0.0,1676.4344482421875,2018-01-01,303.17913818359375
303.2979736328125,26,19,22,STANDARD,0,R_A2,29,0.6481541991233826,0.0,1678.2054443359375,2018-01-01,303.2979736328125
