WELL,DEPTH,CONIPOS,PRESSURE,CONKPOS,CONIDX,SWAT,CONBPRES,DATE,DRAWDOWN,WELLMODEL,CONJPOS,SGAS
R_A2,1641.094970703125,22,300.6733093261719,1,1,0.05682307109236717,300.6733093261719,2018-01-01,0,STANDARD,30,0.0
R_A2,1642.8890380859375,22,300.7936096191406,2,2,0.059868622571229935,300.7936096191406,2018-01-01,0,STANDARD,30,0.0
R_A2,1644.68310546875,22,300.9139099121094,3,3,0.0626271441578865,300.9139099121094,2018-01-01,0,STANDARD,30,0.0
R_A2,1646.4771728515625,22,301.0342102050781,4,4,0.06645650416612625,301.0342102050781,2018-01-01,0,STANDARD,30,0.0
R_A2,1648.2713623046875,22,301.1545104980469,5,5,0.07079914212226868,301.1545104980469,2018-01-01,0,STANDARD,30,0.0
R_A2,1650.0654296875,22,301.27484130859375,6,6,0.23910002410411835,301.27484130859375,2018-01-01,0,STANDARD,30,0.0
R_A2,1651.859619140625,22,301.3951721191406,7,7,0.8951376676559448,301.3951721191406,2018-01-01,0,STANDARD,30,0.0
R_A2,1653.6536865234375,22,301.5154724121094,8,8,0.8685147166252136,301.5154724121094,2018-01-01,0,STANDARD,30,0.0
R_A2,1655.44775390625,22,301.63580322265625,9,9,0.894565999507904,301.63580322265625,2018-01-01,0,STANDARD,30,0.0
R_A2,1657.2418212890625,22,301.7561340332031,10,10,0.9062598943710327,301.7561340332031,2018-01-01,0,STANDARD,30,0.0
R_A2,1659.1368408203125,22,301.88323974609375,11,11,0.07765933871269226,301.88323974609375,2018-01-01,0,STANDARD,30,0.0
R_A2,1661.132568359375,22,302.01708984375,12,12,0.08095082640647888,302.01708984375,2018-01-01,0,STANDARD,30,0.0
R_A2,1663.12841796875,22,302.1509704589844,13,13,0.4631236791610718,302.1509704589844,2018-01-01,0,STANDARD,30,0.0
R_A2,1665.1241455078125,22,302.28485107421875,14,14,0.5077258348464966,302.28485107421875,2018-01-01,0,STANDARD,30,0.0
R_A2,1667.1199951171875,22,302.4187316894531,15,15,0.6800851821899414,302.4187316894531,2018-01-01,0,STANDARD,30,0.0
R_A2,1669.11572265625,22,302.5526123046875,16,16,0.9764990210533142,302.5526123046875,2018-01-01,0,STANDARD,30,0.0
R_A2,1671.111572265625,22,302.6864929199219,17,17,0.9521156549453735,302.6864929199219,2018-01-01,0,STANDARD,30,0.0
R_A2,1672.9881591796875,22,302.8123779296875,18,18,0.9803889393806458,302.8123779296875,2018-01-01,0,STANDARD,30,0.0
