SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
0.0205601,0.0,1.0,9.95715,1,SWOF,,,,
0.0305601,0.0,0.9725119,4.1634181,1,SWOF,,,,
0.0405601,6.25e-05,0.9426705,2.2334317,1,SWOF,,,,
0.0605601,0.0004874,0.8799201,0.9246556,1,SWOF,,,,
0.0805601,0.0013201,0.8151312,0.4935447,1,SWOF,,,,
0.1005601,0.0025968,0.7495255,0.3030079,1,SWOF,,,,
0.1205601,0.0043617,0.68404,0.2033024,1,SWOF,,,,
0.1405601,0.0066642,0.6194982,0.1450421,1,SWOF,,,,
0.1605601,0.0095582,0.5566635,0.10824,1,SWOF,,,,
0.1805601,0.0131018,0.4962411,0.0836031,1,SWOF,,,,
0.2005601,0.0173572,0.4388569,0.0663518,1,SWOF,,,,
0.2205601,0.0223912,0.3850321,0.0538308,1,SWOF,,,,
0.2405601,0.0282747,0.3351617,0.0444732,1,SWOF,,,,
0.2605601,0.0350831,0.2895029,0.0373072,1,SWOF,,,,
0.2805601,0.042896,0.2481758,0.0317054,1,SWOF,,,,
0.3005601,0.0517973,0.2111735,0.0272484,1,SWOF,,,,
0.3205601,0.0618746,0.1783805,0.0236477,1,SWOF,,,,
0.3405601,0.0732191,0.1495957,0.0206997,1,SWOF,,,,
0.3605601,0.0859251,0.1245557,0.0182574,1,SWOF,,,,
0.3805601,0.1000892,0.102957,0.0162129,1,SWOF,,,,
0.4005601,0.1158094,0.0844761,0.0144851,1,SWOF,,,,
0.4205601,0.1331837,0.0687843,0.0130127,1,SWOF,,,,
0.4405601,0.1523094,0.0555605,0.0117484,1,SWOF,,,,
0.4605601,0.1732801,0.0444991,0.0106552,1,SWOF,,,,
0.4805601,0.196185,0.0353159,0.0097039,1,SWOF,,,,
0.5005601,0.2211048,0.0277511,0.0088713,1,SWOF,,,,
0.5205601,0.2481234,0.0215751,0.0081387,1,SWOF,,,,
0.5405601,0.2772821,0.0165718,0.0074909,1,SWOF,,,,
0.5605601,0.3086132,0.012557,0.0069155,1,SWOF,,,,
0.5805601,0.3421287,0.0093694,0.0064022,1,SWOF,,,,
0.6005601,0.3778112,0.0068686,0.0059425,1,SWOF,,,,
0.6205601,0.4156073,0.0049334,0.0055293,1,SWOF,,,,
0.6405601,0.4554208,0.0034593,0.0051565,1,SWOF,,,,
0.6605601,0.497104,0.0023575,0.0048193,1,SWOF,,,,
0.6805601,0.5404493,0.0015522,0.0045132,1,SWOF,,,,
0.7005601,0.5851793,0.0009796,0.0042346,1,SWOF,,,,
0.7205601,0.6309359,0.0005861,0.0039803,1,SWOF,,,,
0.7405601,0.6772685,0.0003273,0.0037476,1,SWOF,,,,
0.7605601,0.7236187,0.0001666,0.0035343,1,SWOF,,,,
0.7805601,0.7692976,7.44e-05,0.0033381,1,SWOF,,,,
0.8005601,0.8134457,2.73e-05,0.0031574,1,SWOF,,,,
0.8205601,0.854937,7.2e-06,0.0029905,1,SWOF,,,,
0.8405601,0.8920546,1e-06,0.0028362,1,SWOF,,,,
0.8605601,0.9217168,0.0,0.0026932,1,SWOF,,,,
0.8647833,0.9266099,0.0,0.0026652,1,SWOF,,,,
0.8805601,0.9351729,0.0,0.0025605,1,SWOF,,,,
0.9005601,0.9460281,0.0,0.002437,1,SWOF,,,,
0.9205601,0.9568833,0.0,0.0023221,1,SWOF,,,,
0.9405601,0.9677385,0.0,0.0022148,1,SWOF,,,,
0.9605601,0.9785936,0.0,0.0021146,1,SWOF,,,,
0.9805601,0.9894488,0.0,0.0020209,1,SWOF,,,,
1.0,1.0,0.0,0.0019355,1,SWOF,,,,
,,,,1,SGOF,0.0,0.0,1.0,0.0
,,,,1,SGOF,0.05,0.0,0.9049582,0.0
,,,,1,SGOF,0.07,6.14e-05,0.8610045,0.0
,,,,1,SGOF,0.09,0.0003361,0.8143617,0.0
,,,,1,SGOF,0.11,0.0009218,0.765548,0.0
,,,,1,SGOF,0.13,0.0019046,0.7151459,0.0
,,,,1,SGOF,0.15,0.0033691,0.6637834,0.0
,,,,1,SGOF,0.17,0.0054014,0.6121087,0.0
,,,,1,SGOF,0.19,0.0080909,0.5607623,0.0
,,,,1,SGOF,0.21,0.0115312,0.5103496,0.0
,,,,1,SGOF,0.23,0.0158196,0.4614183,0.0
,,,,1,SGOF,0.25,0.0210583,0.4144414,0.0
,,,,1,SGOF,0.27,0.0273532,0.3698069,0.0
,,,,1,SGOF,0.29,0.0348141,0.3278136,0.0
,,,,1,SGOF,0.31,0.0435538,0.2886731,0.0
,,,,1,SGOF,0.33,0.0536869,0.2525153,0.0
,,,,1,SGOF,0.35,0.0653286,0.2193969,0.0
,,,,1,SGOF,0.37,0.0785931,0.1893114,0.0
,,,,1,SGOF,0.39,0.0935916,0.1621994,0.0
