ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
UpperReek,1,267078661.12,44908208.37,34259357.95,21546765.65
UpperReek,2,0.0,0.0,0.0,0.0
MidReek,1,212633416.12,41287551.67,33595357.9,21129155.56
MidReek,2,0.0,0.0,0.0,0.0
LowerReek,1,141597600.6,28870883.85,23394019.72,14713219.71
LowerReek,2,0.0,0.0,0.0,0.0
