CONJPOS,DATE,CONKPOS,WELLMODEL,CONIPOS,DEPTH,CONIDX,WELL,CONBPRES,DRAWDOWN,PRESSURE,SWAT,SGAS
30,2018-01-01,1,STANDARD,22,1641.2664794921875,1,R_A2,300.79510498046875,0,300.79510498046875,0.1443861573934555,0.0
30,2018-01-01,2,STANDARD,22,1643.04296875,2,R_A2,300.91424560546875,0,300.91424560546875,0.05555010959506035,0.0
30,2018-01-01,3,STANDARD,22,1644.8193359375,3,R_A2,301.0333557128906,0,301.0333557128906,0.0574517697095871,0.0
30,2018-01-01,4,STANDARD,22,1646.595703125,4,R_A2,301.1524963378906,0,301.1524963378906,0.06501790136098862,0.0
30,2018-01-01,5,STANDARD,22,1648.3721923828125,5,R_A2,301.2716064453125,0,301.2716064453125,0.06874546408653259,0.0
30,2018-01-01,6,STANDARD,22,1650.1484375,6,R_A2,301.3907470703125,0,301.3907470703125,0.30880242586135864,0.0
30,2018-01-01,7,STANDARD,22,1651.9248046875,7,R_A2,301.5098571777344,0,301.5098571777344,0.8754521608352661,0.0
30,2018-01-01,8,STANDARD,22,1653.7012939453125,8,R_A2,301.6289978027344,0,301.6289978027344,0.6481541991233826,0.0
30,2018-01-01,9,STANDARD,22,1655.4776611328125,9,R_A2,301.7481689453125,0,301.7481689453125,0.8765403032302856,0.0
30,2018-01-01,10,STANDARD,22,1657.254150390625,10,R_A2,301.8673095703125,0,301.8673095703125,0.889140784740448,0.0
30,2018-01-01,11,STANDARD,22,1659.1556396484375,11,R_A2,301.9948425292969,0,301.9948425292969,0.06884845346212387,0.0
30,2018-01-01,12,STANDARD,22,1661.1822509765625,12,R_A2,302.1307678222656,0,302.1307678222656,0.07366914302110672,0.0
30,2018-01-01,13,STANDARD,22,1663.208984375,13,R_A2,302.2667236328125,0,302.2667236328125,0.4418454170227051,0.0
30,2018-01-01,14,STANDARD,22,1665.235595703125,14,R_A2,302.4026794433594,0,302.4026794433594,0.473210871219635,0.0
30,2018-01-01,15,STANDARD,22,1667.26220703125,15,R_A2,302.53863525390625,0,302.53863525390625,0.9185159206390381,0.0
