CONIDX,CONBPRES,CONKPOS,DATE,CONJPOS,CONIPOS,PRESSURE,DEPTH,SWAT,DRAWDOWN,WELL,SGAS,WELLMODEL
1,300.6733093261719,1,2018-01-01,30,22,300.6733093261719,1641.094970703125,0.05760246515274048,0,R_A2,0.0,STANDARD
2,300.7936096191406,2,2018-01-01,30,22,300.7936096191406,1642.8890380859375,0.05853121727705002,0,R_A2,0.0,STANDARD
3,300.9139099121094,3,2018-01-01,30,22,300.9139099121094,1644.68310546875,0.06116862595081329,0,R_A2,0.0,STANDARD
4,301.0342102050781,4,2018-01-01,30,22,301.0342102050781,1646.4771728515625,0.0663427859544754,0,R_A2,0.0,STANDARD
5,301.1545104980469,5,2018-01-01,30,22,301.1545104980469,1648.2713623046875,0.0687314122915268,0,R_A2,0.0,STANDARD
6,301.27484130859375,6,2018-01-01,30,22,301.27484130859375,1650.0654296875,0.3121729791164398,0,R_A2,0.0,STANDARD
7,301.3951721191406,7,2018-01-01,30,22,301.3951721191406,1651.859619140625,0.8978545665740967,0,R_A2,0.0,STANDARD
8,301.5154724121094,8,2018-01-01,30,22,301.5154724121094,1653.6536865234375,0.8618757724761963,0,R_A2,0.0,STANDARD
9,301.63580322265625,9,2018-01-01,30,22,301.63580322265625,1655.44775390625,0.9105261564254761,0,R_A2,0.0,STANDARD
10,301.7561340332031,10,2018-01-01,30,22,301.7561340332031,1657.2418212890625,0.9083951115608215,0,R_A2,0.0,STANDARD
11,301.88323974609375,11,2018-01-01,30,22,301.88323974609375,1659.1368408203125,0.07604346424341202,0,R_A2,0.0,STANDARD
12,302.01708984375,12,2018-01-01,30,22,302.01708984375,1661.132568359375,0.0789390504360199,0,R_A2,0.0,STANDARD
13,302.1509704589844,13,2018-01-01,30,22,302.1509704589844,1663.12841796875,0.44872841238975525,0,R_A2,0.0,STANDARD
14,302.28485107421875,14,2018-01-01,30,22,302.28485107421875,1665.1241455078125,0.5068296194076538,0,R_A2,0.0,STANDARD
15,302.4187316894531,15,2018-01-01,30,22,302.4187316894531,1667.1199951171875,0.6861860752105713,0,R_A2,0.0,STANDARD
16,302.5526123046875,16,2018-01-01,30,22,302.5526123046875,1669.11572265625,0.9714688062667847,0,R_A2,0.0,STANDARD
17,302.6864929199219,17,2018-01-01,30,22,302.6864929199219,1671.111572265625,0.948536217212677,0,R_A2,0.0,STANDARD
18,302.8123779296875,18,2018-01-01,30,22,302.8123779296875,1672.9881591796875,0.9796320199966431,0,R_A2,0.0,STANDARD
19,302.89569091796875,18,2018-01-01,29,22,302.89569091796875,1674.229736328125,0.9940532445907593,0,R_A2,0.0,STANDARD
20,303.02569580078125,27,2018-01-01,29,22,303.02569580078125,1676.1676025390625,0.6481541991233826,0,R_A2,0.0,STANDARD
21,303.47802734375,28,2018-01-01,29,22,303.47802734375,1677.9368896484375,1.0,0,R_A2,0.0,STANDARD
22,303.64569091796875,29,2018-01-01,29,22,303.64569091796875,1679.7061767578125,1.0,0,R_A2,0.0,STANDARD
23,303.8133544921875,30,2018-01-01,29,22,303.8133544921875,1681.4754638671875,1.0,0,R_A2,0.0,STANDARD
24,303.98101806640625,31,2018-01-01,29,22,303.98101806640625,1683.2447509765625,1.0,0,R_A2,0.0,STANDARD
1,298.53814697265625,1,2018-01-01,41,28,298.53814697265625,1609.243408203125,0.6481541991233826,0,R_A3,0.0,STANDARD
2,298.676513671875,2,2018-01-01,41,28,298.676513671875,1611.3077392578125,0.19803451001644135,0,R_A3,0.0,STANDARD
3,298.8148498535156,3,2018-01-01,41,28,298.8148498535156,1613.3720703125,0.19370174407958984,0,R_A3,0.0,STANDARD
4,298.9532165527344,4,2018-01-01,41,28,298.9532165527344,1615.4365234375,0.2555322051048279,0,R_A3,0.0,STANDARD
5,299.0915832519531,5,2018-01-01,41,28,299.0915832519531,1617.5008544921875,0.8283283710479736,0,R_A3,0.0,STANDARD
6,299.2299499511719,6,2018-01-01,41,28,299.2299499511719,1619.565185546875,0.6481541991233826,0,R_A3,0.0,STANDARD
