SWAT,PRESSURE,WELL,DRAWDOWN,DATE,WELLMODEL,DEPTH,CONIDX,CONJPOS,CONKPOS,SGAS,CONIPOS,CONBPRES
0.0519433356821537,300.7108459472656,R_A2,0,2018-01-01,STANDARD,1639.7293701171875,1,30,1,0.0,22,300.7108459472656
0.054212555289268494,300.82928466796875,R_A2,0,2018-01-01,STANDARD,1641.49560546875,2,30,2,0.0,22,300.82928466796875
0.05720853805541992,300.9477233886719,R_A2,0,2018-01-01,STANDARD,1643.2618408203125,3,30,3,0.0,22,300.9477233886719
0.06159503757953644,301.066162109375,R_A2,0,2018-01-01,STANDARD,1645.0281982421875,4,30,4,0.0,22,301.066162109375
0.06550245732069016,301.1846008300781,R_A2,0,2018-01-01,STANDARD,1646.79443359375,5,30,5,0.0,22,301.1846008300781
0.31012365221977234,301.3030700683594,R_A2,0,2018-01-01,STANDARD,1648.560791015625,6,30,6,0.0,22,301.3030700683594
0.869702935218811,301.4215087890625,R_A2,0,2018-01-01,STANDARD,1650.3270263671875,7,30,7,0.0,22,301.4215087890625
0.8662241697311401,301.53997802734375,R_A2,0,2018-01-01,STANDARD,1652.09326171875,8,30,8,0.0,22,301.53997802734375
0.8731284141540527,301.6584167480469,R_A2,0,2018-01-01,STANDARD,1653.8594970703125,9,30,9,0.0,22,301.6584167480469
0.8766472339630127,301.7768859863281,R_A2,0,2018-01-01,STANDARD,1655.625732421875,10,30,10,0.0,22,301.7768859863281
0.06684939563274384,301.9046936035156,R_A2,0,2018-01-01,STANDARD,1657.5313720703125,11,30,11,0.0,22,301.9046936035156
0.0732155367732048,302.0418395996094,R_A2,0,2018-01-01,STANDARD,1659.5760498046875,12,30,12,0.0,22,302.0418395996094
0.42173293232917786,302.17901611328125,R_A2,0,2018-01-01,STANDARD,1661.620849609375,13,30,13,0.0,22,302.17901611328125
0.4659166932106018,302.316162109375,R_A2,0,2018-01-01,STANDARD,1663.6656494140625,14,30,14,0.0,22,302.316162109375
0.9006452560424805,302.4533386230469,R_A2,0,2018-01-01,STANDARD,1665.71044921875,15,30,15,0.0,22,302.4533386230469
