SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
0.0205601,0.0,1.0,9.95715,1,SWOF,,,,
0.0305601,0.0,0.9876473,4.1634181,1,SWOF,,,,
0.0405601,7.3e-06,0.9708083,2.2334317,1,SWOF,,,,
0.0605601,0.000105,0.9295565,0.9246556,1,SWOF,,,,
0.0805601,0.0003688,0.8806283,0.4935447,1,SWOF,,,,
0.1005601,0.0008531,0.8257397,0.3030079,1,SWOF,,,,
0.1205601,0.0016095,0.7663608,0.2033024,1,SWOF,,,,
0.1405601,0.0026904,0.7039596,0.1450421,1,SWOF,,,,
0.1605601,0.0041508,0.640017,0.10824,1,SWOF,,,,
0.1805601,0.0060493,0.5759768,0.0836031,1,SWOF,,,,
0.2005601,0.008449,0.5131756,0.0663518,1,SWOF,,,,
0.2205601,0.011418,0.4527777,0.0538308,1,SWOF,,,,
0.2405601,0.0150303,0.3957276,0.0444732,1,SWOF,,,,
0.2605601,0.0193662,0.3427253,0.0373072,1,SWOF,,,,
0.2805601,0.0245131,0.2942261,0.0317054,1,SWOF,,,,
0.3005601,0.0305657,0.2504591,0.0272484,1,SWOF,,,,
0.3205601,0.037627,0.2114593,0.0236477,1,SWOF,,,,
0.3405601,0.045808,0.1771063,0.0206997,1,SWOF,,,,
0.3605601,0.0552285,0.147165,0.0182574,1,SWOF,,,,
0.3805601,0.0660167,0.1213219,0.0162129,1,SWOF,,,,
0.4005601,0.0783097,0.0992181,0.0144851,1,SWOF,,,,
0.4205601,0.0922523,0.0804743,0.0130127,1,SWOF,,,,
0.4405601,0.1079965,0.0647108,0.0117484,1,SWOF,,,,
0.4605601,0.1256998,0.0515611,0.0106552,1,SWOF,,,,
0.4805601,0.1455234,0.0406811,0.0097039,1,SWOF,,,,
0.5005601,0.1676288,0.0317542,0.0088713,1,SWOF,,,,
0.5205601,0.1921742,0.0244942,0.0081387,1,SWOF,,,,
0.5405601,0.219309,0.0186458,0.0074909,1,SWOF,,,,
0.5605601,0.2491672,0.0139831,0.0069155,1,SWOF,,,,
0.5805601,0.2818596,0.0103088,0.0064022,1,SWOF,,,,
0.6005601,0.3174632,0.0074514,0.0059425,1,SWOF,,,,
0.6205601,0.3560102,0.0052629,0.0055293,1,SWOF,,,,
0.6405601,0.3974738,0.0036166,0.0051565,1,SWOF,,,,
0.6605601,0.4417536,0.0024044,0.0048193,1,SWOF,,,,
0.6805601,0.4886584,0.0015348,0.0045132,1,SWOF,,,,
0.7005601,0.5378881,0.000931,0.0042346,1,SWOF,,,,
0.7205601,0.5890143,0.0005286,0.0039803,1,SWOF,,,,
0.7405601,0.6414587,0.0002747,0.0037476,1,SWOF,,,,
0.7605601,0.6944658,0.000126,0.0035343,1,SWOF,,,,
0.7805601,0.7470633,4.78e-05,0.0033381,1,SWOF,,,,
0.8005601,0.7979816,1.32e-05,0.0031574,1,SWOF,,,,
0.8205601,0.8454403,1.9e-06,0.0029905,1,SWOF,,,,
0.8405601,0.8862431,0.0,0.0028362,1,SWOF,,,,
0.85,0.9,0.0,0.0027674,1,SWOF,,,,
0.8605601,0.9070401,0.0,0.0026932,1,SWOF,,,,
0.8805601,0.9203734,0.0,0.0025605,1,SWOF,,,,
0.9005601,0.9337067,0.0,0.002437,1,SWOF,,,,
0.9205601,0.9470401,0.0,0.0023221,1,SWOF,,,,
0.9405601,0.9603734,0.0,0.0022148,1,SWOF,,,,
0.9605601,0.9737067,0.0,0.0021146,1,SWOF,,,,
0.9805601,0.9870401,0.0,0.0020209,1,SWOF,,,,
1.0,1.0,0.0,0.0019355,1,SWOF,,,,
,,,,1,SGOF,0.0,0.0,1.0,0.0
,,,,1,SGOF,0.05,0.0,0.8860679,0.0
,,,,1,SGOF,0.07,7.99e-05,0.8347299,0.0
,,,,1,SGOF,0.09,0.0004334,0.7808521,0.0
,,,,1,SGOF,0.11,0.0011787,0.7250977,0.0
,,,,1,SGOF,0.13,0.002417,0.6682152,0.0
,,,,1,SGOF,0.15,0.0042457,0.6110032,0.0
,,,,1,SGOF,0.17,0.0067625,0.5542712,0.0
,,,,1,SGOF,0.19,0.0100674,0.4987981,0.0
,,,,1,SGOF,0.21,0.0142632,0.4452949,0.0
,,,,1,SGOF,0.23,0.0194562,0.394374,0.0
,,,,1,SGOF,0.25,0.0257554,0.3465279,0.0
,,,,1,SGOF,0.27,0.0332729,0.3021188,0.0
,,,,1,SGOF,0.29,0.0421221,0.2613776,0.0
,,,,1,SGOF,0.31,0.0524176,0.2244119,0.0
,,,,1,SGOF,0.33,0.0642727,0.1912205,0.0
,,,,1,SGOF,0.35,0.0777981,0.1617112,0.0
,,,,1,SGOF,0.37,0.0930996,0.1357203,0.0
,,,,1,SGOF,0.39,0.1102749,0.1130318,0.0
,,,,1,SGOF,0.41,0.1294115,0.0933954,0.0
,,,,1,SGOF,0.43,0.1505827,0.0765417,0.0
,,,,1,SGOF,0.45,0.1738441,0.0621941,0.0
,,,,1,SGOF,0.47,0.1992303,0.0500796,0.0
,,,,1,SGOF,0.49,0.2267511,0.0399348,0.0
,,,,1,SGOF,0.51,0.2563876,0.0315119,0.0
,,,,1,SGOF,0.53,0.2880898,0.0245809,0.0
,,,,1,SGOF,0.55,0.3217734,0.0189319,0.0
,,,,1,SGOF,0.57,0.3573183,0.0143752,0.0
,,,,1,SGOF,0.59,0.3945677,0.0107415,0.0
,,,,1,SGOF,0.61,0.4333285,0.0078807,0.0
,,,,1,SGOF,0.63,0.4733727,0.005661,0.0
,,,,1,SGOF,0.65,0.51444,0.0039673,0.0
,,,,1,SGOF,0.67,0.556242,0.0027003,0.0
,,,,1,SGOF,0.69,0.5984664,0.0017744,0.0
,,,,1,SGOF,0.71,0.6407831,0.0011167,0.0
,,,,1,SGOF,0.73,0.682849,0.0006658,0.0
,,,,1,SGOF,0.75,0.7243131,0.0003702,0.0
,,,,1,SGOF,0.77,0.7648197,0.0001874,0.0
,,,,1,SGOF,0.79,0.804008,8.32e-05,0.0
,,,,1,SGOF,0.81,0.841504,3.02e-05,0.0
,,,,1,SGOF,0.83,0.8768951,7.8e-06,0.0
,,,,1,SGOF,0.85,0.9096513,1e-06,0.0
,,,,1,SGOF,0.87,0.9387692,0.0,0.0
,,,,1,SGOF,0.8794399,0.95,0.0,0.0
,,,,1,SGOF,0.9794399,1.0,0.0,0.0
0.1182346,0.0,1.0,9.95715,2,SWOF,,,,
0.1282346,0.0,0.9855865,7.6168415,2,SWOF,,,,
0.1382346,9.9e-06,0.9658311,5.9450677,2,SWOF,,,,
0.1582346,0.0001433,0.9171652,3.8062496,2,SWOF,,,,
0.1782346,0.0005054,0.8592811,2.5699127,2,SWOF,,,,
0.1982346,0.0011743,0.7945026,1.809255,2,SWOF,,,,
0.2182346,0.0022257,0.7249589,1.3174801,2,SWOF,,,,
0.2382346,0.0037381,0.6528028,0.9864521,2,SWOF,,,,
0.2582346,0.0057956,0.5801572,0.7560392,2,SWOF,,,,
0.2782346,0.008489,0.5089914,0.5910649,2,SWOF,,,,
0.2982346,0.0119179,0.4409982,0.4700569,2,SWOF,,,,
0.3182346,0.0161912,0.3775053,0.3794246,2,SWOF,,,,
0.3382346,0.0214286,0.3194357,0.3102933,2,SWOF,,,,
0.3582346,0.0277618,0.2673169,0.2567078,2,SWOF,,,,
0.3782346,0.0353352,0.2213264,0.2145753,2,SWOF,,,,
0.3982346,0.0443068,0.1813596,0.1810228,2,SWOF,,,,
0.4182346,0.0548488,0.1471047,0.1539948,2,SWOF,,,,
0.4382346,0.0671477,0.1181127,0.1319957,2,SWOF,,,,
0.4582346,0.0814041,0.0938592,0.1139205,2,SWOF,,,,
0.4782346,0.0978319,0.0737905,0.0989411,2,SWOF,,,,
0.4982346,0.1166561,0.057359,0.0864291,2,SWOF,,,,
0.5182346,0.1381099,0.0440453,0.0759023,2,SWOF,,,,
0.5382346,0.1624298,0.033372,0.0669862,2,SWOF,,,,
0.5582346,0.1898493,0.0249107,0.0593877,2,SWOF,,,,
0.5782346,0.2205892,0.0182833,0.0528747,2,SWOF,,,,
0.5982346,0.2548459,0.0131614,0.0472624,2,SWOF,,,,
0.6182346,0.2927762,0.0092626,0.042402,2,SWOF,,,,
0.6382346,0.3344775,0.0063468,0.038173,2,SWOF,,,,
0.6582346,0.3799657,0.0042112,0.0344775,2,SWOF,,,,
0.6782346,0.4291478,0.0026861,0.0312347,2,SWOF,,,,
0.6982346,0.4817918,0.0016307,0.0283784,2,SWOF,,,,
0.7182346,0.5374937,0.0009288,0.0258531,2,SWOF,,,,
0.7382346,0.5956405,0.0004859,0.023613,2,SWOF,,,,
0.7582346,0.6553701,0.0002256,0.0216192,2,SWOF,,,,
0.7782346,0.7155186,8.76e-05,0.0198393,2,SWOF,,,,
0.7982346,0.774532,2.52e-05,0.0182457,2,SWOF,,,,
0.8182346,0.8302503,4e-06,0.0168149,2,SWOF,,,,
0.8382346,0.8790611,1e-07,0.0155269,2,SWOF,,,,
0.85,0.9,0.0,0.0148289,2,SWOF,,,,
0.8582346,0.9054897,0.0,0.0143646,2,SWOF,,,,
0.8782346,0.918823,0.0,0.013313,2,SWOF,,,,
0.8982346,0.9321564,0.0,0.0123596,2,SWOF,,,,
0.9182346,0.9454897,0.0,0.0114933,2,SWOF,,,,
0.9382346,0.958823,0.0,0.0107044,2,SWOF,,,,
0.9582346,0.9721564,0.0,0.0099847,2,SWOF,,,,
0.9782346,0.9854897,0.0,0.0093267,2,SWOF,,,,
0.9982346,0.998823,0.0,0.0087242,2,SWOF,,,,
1.0,1.0,0.0,0.0086734,2,SWOF,,,,
,,,,2,SGOF,0.0,0.0,1.0,0.0
,,,,2,SGOF,0.05,0.0,0.8703408,0.0
,,,,2,SGOF,0.07,0.0001083,0.8114452,0.0
,,,,2,SGOF,0.09,0.0005897,0.7496897,0.0
,,,,2,SGOF,0.11,0.0016099,0.6860831,0.0
,,,,2,SGOF,0.13,0.0033137,0.6217401,0.0
,,,,2,SGOF,0.15,0.0058429,0.5578128,0.0
,,,,2,SGOF,0.17,0.0093416,0.4954169,0.0
,,,,2,SGOF,0.19,0.0139584,0.435563,0.0
,,,,2,SGOF,0.21,0.0198472,0.3791022,0.0
,,,,2,SGOF,0.23,0.0271671,0.3266898,0.0
,,,,2,SGOF,0.25,0.0360814,0.2787709,0.0
,,,,2,SGOF,0.27,0.0467561,0.2355851,0.0
,,,,2,SGOF,0.29,0.0593572,0.197187,0.0
,,,,2,SGOF,0.31,0.0740481,0.1634761,0.0
,,,,2,SGOF,0.33,0.0909855,0.1342315,0.0
,,,,2,SGOF,0.35,0.1103143,0.1091467,0.0
,,,,2,SGOF,0.37,0.1321626,0.0878616,0.0
,,,,2,SGOF,0.39,0.1566354,0.0699892,0.0
,,,,2,SGOF,0.41,0.1838079,0.0551366,0.0
,,,,2,SGOF,0.43,0.2137187,0.0429213,0.0
,,,,2,SGOF,0.45,0.2463628,0.0329814,0.0
,,,,2,SGOF,0.47,0.2816857,0.0249833,0.0
,,,,2,SGOF,0.49,0.3195781,0.0186242,0.0
,,,,2,SGOF,0.51,0.3598719,0.0136342,0.0
,,,,2,SGOF,0.53,0.4023387,0.0097757,0.0
,,,,2,SGOF,0.55,0.4466902,0.0068415,0.0
,,,,2,SGOF,0.57,0.4925813,0.0046531,0.0
,,,,2,SGOF,0.59,0.5396159,0.0030579,0.0
,,,,2,SGOF,0.61,0.5873547,0.001927,0.0
,,,,2,SGOF,0.63,0.6353249,0.0011522,0.0
,,,,2,SGOF,0.65,0.6830302,0.0006439,0.0
,,,,2,SGOF,0.67,0.7299604,0.0003288,0.0
,,,,2,SGOF,0.69,0.7755968,0.000148,0.0
,,,,2,SGOF,0.71,0.819411,5.52e-05,0.0
,,,,2,SGOF,0.73,0.860844,1.5e-05,0.0
,,,,2,SGOF,0.75,0.899232,2.2e-06,0.0
,,,,2,SGOF,0.77,0.9334811,0.0,0.0
,,,,2,SGOF,0.7817654,0.95,0.0,0.0
,,,,2,SGOF,0.8817654,1.0,0.0,0.0
0.0211401,0.0,1.0,9.95715,3,SWOF,,,,
0.0311401,0.0,0.9876367,4.2468436,3,SWOF,,,,
0.0411401,7.3e-06,0.9707826,2.3013697,3,SWOF,,,,
0.0611401,0.0001052,0.9294929,0.9626147,3,SWOF,,,,
0.0811401,0.0003695,0.8805188,0.5164779,3,SWOF,,,,
0.1011401,0.0008546,0.8255791,0.3180815,3,SWOF,,,,
0.1211401,0.0016124,0.7661469,0.2138634,3,SWOF,,,,
0.1411401,0.0026953,0.7036933,0.1528055,3,SWOF,,,,
0.1611401,0.0041585,0.6397024,0.1141621,3,SWOF,,,,
0.1811401,0.0060607,0.5756206,0.0882547,3,SWOF,,,,
0.2011401,0.0084651,0.5127866,0.0700927,3,SWOF,,,,
0.2211401,0.0114401,0.4523659,0.0568986,3,SWOF,,,,
0.2411401,0.0150598,0.3953034,0.0470302,3,SWOF,,,,
0.2611401,0.0194047,0.3422988,0.0394683,3,SWOF,,,,
0.2811401,0.0245625,0.2938065,0.0335536,3,SWOF,,,,
0.3011401,0.0306283,0.250054,0.0288456,3,SWOF,,,,
0.3211401,0.0377051,0.2110749,0.0250404,3,SWOF,,,,
0.3411401,0.0459045,0.1767472,0.0219239,3,SWOF,,,,
0.3611401,0.0553464,0.1468341,0.0193412,3,SWOF,,,,
0.3811401,0.0661596,0.121021,0.0171784,3,SWOF,,,,
0.4011401,0.0784814,0.0989477,0.0153504,3,SWOF,,,,
0.4211401,0.0924572,0.080234,0.0137921,3,SWOF,,,,
0.4411401,0.1082391,0.0644995,0.0124538,3,SWOF,,,,
0.4611401,0.1259854,0.0513773,0.0112963,3,SWOF,,,,
0.4811401,0.1458573,0.0405227,0.010289,3,SWOF,,,,
0.5011401,0.1680169,0.0316193,0.0094072,3,SWOF,,,,
0.5211401,0.1926226,0.0243805,0.0086312,3,SWOF,,,,
0.5411401,0.2198237,0.018551,0.0079449,3,SWOF,,,,
0.5611401,0.2497544,0.0139051,0.0073352,3,SWOF,,,,
0.5811401,0.2825251,0.0102455,0.0067913,3,SWOF,,,,
0.6011401,0.3182122,0.0074008,0.0063041,3,SWOF,,,,
