WELL,DEPTH,CONBPRES,CONKPOS,SGAS,DRAWDOWN,CONIPOS,CONJPOS,PRESSURE,DATE,CONIDX,WELLMODEL,SWAT
R_A2,1641.094970703125,300.8115234375,1,0.0,0,22,30,300.8115234375,2018-01-01,1,STANDARD,0.053320590406656265
R_A2,1642.8890380859375,300.93182373046875,2,0.0,0,22,30,300.93182373046875,2018-01-01,2,STANDARD,0.0543854646384716
R_A2,1644.68310546875,301.0521545410156,3,0.0,0,22,30,301.0521545410156,2018-01-01,3,STANDARD,0.0567375048995018
R_A2,1646.4771728515625,301.1724548339844,4,0.0,0,22,30,301.1724548339844,2018-01-01,4,STANDARD,0.0609162375330925
R_A2,1648.2713623046875,301.29278564453125,5,0.0,0,22,30,301.29278564453125,2018-01-01,5,STANDARD,0.06426318734884262
R_A2,1650.0654296875,301.4130859375,6,0.0,0,22,30,301.4130859375,2018-01-01,6,STANDARD,0.29854026436805725
R_A2,1651.859619140625,301.5334167480469,7,0.0,0,22,30,301.5334167480469,2018-01-01,7,STANDARD,0.8757612705230713
R_A2,1653.6536865234375,301.65374755859375,8,0.0,0,22,30,301.65374755859375,2018-01-01,8,STANDARD,0.8582463264465332
R_A2,1655.44775390625,301.7740783691406,9,0.0,0,22,30,301.7740783691406,2018-01-01,9,STANDARD,0.8835723400115967
R_A2,1657.2418212890625,301.8944091796875,10,0.0,0,22,30,301.8944091796875,2018-01-01,10,STANDARD,0.8816941976547241
R_A2,1659.1368408203125,302.0215148925781,11,0.0,0,22,30,302.0215148925781,2018-01-01,11,STANDARD,0.06794224679470062
R_A2,1661.132568359375,302.1553649902344,12,0.0,0,22,30,302.1553649902344,2018-01-01,12,STANDARD,0.07200595736503601
R_A2,1663.12841796875,302.28924560546875,13,0.0,0,22,30,302.28924560546875,2018-01-01,13,STANDARD,0.4372347295284271
R_A2,1665.1241455078125,302.4231262207031,14,0.0,0,22,30,302.4231262207031,2018-01-01,14,STANDARD,0.4693787097930908
R_A2,1667.1199951171875,302.5570068359375,15,0.0,0,22,30,302.5570068359375,2018-01-01,15,STANDARD,0.6283113956451416
R_A2,1669.11572265625,302.6908874511719,16,0.0,0,22,30,302.6908874511719,2018-01-01,16,STANDARD,0.9175541400909424
R_A2,1671.111572265625,302.8247985839844,17,0.0,0,22,30,302.8247985839844,2018-01-01,17,STANDARD,0.8816704750061035
R_A2,1672.9881591796875,302.95068359375,18,0.0,0,22,30,302.95068359375,2018-01-01,18,STANDARD,0.9245194792747498
R_A2,1674.229736328125,303.03399658203125,18,0.0,0,22,29,303.03399658203125,2018-01-01,19,STANDARD,0.941796600818634
R_A2,1676.1676025390625,303.16400146484375,27,0.0,0,22,29,303.16400146484375,2018-01-01,20,STANDARD,1.0
R_A2,1677.9368896484375,303.28271484375,28,0.0,0,22,29,303.28271484375,2018-01-01,21,STANDARD,1.0
R_A2,1679.7061767578125,303.40142822265625,29,0.0,0,22,29,303.40142822265625,2018-01-01,22,STANDARD,1.0
R_A2,1681.4754638671875,303.5201416015625,30,0.0,0,22,29,303.5201416015625,2018-01-01,23,STANDARD,1.0
R_A2,1683.2447509765625,303.98101806640625,31,0.0,0,22,29,303.98101806640625,2018-01-01,24,STANDARD,1.0
R_A3,1609.243408203125,298.6763000488281,1,0.0,0,28,41,298.6763000488281,2018-01-01,1,STANDARD,0.6481541991233826
R_A3,1611.3077392578125,298.8146667480469,2,0.0,0,28,41,298.8146667480469,2018-01-01,2,STANDARD,0.1945217102766037
R_A3,1613.3720703125,298.9530334472656,3,0.0,0,28,41,298.9530334472656,2018-01-01,3,STANDARD,0.18900130689144135
R_A3,1615.4365234375,299.09136962890625,4,0.0,0,28,41,299.09136962890625,2018-01-01,4,STANDARD,0.3712385296821594
R_A3,1617.5008544921875,299.2297668457031,5,0.0,0,28,41,299.2297668457031,2018-01-01,5,STANDARD,0.6481541991233826
R_A3,1619.565185546875,299.3681335449219,6,0.0,0,28,41,299.3681335449219,2018-01-01,6,STANDARD,0.10801681131124496
R_A3,1609.3663330078125,298.6845397949219,6,0.0,0,29,41,298.6845397949219,2018-01-01,7,STANDARD,0.2811034023761749
R_A3,1611.4163818359375,298.8219299316406,7,0.0,0,29,41,298.8219299316406,2018-01-01,8,STANDARD,0.19280047714710236
R_A3,1613.46630859375,298.9593200683594,8,0.0,0,29,41,298.9593200683594,2018-01-01,9,STANDARD,0.1939261257648468
R_A3,1615.516357421875,299.09674072265625,9,0.0,0,29,41,299.09674072265625,2018-01-01,10,STANDARD,0.678589940071106
R_A3,1617.5662841796875,299.234130859375,10,0.0,0,29,41,299.234130859375,2018-01-01,11,STANDARD,0.6481541991233826
R_A3,1619.750732421875,299.38055419921875,11,0.0,0,29,41,299.38055419921875,2018-01-01,12,STANDARD,0.049130879342556
R_A3,1622.0697021484375,299.5360107421875,12,0.0,0,29,41,299.5360107421875,2018-01-01,13,STANDARD,0.05218302831053734
R_A3,1624.388671875,299.69146728515625,13,0.0,0,29,41,299.69146728515625,2018-01-01,14,STANDARD,0.3657466173171997
R_A3,1626.707763671875,299.846923828125,14,0.0,0,29,41,299.846923828125,2018-01-01,15,STANDARD,0.3437867760658264
R_A3,1629.026611328125,300.00238037109375,15,0.0,0,29,41,300.00238037109375,2018-01-01,16,STANDARD,0.4873444437980652
R_A3,1630.9468994140625,300.1311340332031,16,0.0,0,29,41,300.1311340332031,2018-01-01,17,STANDARD,0.800727367401123
R_A3,1633.5262451171875,300.3040466308594,27,0.0,0,29,41,300.3040466308594,2018-01-01,18,STANDARD,0.715637743473053
R_A3,1637.1630859375,300.54791259765625,28,0.0,0,29,41,300.54791259765625,2018-01-01,19,STANDARD,0.04080929607152939
R_A3,1640.8001708984375,300.7917785644531,29,0.0,0,29,41,300.7917785644531,2018-01-01,20,STANDARD,0.11697240173816681
R_A3,1644.4371337890625,301.03564453125,30,0.0,0,29,41,301.03564453125,2018-01-01,21,STANDARD,0.6481541991233826
R_A3,1648.0740966796875,301.279541015625,31,0.0,0,29,41,301.279541015625,2018-01-01,22,STANDARD,0.06033673137426376
R_A4,1631.1873779296875,300.1472473144531,1,0.0,0,30,52,300.1472473144531,2018-01-01,1,STANDARD,0.04857760667800903
R_A4,1627.4293212890625,299.8952941894531,1,0.0,0,31,52,299.8952941894531,2018-01-01,2,STANDARD,0.04749808460474014
R_A4,1629.4896240234375,300.0334167480469,2,0.0,0,31,52,300.0334167480469,2018-01-01,3,STANDARD,0.049311090260744095
R_A4,1631.5498046875,300.1715393066406,3,0.0,0,31,52,300.1715393066406,2018-01-01,4,STANDARD,0.052004583179950714
R_A4,1633.610107421875,300.3096618652344,4,0.0,0,31,52,300.3096618652344,2018-01-01,5,STANDARD,0.05363711714744568
R_A4,1632.3968505859375,300.22833251953125,4,0.0,0,32,52,300.22833251953125,2018-01-01,6,STANDARD,0.05437132343649864
R_A4,1635.880615234375,300.4619140625,4,0.0,0,32,51,300.4619140625,2018-01-01,7,STANDARD,0.1078915074467659
R_A4,1637.321044921875,300.5585021972656,4,0.0,0,33,51,300.5585021972656,2018-01-01,8,STANDARD,0.15333564579486847
R_A4,1635.474609375,300.4346923828125,3,0.0,0,33,51,300.4346923828125,2018-01-01,9,STANDARD,0.18851232528686523
R_A4,1642.1485595703125,300.8821716308594,4,0.0,0,33,50,300.8821716308594,2018-01-01,10,STANDARD,0.060242850333452225
R_A4,1641.132080078125,300.81402587890625,4,0.0,0,34,50,300.81402587890625,2018-01-01,11,STANDARD,0.05853510648012161
R_A4,1639.20703125,300.6849365234375,3,0.0,0,34,50,300.6849365234375,2018-01-01,12,STANDARD,0.6481541991233826
R_A4,1640.9061279296875,300.7988586425781,3,0.0,0,35,50,300.7988586425781,2018-01-01,13,STANDARD,0.26193416118621826
R_A4,1639.0426025390625,300.6739196777344,2,0.0,0,35,50,300.6739196777344,2018-01-01,14,STANDARD,0.23025977611541748
R_A4,1641.93212890625,300.86767578125,2,0.0,0,35,49,300.86767578125,2018-01-01,15,STANDARD,0.23056747019290924
R_A4,1642.357421875,300.89617919921875,30,0.0,0,36,49,300.89617919921875,2018-01-01,16,STANDARD,0.23968476057052612
R_A4,1639.6068115234375,300.7117614746094,30,0.0,0,36,48,300.7117614746094,2018-01-01,17,STANDARD,0.2081032544374466
R_A4,1646.7513427734375,301.19085693359375,30,0.0,0,37,48,301.19085693359375,2018-01-01,18,STANDARD,0.6481541991233826
R_A4,1653.461669921875,301.640869140625,30,0.0,0,38,48,301.640869140625,2018-01-01,19,STANDARD,0.6481541991233826
R_A4,1657.8184814453125,301.9330749511719,30,0.0,0,38,47,301.9330749511719,2018-01-01,20,STANDARD,0.6481541991233826
R_A5,1685.026611328125,303.8440856933594,1,0.0,0,31,20,303.8440856933594,2018-01-01,1,STANDARD,1.0
R_A5,1687.3070068359375,304.0601806640625,2,0.0,0,31,20,304.0601806640625,2018-01-01,2,STANDARD,1.0
R_A5,1689.5875244140625,304.27630615234375,3,0.0,0,31,20,304.27630615234375,2018-01-01,3,STANDARD,1.0
R_A5,1691.8680419921875,304.4924011230469,4,0.0,0,31,20,304.4924011230469,2018-01-01,4,STANDARD,1.0
R_A5,1694.1485595703125,304.7085266113281,5,0.0,0,31,20,304.7085266113281,2018-01-01,5,STANDARD,1.0
R_A5,1696.4290771484375,304.9246520996094,6,0.0,0,31,20,304.9246520996094,2018-01-01,6,STANDARD,1.0
R_A5,1698.70947265625,305.446533203125,7,0.0,0,31,20,305.446533203125,2018-01-01,7,STANDARD,1.0
R_A5,1707.6488037109375,305.988037109375,11,0.0,0,31,20,305.988037109375,2018-01-01,8,STANDARD,1.0
R_A5,1709.5638427734375,306.1695251464844,12,0.0,0,31,20,306.1695251464844,2018-01-01,9,STANDARD,1.0
R_A5,1701.7845458984375,305.4322814941406,12,0.0,0,31,21,305.4322814941406,2018-01-01,10,STANDARD,1.0
R_A5,1703.735107421875,305.6291198730469,13,0.0,0,31,21,305.6291198730469,2018-01-01,11,STANDARD,1.0
R_A5,1705.6856689453125,305.81396484375,14,0.0,0,31,21,305.81396484375,2018-01-01,12,STANDARD,1.0
R_A5,1707.63623046875,305.9988098144531,15,0.0,0,31,21,305.9988098144531,2018-01-01,13,STANDARD,1.0
R_A5,1709.5867919921875,306.3287048339844,16,0.0,0,31,21,306.3287048339844,2018-01-01,14,STANDARD,1.0
R_A5,1711.537353515625,306.5135498046875,17,0.0,0,31,21,306.5135498046875,2018-01-01,15,STANDARD,1.0
R_A5,1713.35400390625,306.6856994628906,18,0.0,0,31,21,306.6856994628906,2018-01-01,16,STANDARD,1.0
R_A5,1714.3951416015625,306.7843933105469,19,0.0,0,31,21,306.7843933105469,2018-01-01,17,STANDARD,1.0
R_A5,1715.7628173828125,306.75689697265625,27,0.0,0,31,21,306.75689697265625,2018-01-01,18,STANDARD,1.0
R_A5,1718.098388671875,306.978271484375,28,0.0,0,31,21,306.978271484375,2018-01-01,19,STANDARD,1.0
R_A5,1720.43408203125,307.5054016113281,29,0.0,0,31,21,307.5054016113281,2018-01-01,20,STANDARD,1.0
R_A5,1722.7696533203125,307.7267761230469,30,0.0,0,31,21,307.7267761230469,2018-01-01,21,STANDARD,1.0
R_A5,1725.105224609375,307.9481506347656,31,0.0,0,31,21,307.9481506347656,2018-01-01,22,STANDARD,1.0
R_A6,1695.20263671875,305.11419677734375,1,0.0,0,17,42,305.11419677734375,2018-01-01,1,STANDARD,1.0
R_A6,1696.7510986328125,305.2609558105469,2,0.0,0,17,42,305.2609558105469,2018-01-01,2,STANDARD,1.0
R_A6,1698.299560546875,305.4076843261719,3,0.0,0,17,42,305.4076843261719,2018-01-01,3,STANDARD,1.0
R_A6,1699.84814453125,305.554443359375,4,0.0,0,17,42,305.554443359375,2018-01-01,4,STANDARD,1.0
R_A6,1701.3966064453125,305.7012023925781,5,0.0,0,17,42,305.7012023925781,2018-01-01,5,STANDARD,1.0
R_A6,1702.9451904296875,305.84796142578125,6,0.0,0,17,42,305.84796142578125,2018-01-01,6,STANDARD,1.0
R_A6,1704.49365234375,305.6956481933594,7,0.0,0,17,42,305.6956481933594,2018-01-01,7,STANDARD,1.0
R_A6,1706.042236328125,305.8424072265625,8,0.0,0,17,42,305.8424072265625,2018-01-01,8,STANDARD,1.0
R_A6,1707.5906982421875,306.2882080078125,9,0.0,0,17,42,306.2882080078125,2018-01-01,9,STANDARD,1.0
R_A6,1709.1392822265625,306.1291809082031,10,0.0,0,17,42,306.1291809082031,2018-01-01,10,STANDARD,1.0
R_A6,1711.055419921875,306.3109130859375,11,0.0,0,17,42,306.3109130859375,2018-01-01,11,STANDARD,1.0
R_A6,1713.3392333984375,306.52734375,12,0.0,0,17,42,306.52734375,2018-01-01,12,STANDARD,1.0
R_A6,1715.623046875,306.7557678222656,13,0.0,0,17,42,306.7557678222656,2018-01-01,13,STANDARD,1.0
R_A6,1717.9068603515625,306.9721984863281,14,0.0,0,17,42,306.9721984863281,2018-01-01,14,STANDARD,1.0
R_A6,1720.190673828125,307.18865966796875,15,0.0,0,17,42,307.18865966796875,2018-01-01,15,STANDARD,1.0
R_A6,1722.474365234375,307.55010986328125,16,0.0,0,17,42,307.55010986328125,2018-01-01,16,STANDARD,1.0
R_A6,1724.7581787109375,307.7665710449219,17,0.0,0,17,42,307.7665710449219,2018-01-01,17,STANDARD,1.0
R_A6,1726.394287109375,307.921630859375,18,0.0,0,17,42,307.921630859375,2018-01-01,18,STANDARD,1.0
R_A6,1727.7508544921875,307.8930969238281,27,0.0,0,17,42,307.8930969238281,2018-01-01,19,STANDARD,1.0
R_A6,1729.4755859375,308.3623352050781,28,0.0,0,17,42,308.3623352050781,2018-01-01,20,STANDARD,1.0
R_A6,1731.2001953125,308.52581787109375,29,0.0,0,17,42,308.52581787109375,2018-01-01,21,STANDARD,1.0
R_A6,1732.9249267578125,308.68927001953125,30,0.0,0,17,42,308.68927001953125,2018-01-01,22,STANDARD,1.0
R_A6,1734.649658203125,308.5469665527344,31,0.0,0,17,42,308.5469665527344,2018-01-01,23,STANDARD,1.0
R_A2,1641.094970703125,298.8609924316406,1,0.0,0,22,30,298.8609924316406,2018-03-01,1,STANDARD,0.053331173956394196
R_A2,1642.8890380859375,298.9812316894531,2,0.0,0,22,30,298.9812316894531,2018-03-01,2,STANDARD,0.054397325962781906
R_A2,1644.68310546875,299.1014709472656,3,0.0,0,22,30,299.1014709472656,2018-03-01,3,STANDARD,0.05675094947218895
R_A2,1646.4771728515625,299.22174072265625,4,0.0,0,22,30,299.22174072265625,2018-03-01,4,STANDARD,0.060960520058870316
R_A2,1648.2713623046875,299.3420104980469,5,0.0,0,22,30,299.3420104980469,2018-03-01,5,STANDARD,0.06435678154230118
R_A2,1650.0654296875,299.47705078125,6,0.0,0,22,30,299.47705078125,2018-03-01,6,STANDARD,0.2989726662635803
R_A2,1651.859619140625,299.61175537109375,7,0.0,0,22,30,299.61175537109375,2018-03-01,7,STANDARD,0.8756883144378662
R_A2,1653.6536865234375,299.7449645996094,8,0.0,0,22,30,299.7449645996094,2018-03-01,8,STANDARD,0.8581035733222961
R_A2,1655.44775390625,299.8742370605469,9,0.0,0,22,30,299.8742370605469,2018-03-01,9,STANDARD,0.8833077549934387
R_A2,1657.2418212890625,300.19854736328125,10,0.0,0,22,30,300.19854736328125,2018-03-01,10,STANDARD,0.881582498550415
R_A2,1659.1368408203125,300.3508605957031,11,0.0,0,22,30,300.3508605957031,2018-03-01,11,STANDARD,0.06800760328769684
R_A2,1661.132568359375,300.4847717285156,12,0.0,0,22,30,300.4847717285156,2018-03-01,12,STANDARD,0.07213162630796432
R_A2,1663.12841796875,300.871826171875,13,0.0,0,22,30,300.871826171875,2018-03-01,13,STANDARD,0.43727782368659973
R_A2,1665.1241455078125,301.13397216796875,14,0.0,0,22,30,301.13397216796875,2018-03-01,14,STANDARD,0.46938246488571167
R_A2,1667.1199951171875,301.2675476074219,15,0.0,0,22,30,301.2675476074219,2018-03-01,15,STANDARD,0.6281344890594482
R_A2,1669.11572265625,301.3988342285156,16,0.0,0,22,30,301.3988342285156,2018-03-01,16,STANDARD,0.9174937009811401
R_A2,1671.111572265625,301.5320739746094,17,0.0,0,22,30,301.5320739746094,2018-03-01,17,STANDARD,0.8816237449645996
R_A2,1672.9881591796875,301.6576232910156,18,0.0,0,22,30,301.6576232910156,2018-03-01,18,STANDARD,0.9244896769523621
R_A2,1674.229736328125,301.7647399902344,18,0.0,0,22,29,301.7647399902344,2018-03-01,19,STANDARD,0.9417740702629089
R_A2,1676.1676025390625,303.135009765625,27,1.0126206754275746e-16,0,22,29,303.135009765625,2018-03-01,20,STANDARD,1.0
R_A2,1677.9368896484375,303.2524719238281,28,1.2518775763118676e-18,0,22,29,303.2524719238281,2018-03-01,21,STANDARD,1.0
R_A2,1679.7061767578125,303.37054443359375,29,2.9938227319470536e-17,0,22,29,303.37054443359375,2018-03-01,22,STANDARD,1.0
R_A2,1681.4754638671875,303.4878234863281,30,1.1520790518346094e-15,0,22,29,303.4878234863281,2018-03-01,23,STANDARD,1.0
R_A2,1683.2447509765625,303.18878173828125,31,1.9854471799279905e-12,0,22,29,303.18878173828125,2018-03-01,24,STANDARD,1.0
R_A5,1685.026611328125,274.12005615234375,1,-4.882725659612151e-16,0,31,20,274.12005615234375,2018-04-28,1,STANDARD,1.0
R_A5,1687.3070068359375,274.3358459472656,2,-1.508849236573892e-17,0,31,20,274.3358459472656,2018-04-28,2,STANDARD,1.0
R_A5,1689.5875244140625,274.5517272949219,3,-1.270104728584142e-14,0,31,20,274.5517272949219,2018-04-28,3,STANDARD,1.0
R_A5,1691.8680419921875,274.7676086425781,4,-1.5977848452403305e-14,0,31,20,274.7676086425781,2018-04-28,4,STANDARD,1.0
R_A5,1694.1485595703125,274.9834899902344,5,-1.553097081009088e-14,0,31,20,274.9834899902344,2018-04-28,5,STANDARD,1.0
R_A5,1696.4290771484375,275.1993713378906,6,-1.187413730031504e-14,0,31,20,275.1993713378906,2018-04-28,6,STANDARD,1.0
R_A5,1698.70947265625,275.73773193359375,7,-2.638565228937559e-15,0,31,20,275.73773193359375,2018-04-28,7,STANDARD,1.0
R_A5,1707.6488037109375,276.4453430175781,11,-2.675203266376547e-13,0,31,20,276.4453430175781,2018-04-28,8,STANDARD,1.0
R_A5,1709.5638427734375,276.677001953125,12,-2.443393794585025e-13,0,31,20,276.677001953125,2018-04-28,9,STANDARD,1.0
R_A5,1701.7845458984375,275.18988037109375,12,-3.9040218974273344e-11,0,31,21,275.18988037109375,2018-04-28,10,STANDARD,1.0
R_A5,1703.735107421875,275.3904113769531,13,-4.114427982343516e-12,0,31,21,275.3904113769531,2018-04-28,11,STANDARD,1.0
R_A5,1705.6856689453125,275.5788879394531,14,-6.382739389104719e-12,0,31,21,275.5788879394531,2018-04-28,12,STANDARD,1.0
R_A5,1707.63623046875,275.7794189453125,15,-1.0468509739625098e-11,0,31,21,275.7794189453125,2018-04-28,13,STANDARD,1.0
R_A5,1709.5867919921875,276.13482666015625,16,-6.507340673256312e-12,0,31,21,276.13482666015625,2018-04-28,14,STANDARD,1.0
R_A5,1711.537353515625,276.34423828125,17,-1.68339983879634e-12,0,31,21,276.34423828125,2018-04-28,15,STANDARD,1.0
R_A5,1713.35400390625,276.5369873046875,18,-3.710833723635787e-12,0,31,21,276.5369873046875,2018-04-28,16,STANDARD,1.0
