ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,3651989,559491,256260,178703,25161364
Valysar,CentralSouth,69994206,13645099,10593540,7387406,1040146761
Valysar,CentralNorth,39350255,6624736,4733796,3301113,464796719
Valysar,NorthHorst,4766494,706332,370853,227797,44625422
Valysar,CentralRamp,13669901,2129209,1512828,1054971,148539878
Valysar,CentralHorst,86833772,13727883,10439293,7279842,1025001716
Valysar,EastLowland,2450108,325773,174730,121848,17156189
Therys,WestLowland,1110491,211558,91485,63797,8982659
Therys,CentralSouth,16618701,4077920,2668422,1860824,262004083
Therys,CentralNorth,21921098,4074210,2331324,1625749,228905425
Therys,NorthHorst,8327012,1099502,414632,254688,49893355
Therys,CentralRamp,6634175,1633447,1306147,910842,128246498
Therys,CentralHorst,31260246,7574113,5903784,4117005,579674253
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,25563,4510,130,91,12779
Volon,CentralSouth,34706127,6616166,4885242,3406724,479666690
Volon,CentralNorth,7739240,1083868,562664,392374,55246225
Volon,NorthHorst,5485549,1013818,735269,451639,88476149
Volon,CentralRamp,12625877,2317366,1843985,1285903,181055118
Volon,CentralHorst,83098035,14802384,11836622,8254270,1162201174
Volon,EastLowland,0,0,0,0,0
