CONJPOS,WELLMODEL,PRESSURE,CONKPOS,CONBPRES,SGAS,DATE,WELL,CONIPOS,DRAWDOWN,SWAT,DEPTH,CONIDX
30,STANDARD,300.7411193847656,1,300.7411193847656,0.0,2018-01-01,R_A2,22,0,0.055876556783914566,1641.8505859375,1
30,STANDARD,300.8614501953125,2,300.8614501953125,0.0,2018-01-01,R_A2,22,0,0.05831344798207283,1643.645263671875,2
30,STANDARD,300.9817810058594,3,300.9817810058594,0.0,2018-01-01,R_A2,22,0,0.06150354444980621,1645.4398193359375,3
30,STANDARD,301.1021423339844,4,301.1021423339844,0.0,2018-01-01,R_A2,22,0,0.2400602102279663,1647.2344970703125,4
30,STANDARD,301.22247314453125,5,301.22247314453125,0.0,2018-01-01,R_A2,22,0,0.1658104807138443,1649.029052734375,5
30,STANDARD,301.34283447265625,6,301.34283447265625,0.0,2018-01-01,R_A2,22,0,0.6481541991233826,1650.82373046875,6
30,STANDARD,301.46319580078125,7,301.46319580078125,0.0,2018-01-01,R_A2,22,0,0.8943157196044922,1652.6182861328125,7
30,STANDARD,301.58355712890625,8,301.58355712890625,0.0,2018-01-01,R_A2,22,0,0.8625243902206421,1654.412841796875,8
30,STANDARD,301.70391845703125,9,301.70391845703125,0.0,2018-01-01,R_A2,22,0,0.12599298357963562,1656.20751953125,9
30,STANDARD,301.82427978515625,10,301.82427978515625,0.0,2018-01-01,R_A2,22,0,0.3070456385612488,1658.002197265625,10
30,STANDARD,301.95220947265625,11,301.95220947265625,0.0,2018-01-01,R_A2,22,0,0.07504628598690033,1659.909423828125,11
30,STANDARD,302.08770751953125,12,302.08770751953125,0.0,2018-01-01,R_A2,22,0,0.08549118787050247,1661.929443359375,12
30,STANDARD,302.22320556640625,13,302.22320556640625,0.0,2018-01-01,R_A2,22,0,0.45794662833213806,1663.9495849609375,13
30,STANDARD,302.35870361328125,14,302.35870361328125,0.0,2018-01-01,R_A2,22,0,0.5195148587226868,1665.9697265625,14
30,STANDARD,302.49420166015625,15,302.49420166015625,0.0,2018-01-01,R_A2,22,0,0.9445799589157104,1667.98974609375,15
30,STANDARD,302.6297302246094,16,302.6297302246094,0.0,2018-01-01,R_A2,22,0,0.9620698690414429,1670.009765625,16
29,STANDARD,302.927734375,16,302.927734375,0.0,2018-01-01,R_A2,22,0,1.0,1674.4520263671875,17
29,STANDARD,303.0715637207031,17,303.0715637207031,0.0,2018-01-01,R_A2,22,0,0.9987757205963135,1676.5955810546875,18
29,STANDARD,303.3753662109375,18,303.3753662109375,0.0,2018-01-01,R_A2,22,0,1.0,1678.42236328125,19
