WELL,DEPTH,CONBPRES,SGAS,CONIDX,PRESSURE,DRAWDOWN,SWAT,CONJPOS,CONKPOS,DATE,WELLMODEL,CONIPOS
R_A2,1642.9503173828125,300.8958740234375,0.0,1,300.8958740234375,0,0.05348861590027809,30,1,2018-01-01,STANDARD,22
R_A2,1644.8289794921875,301.0218505859375,0.0,2,301.0218505859375,0,0.05625685676932335,30,2,2018-01-01,STANDARD,22
R_A2,1646.7076416015625,301.1478271484375,0.0,3,301.1478271484375,0,0.06002526357769966,30,3,2018-01-01,STANDARD,22
R_A2,1648.58642578125,301.2738037109375,0.0,4,301.2738037109375,0,0.06573609262704849,30,4,2018-01-01,STANDARD,22
R_A2,1650.465087890625,301.3998107910156,0.0,5,301.3998107910156,0,0.07035402208566666,30,5,2018-01-01,STANDARD,22
R_A2,1652.34375,301.52581787109375,0.0,6,301.52581787109375,0,0.31908461451530457,30,6,2018-01-01,STANDARD,22
R_A2,1654.222412109375,301.65179443359375,0.0,7,301.65179443359375,0,0.8917930722236633,30,7,2018-01-01,STANDARD,22
R_A2,1656.1011962890625,301.7778015136719,0.0,8,301.7778015136719,0,0.8756700158119202,30,8,2018-01-01,STANDARD,22
R_A2,1657.9798583984375,301.90380859375,0.0,9,301.90380859375,0,0.9037530422210693,30,9,2018-01-01,STANDARD,22
R_A2,1659.858642578125,302.0298156738281,0.0,10,302.0298156738281,0,0.896588146686554,30,10,2018-01-01,STANDARD,22
R_A2,1661.8128662109375,302.1609191894531,0.0,11,302.1609191894531,0,0.07540777325630188,30,11,2018-01-01,STANDARD,22
R_A2,1663.8427734375,302.2970886230469,0.0,12,302.2970886230469,0,0.07733745127916336,30,12,2018-01-01,STANDARD,22
R_A2,1665.8726806640625,302.4332275390625,0.0,13,302.4332275390625,0,0.43398043513298035,30,13,2018-01-01,STANDARD,22
R_A2,1667.9024658203125,302.56939697265625,0.0,14,302.56939697265625,0,0.490451842546463,30,14,2018-01-01,STANDARD,22
R_A2,1669.932373046875,302.70556640625,0.0,15,302.70556640625,0,0.6565366387367249,30,15,2018-01-01,STANDARD,22
R_A2,1671.9622802734375,302.8417663574219,0.0,16,302.8417663574219,0,0.959503173828125,30,16,2018-01-01,STANDARD,22
R_A2,1673.9920654296875,302.9779357910156,0.0,17,302.9779357910156,0,0.9661495089530945,30,17,2018-01-01,STANDARD,22
R_A2,1675.9986572265625,303.112548828125,0.0,18,303.112548828125,0,0.9713201522827148,30,18,2018-01-01,STANDARD,22
R_A2,1677.238525390625,303.1957702636719,0.0,19,303.1957702636719,0,0.9993161559104919,30,19,2018-01-01,STANDARD,22
R_A2,1678.45703125,303.27752685546875,0.0,20,303.27752685546875,0,0.5023316740989685,30,26,2018-01-01,STANDARD,22
