DRAWDOWN,SGAS,SWAT,CONBPRES,WELLMODEL,CONIPOS,CONIDX,CONKPOS,CONJPOS,DEPTH,WELL,DATE,PRESSURE
0,0.0,0.05352727696299553,300.7556457519531,STANDARD,22,1,1,30,1640.4921875,R_A2,2018-01-01,300.7556457519531
0,0.0,0.055606890469789505,300.87811279296875,STANDARD,22,2,2,30,1642.318603515625,R_A2,2018-01-01,300.87811279296875
0,0.0,0.05708475410938263,301.0005798339844,STANDARD,22,3,3,30,1644.14501953125,R_A2,2018-01-01,301.0005798339844
0,0.0,0.06133325770497322,301.123046875,STANDARD,22,4,4,30,1645.971435546875,R_A2,2018-01-01,301.123046875
0,0.0,0.06603498756885529,301.24554443359375,STANDARD,22,5,5,30,1647.7978515625,R_A2,2018-01-01,301.24554443359375
0,0.0,0.2954804599285126,301.3680114746094,STANDARD,22,6,6,30,1649.624267578125,R_A2,2018-01-01,301.3680114746094
0,0.0,0.8668753504753113,301.4905090332031,STANDARD,22,7,7,30,1651.45068359375,R_A2,2018-01-01,301.4905090332031
0,0.0,0.8697292804718018,301.6130065917969,STANDARD,22,8,8,30,1653.277099609375,R_A2,2018-01-01,301.6130065917969
0,0.0,0.8760263323783875,301.7355041503906,STANDARD,22,9,9,30,1655.103515625,R_A2,2018-01-01,301.7355041503906
0,0.0,0.8923216462135315,301.8580017089844,STANDARD,22,10,10,30,1656.929931640625,R_A2,2018-01-01,301.8580017089844
0,0.0,0.06882362812757492,301.9889221191406,STANDARD,22,11,11,30,1658.881591796875,R_A2,2018-01-01,301.9889221191406
0,0.0,0.16686907410621643,302.12823486328125,STANDARD,22,12,12,30,1660.958740234375,R_A2,2018-01-01,302.12823486328125
0,0.0,0.4299986958503723,302.2675476074219,STANDARD,22,13,13,30,1663.035888671875,R_A2,2018-01-01,302.2675476074219
0,0.0,0.46307915449142456,302.4068908691406,STANDARD,22,14,14,30,1665.113037109375,R_A2,2018-01-01,302.4068908691406
0,0.0,0.6352108120918274,302.5462341308594,STANDARD,22,15,15,30,1667.190185546875,R_A2,2018-01-01,302.5462341308594
0,0.0,0.9248052835464478,302.6855773925781,STANDARD,22,16,16,30,1669.2672119140625,R_A2,2018-01-01,302.6855773925781
0,0.0,0.8818457722663879,302.8249206542969,STANDARD,22,17,17,30,1671.3443603515625,R_A2,2018-01-01,302.8249206542969
0,0.0,0.9398131370544434,302.9485778808594,STANDARD,22,18,18,30,1673.1873779296875,R_A2,2018-01-01,302.9485778808594
0,0.0,0.9735959768295288,303.011962890625,STANDARD,22,19,19,30,1674.13232421875,R_A2,2018-01-01,303.011962890625
0,0.0,0.3934686779975891,303.0799255371094,STANDARD,22,20,27,30,1675.145263671875,R_A2,2018-01-01,303.0799255371094
0,0.0,1.0,303.1969909667969,STANDARD,22,21,28,30,1676.89013671875,R_A2,2018-01-01,303.1969909667969
0,0.0,1.0,303.26202392578125,STANDARD,22,22,28,29,1677.8592529296875,R_A2,2018-01-01,303.26202392578125
0,0.0,0.8545875549316406,303.38629150390625,STANDARD,22,23,29,29,1679.711181640625,R_A2,2018-01-01,303.38629150390625
0,0.0,1.0,303.8216857910156,STANDARD,22,24,30,29,1681.5631103515625,R_A2,2018-01-01,303.8216857910156
0,0.0,1.0,303.9971618652344,STANDARD,22,25,31,29,1683.4151611328125,R_A2,2018-01-01,303.9971618652344
0,0.0,0.6481541991233826,298.6925048828125,STANDARD,28,1,1,41,1609.7158203125,R_A3,2018-01-01,298.6925048828125
0,0.0,0.1940857619047165,298.83154296875,STANDARD,28,2,2,41,1611.7906494140625,R_A3,2018-01-01,298.83154296875
0,0.0,0.19276002049446106,298.9706115722656,STANDARD,28,3,3,41,1613.865478515625,R_A3,2018-01-01,298.9706115722656
0,0.0,0.6481541991233826,299.10968017578125,STANDARD,28,4,4,41,1615.9403076171875,R_A3,2018-01-01,299.10968017578125
0,0.0,0.8227532505989075,299.2487487792969,STANDARD,28,5,5,41,1618.01513671875,R_A3,2018-01-01,299.2487487792969
0,0.0,0.8084138631820679,298.416259765625,STANDARD,29,6,5,41,1605.59375,R_A3,2018-01-01,298.416259765625
0,0.0,0.6481541991233826,298.56317138671875,STANDARD,29,7,6,41,1607.785888671875,R_A3,2018-01-01,298.56317138671875
0,0.0,0.19346165657043457,298.7100830078125,STANDARD,29,8,7,41,1609.97802734375,R_A3,2018-01-01,298.7100830078125
0,0.0,0.19274760782718658,298.85699462890625,STANDARD,29,9,8,41,1612.170166015625,R_A3,2018-01-01,298.85699462890625
0,0.0,0.7974757552146912,299.00390625,STANDARD,29,10,9,41,1614.3623046875,R_A3,2018-01-01,299.00390625
0,0.0,0.7938295602798462,299.1508483886719,STANDARD,29,11,10,41,1616.554443359375,R_A3,2018-01-01,299.1508483886719
0,0.0,0.047218747437000275,299.30413818359375,STANDARD,29,12,11,41,1618.8416748046875,R_A3,2018-01-01,299.30413818359375
0,0.0,0.05425312742590904,299.4638366699219,STANDARD,29,13,12,41,1621.2239990234375,R_A3,2018-01-01,299.4638366699219
0,0.0,0.35936540365219116,299.62353515625,STANDARD,29,14,13,41,1623.6064453125,R_A3,2018-01-01,299.62353515625
0,0.0,0.37105146050453186,299.7832336425781,STANDARD,29,15,14,41,1625.98876953125,R_A3,2018-01-01,299.7832336425781
0,0.0,0.48776775598526,299.9429626464844,STANDARD,29,16,15,41,1628.37109375,R_A3,2018-01-01,299.9429626464844
0,0.0,0.7947251796722412,300.08880615234375,STANDARD,29,17,16,41,1630.5465087890625,R_A3,2018-01-01,300.08880615234375
0,0.0,0.31712231040000916,300.2815856933594,STANDARD,29,18,27,41,1633.4219970703125,R_A3,2018-01-01,300.2815856933594
0,0.0,0.04295921325683594,300.53521728515625,STANDARD,29,19,28,41,1637.204833984375,R_A3,2018-01-01,300.53521728515625
0,0.0,0.6481541991233826,300.78887939453125,STANDARD,29,20,29,41,1640.98779296875,R_A3,2018-01-01,300.78887939453125
0,0.0,0.6844184994697571,301.04254150390625,STANDARD,29,21,30,41,1644.770751953125,R_A3,2018-01-01,301.04254150390625
0,0.0,0.09243609756231308,301.2962341308594,STANDARD,29,22,31,41,1648.5535888671875,R_A3,2018-01-01,301.2962341308594
0,0.0,0.051258690655231476,300.2652282714844,STANDARD,30,1,1,52,1633.177978515625,R_A4,2018-01-01,300.2652282714844
0,0.0,0.1449342966079712,299.8197021484375,STANDARD,31,2,1,52,1626.5325927734375,R_A4,2018-01-01,299.8197021484375
0,0.0,0.09045656025409698,299.9563293457031,STANDARD,31,3,2,52,1628.570556640625,R_A4,2018-01-01,299.9563293457031
0,0.0,0.04866751655936241,300.09295654296875,STANDARD,31,4,3,52,1630.6083984375,R_A4,2018-01-01,300.09295654296875
0,0.0,0.051905080676078796,300.2295837402344,STANDARD,31,5,4,52,1632.6463623046875,R_A4,2018-01-01,300.2295837402344
0,0.0,0.053343839943408966,300.3662109375,STANDARD,31,6,5,52,1634.684326171875,R_A4,2018-01-01,300.3662109375
0,0.0,0.05337923392653465,300.1481628417969,STANDARD,32,7,5,52,1631.4320068359375,R_A4,2018-01-01,300.1481628417969
0,0.0,0.05582401528954506,300.54302978515625,STANDARD,32,8,5,51,1637.3214111328125,R_A4,2018-01-01,300.54302978515625
0,0.0,0.05762152001261711,300.6288146972656,STANDARD,33,9,5,51,1638.6005859375,R_A4,2018-01-01,300.6288146972656
0,0.0,0.05571649968624115,300.5097961425781,STANDARD,33,10,4,51,1636.8258056640625,R_A4,2018-01-01,300.5097961425781
0,0.0,0.05735155567526817,300.39080810546875,STANDARD,33,11,3,51,1635.051025390625,R_A4,2018-01-01,300.39080810546875
0,0.0,0.06128303334116936,301.0664367675781,STANDARD,33,12,4,50,1645.127197265625,R_A4,2018-01-01,301.0664367675781
0,0.0,0.05902780592441559,300.89739990234375,STANDARD,34,13,4,50,1642.6064453125,R_A4,2018-01-01,300.89739990234375
0,0.0,0.060551125556230545,300.7743225097656,STANDARD,34,14,3,50,1640.770751953125,R_A4,2018-01-01,300.7743225097656
0,0.0,0.6481541991233826,300.6512451171875,STANDARD,34,15,2,50,1638.9351806640625,R_A4,2018-01-01,300.6512451171875
0,0.0,0.20253700017929077,300.7254333496094,STANDARD,35,16,2,50,1640.0418701171875,R_A4,2018-01-01,300.7254333496094
0,0.0,0.2888963520526886,300.6085510253906,STANDARD,35,17,1,50,1638.2987060546875,R_A4,2018-01-01,300.6085510253906
0,0.0,0.3626433312892914,301.10546875,STANDARD,35,18,1,49,1645.709228515625,R_A4,2018-01-01,301.10546875
0,0.0,0.054355233907699585,300.8079528808594,STANDARD,36,19,29,49,1641.2723388671875,R_A4,2018-01-01,300.8079528808594
0,0.0,0.0547034814953804,300.7663269042969,STANDARD,36,20,29,48,1640.6514892578125,R_A4,2018-01-01,300.7663269042969
0,0.0,0.17953817546367645,301.0146789550781,STANDARD,37,21,29,48,1644.3551025390625,R_A4,2018-01-01,301.0146789550781
0,0.0,0.6481541991233826,301.397216796875,STANDARD,37,22,30,48,1650.059814453125,R_A4,2018-01-01,301.397216796875
0,0.0,1.0,301.460205078125,STANDARD,38,23,30,48,1650.9989013671875,R_A4,2018-01-01,301.460205078125
0,0.0,0.6481541991233826,301.88092041015625,STANDARD,38,24,30,47,1657.2716064453125,R_A4,2018-01-01,301.88092041015625
0,0.0,1.0,303.77008056640625,STANDARD,31,1,1,20,1684.2454833984375,R_A5,2018-01-01,303.77008056640625
0,0.0,1.0,303.99871826171875,STANDARD,31,2,2,20,1686.658203125,R_A5,2018-01-01,303.99871826171875
0,0.0,1.0,304.22735595703125,STANDARD,31,3,3,20,1689.0709228515625,R_A5,2018-01-01,304.22735595703125
0,0.0,1.0,304.45599365234375,STANDARD,31,4,4,20,1691.483642578125,R_A5,2018-01-01,304.45599365234375
0,0.0,1.0,304.68463134765625,STANDARD,31,5,5,20,1693.8963623046875,R_A5,2018-01-01,304.68463134765625
0,0.0,1.0,304.91326904296875,STANDARD,31,6,6,20,1696.3092041015625,R_A5,2018-01-01,304.91326904296875
0,0.0,1.0,305.4477233886719,STANDARD,31,7,7,20,1698.721923828125,R_A5,2018-01-01,305.4477233886719
0,0.0,1.0,306.03778076171875,STANDARD,31,8,11,20,1708.1734619140625,R_A5,2018-01-01,306.03778076171875
0,0.0,1.0,305.3266906738281,STANDARD,31,9,11,21,1700.670166015625,R_A5,2018-01-01,305.3266906738281
0,0.0,1.0,305.5072326660156,STANDARD,31,10,12,21,1702.575439453125,R_A5,2018-01-01,305.5072326660156
0,0.0,1.0,305.69976806640625,STANDARD,31,11,13,21,1704.4805908203125,R_A5,2018-01-01,305.69976806640625
0,0.0,1.0,305.88031005859375,STANDARD,31,12,14,21,1706.3858642578125,R_A5,2018-01-01,305.88031005859375
0,0.0,1.0,306.0608825683594,STANDARD,31,13,15,21,1708.2911376953125,R_A5,2018-01-01,306.0608825683594
0,0.0,1.0,306.241455078125,STANDARD,31,14,16,21,1710.1964111328125,R_A5,2018-01-01,306.241455078125
0,0.0,1.0,306.5670166015625,STANDARD,31,15,17,21,1712.1016845703125,R_A5,2018-01-01,306.5670166015625
0,0.0,1.0,306.7448425292969,STANDARD,31,16,18,21,1713.9779052734375,R_A5,2018-01-01,306.7448425292969
0,0.0,1.0,306.85369873046875,STANDARD,31,17,19,21,1715.126220703125,R_A5,2018-01-01,306.85369873046875
0,0.0,1.0,306.83160400390625,STANDARD,31,18,27,21,1716.55078125,R_A5,2018-01-01,306.83160400390625
0,0.0,1.0,307.05902099609375,STANDARD,31,19,28,21,1718.950439453125,R_A5,2018-01-01,307.05902099609375
0,0.0,1.0,307.59222412109375,STANDARD,31,20,29,21,1721.35009765625,R_A5,2018-01-01,307.59222412109375
0,0.0,1.0,307.8196716308594,STANDARD,31,21,30,21,1723.7496337890625,R_A5,2018-01-01,307.8196716308594
