SWAT,CONJPOS,DATE,CONIDX,CONBPRES,CONIPOS,WELLMODEL,WELL,DRAWDOWN,CONKPOS,SGAS,DEPTH,PRESSURE
0.06591223180294037,30,2018-01-01,4,301.21246337890625,22,STANDARD,R_A2,0,4,0.0,1648.331298828125,301.21246337890625
0.06943460553884506,30,2018-01-01,5,301.3321838378906,22,STANDARD,R_A2,0,5,0.0,1650.11669921875,301.3321838378906
0.11324158310890198,30,2018-01-01,6,301.4519348144531,22,STANDARD,R_A2,0,6,0.0,1651.90185546875,301.4519348144531
0.8952592611312866,30,2018-01-01,7,301.5716552734375,22,STANDARD,R_A2,0,7,0.0,1653.687255859375,301.5716552734375
0.8770016431808472,30,2018-01-01,8,301.69140625,22,STANDARD,R_A2,0,8,0.0,1655.4725341796875,301.69140625
0.9027065634727478,30,2018-01-01,9,301.8111267089844,22,STANDARD,R_A2,0,9,0.0,1657.2578125,301.8111267089844
0.9175840616226196,30,2018-01-01,10,301.9308776855469,22,STANDARD,R_A2,0,10,0.0,1659.043212890625,301.9308776855469
0.07488813996315002,30,2018-01-01,11,302.0592041015625,22,STANDARD,R_A2,0,11,0.0,1660.956298828125,302.0592041015625
0.08000998944044113,30,2018-01-01,12,302.19610595703125,22,STANDARD,R_A2,0,12,0.0,1662.997314453125,302.19610595703125
0.457675963640213,30,2018-01-01,13,302.3330078125,22,STANDARD,R_A2,0,13,0.0,1665.038330078125,302.3330078125
0.5026063323020935,30,2018-01-01,14,302.4699401855469,22,STANDARD,R_A2,0,14,0.0,1667.079345703125,302.4699401855469
0.6873372197151184,30,2018-01-01,15,302.6068420410156,22,STANDARD,R_A2,0,15,0.0,1669.120361328125,302.6068420410156
0.9756262302398682,30,2018-01-01,16,302.7437744140625,22,STANDARD,R_A2,0,16,0.0,1671.161376953125,302.7437744140625
0.9615134000778198,30,2018-01-01,17,302.8807067871094,22,STANDARD,R_A2,0,17,0.0,1673.2022705078125,302.8807067871094
0.9905945062637329,30,2018-01-01,18,303.0090026855469,22,STANDARD,R_A2,0,18,0.0,1675.1148681640625,303.0090026855469
1.0,30,2018-01-01,19,303.1356506347656,22,STANDARD,R_A2,0,27,0.0,1677.0025634765625,303.1356506347656
1.0,30,2018-01-01,20,303.2572021484375,22,STANDARD,R_A2,0,28,0.0,1678.81396484375,303.2572021484375
1.0,29,2018-01-01,21,303.2239074707031,22,STANDARD,R_A2,0,28,0.0,1678.317626953125,303.2239074707031
1.0,29,2018-01-01,22,303.6794128417969,22,STANDARD,R_A2,0,29,0.0,1680.0618896484375,303.6794128417969
1.0,29,2018-01-01,23,303.8446960449219,22,STANDARD,R_A2,0,30,0.0,1681.8060302734375,303.8446960449219
1.0,29,2018-01-01,24,304.0099792480469,22,STANDARD,R_A2,0,31,0.0,1683.55029296875,304.0099792480469
0.11971544474363327,41,2018-01-01,1,298.5621337890625,28,STANDARD,R_A3,0,1,0.0,1608.7972412109375,298.5621337890625
0.12017299234867096,41,2018-01-01,2,298.6964416503906,28,STANDARD,R_A3,0,2,0.0,1610.8011474609375,298.6964416503906
0.11823459714651108,41,2018-01-01,3,298.83074951171875,28,STANDARD,R_A3,0,3,0.0,1612.8050537109375,298.83074951171875
0.11823459714651108,41,2018-01-01,4,298.9650573730469,28,STANDARD,R_A3,0,4,0.0,1614.8089599609375,298.9650573730469
0.19775496423244476,41,2018-01-01,5,298.47381591796875,29,STANDARD,R_A3,0,4,0.0,1607.479248046875,298.47381591796875
0.6481541991233826,41,2018-01-01,6,298.6126403808594,29,STANDARD,R_A3,0,5,0.0,1609.551025390625,298.6126403808594
0.6481541991233826,41,2018-01-01,7,298.7514953613281,29,STANDARD,R_A3,0,6,0.0,1611.6226806640625,298.7514953613281
0.19438304007053375,41,2018-01-01,8,298.8903503417969,29,STANDARD,R_A3,0,7,0.0,1613.6943359375,298.8903503417969
0.19973014295101166,41,2018-01-01,9,299.0292053222656,29,STANDARD,R_A3,0,8,0.0,1615.76611328125,299.0292053222656
0.8058273196220398,41,2018-01-01,10,299.1680603027344,29,STANDARD,R_A3,0,9,0.0,1617.8377685546875,299.1680603027344
0.7995971441268921,41,2018-01-01,11,299.3069152832031,29,STANDARD,R_A3,0,10,0.0,1619.909423828125,299.3069152832031
0.048530854284763336,41,2018-01-01,12,299.44952392578125,29,STANDARD,R_A3,0,11,0.0,1622.0372314453125,299.44952392578125
0.05462198331952095,41,2018-01-01,13,299.5959167480469,29,STANDARD,R_A3,0,12,0.0,1624.2210693359375,299.5959167480469
0.3747616410255432,41,2018-01-01,14,299.7423095703125,29,STANDARD,R_A3,0,13,0.0,1626.4049072265625,299.7423095703125
0.39189574122428894,41,2018-01-01,15,299.88873291015625,29,STANDARD,R_A3,0,14,0.0,1628.5887451171875,299.88873291015625
0.50688636302948,41,2018-01-01,16,300.0351257324219,29,STANDARD,R_A3,0,15,0.0,1630.7725830078125,300.0351257324219
0.8117275238037109,41,2018-01-01,17,300.15728759765625,29,STANDARD,R_A3,0,16,0.0,1632.5948486328125,300.15728759765625
0.7548046112060547,41,2018-01-01,18,300.3196716308594,29,STANDARD,R_A3,0,27,0.0,1635.0164794921875,300.3196716308594
0.04513446241617203,41,2018-01-01,19,300.54644775390625,29,STANDARD,R_A3,0,28,0.0,1638.3990478515625,300.54644775390625
0.08816960453987122,41,2018-01-01,20,300.77325439453125,29,STANDARD,R_A3,0,29,0.0,1641.7816162109375,300.77325439453125
1.0,41,2018-01-01,21,301.0000915527344,29,STANDARD,R_A3,0,30,0.0,1645.1641845703125,301.0000915527344
0.21999406814575195,41,2018-01-01,22,301.2269287109375,29,STANDARD,R_A3,0,31,0.0,1648.5467529296875,301.2269287109375
0.051526255905628204,52,2018-01-01,1,299.92779541015625,30,STANDARD,R_A4,0,1,0.0,1629.1715087890625,299.92779541015625
0.05093783140182495,52,2018-01-01,2,299.8066711425781,31,STANDARD,R_A4,0,1,0.0,1627.364501953125,299.8066711425781
0.23589646816253662,52,2018-01-01,3,299.941650390625,31,STANDARD,R_A4,0,2,0.0,1629.37841796875,299.941650390625
0.052127134054899216,52,2018-01-01,4,300.0766906738281,31,STANDARD,R_A4,0,3,0.0,1631.392333984375,300.0766906738281
0.056615181267261505,52,2018-01-01,5,300.2117004394531,31,STANDARD,R_A4,0,4,0.0,1633.40625,300.2117004394531
0.05594968423247337,52,2018-01-01,6,300.2984924316406,32,STANDARD,R_A4,0,4,0.0,1634.70068359375,300.2984924316406
0.09547553956508636,51,2018-01-01,7,300.2452087402344,32,STANDARD,R_A4,0,4,0.0,1633.9058837890625,300.2452087402344
0.09726317971944809,51,2018-01-01,8,300.50421142578125,33,STANDARD,R_A4,0,4,0.0,1637.7691650390625,300.50421142578125
0.24491922557353973,51,2018-01-01,9,300.3831787109375,33,STANDARD,R_A4,0,3,0.0,1635.9638671875,300.3831787109375
0.06226503476500511,50,2018-01-01,10,300.68511962890625,33,STANDARD,R_A4,0,4,0.0,1640.467041015625,300.68511962890625
0.06234482303261757,50,2018-01-01,11,300.7314453125,34,STANDARD,R_A4,0,4,0.0,1641.158203125,300.7314453125
0.06200868636369705,50,2018-01-01,12,300.60565185546875,34,STANDARD,R_A4,0,3,0.0,1639.281982421875,300.60565185546875
0.11819612979888916,50,2018-01-01,13,300.75970458984375,35,STANDARD,R_A4,0,3,0.0,1641.579345703125,300.75970458984375
0.2332616001367569,50,2018-01-01,14,300.6361999511719,35,STANDARD,R_A4,0,2,0.0,1639.7376708984375,300.6361999511719
0.2402585744857788,49,2018-01-01,15,300.84454345703125,35,STANDARD,R_A4,0,2,0.0,1642.8446044921875,300.84454345703125
0.2350536286830902,49,2018-01-01,16,300.721923828125,35,STANDARD,R_A4,0,1,0.0,1641.015869140625,300.721923828125
0.6481541991233826,49,2018-01-01,17,300.86541748046875,36,STANDARD,R_A4,0,30,0.0,1643.15576171875,300.86541748046875
0.6481541991233826,48,2018-01-01,18,300.705322265625,36,STANDARD,R_A4,0,30,0.0,1640.7685546875,300.705322265625
0.2931936979293823,48,2018-01-01,19,301.1252136230469,37,STANDARD,R_A4,0,30,0.0,1647.0301513671875,301.1252136230469
0.06500308960676193,48,2018-01-01,20,301.3883056640625,38,STANDARD,R_A4,0,30,0.0,1650.9532470703125,301.3883056640625
0.06677380204200745,47,2018-01-01,21,301.64337158203125,38,STANDARD,R_A4,0,30,0.0,1654.7564697265625,301.64337158203125
1.0,20,2018-01-01,1,303.7218933105469,31,STANDARD,R_A5,0,1,0.0,1683.7373046875,303.7218933105469
1.0,20,2018-01-01,2,303.94232177734375,31,STANDARD,R_A5,0,2,0.0,1686.063232421875,303.94232177734375
1.0,20,2018-01-01,3,304.1627502441406,31,STANDARD,R_A5,0,3,0.0,1688.3892822265625,304.1627502441406
1.0,20,2018-01-01,4,304.3831787109375,31,STANDARD,R_A5,0,4,0.0,1690.7152099609375,304.3831787109375
1.0,20,2018-01-01,5,304.60357666015625,31,STANDARD,R_A5,0,5,0.0,1693.041259765625,304.60357666015625
1.0,20,2018-01-01,6,304.8240051269531,31,STANDARD,R_A5,0,6,0.0,1695.3671875,304.8240051269531
1.0,20,2018-01-01,7,305.3502197265625,31,STANDARD,R_A5,0,7,0.0,1697.693115234375,305.3502197265625
1.0,20,2018-01-01,8,305.9056396484375,31,STANDARD,R_A5,0,11,0.0,1706.7794189453125,305.9056396484375
1.0,21,2018-01-01,9,305.39910888671875,31,STANDARD,R_A5,0,11,0.0,1701.4344482421875,305.39910888671875
1.0,21,2018-01-01,10,305.5883483886719,31,STANDARD,R_A5,0,12,0.0,1703.4312744140625,305.5883483886719
1.0,21,2018-01-01,11,305.78955078125,31,STANDARD,R_A5,0,13,0.0,1705.4281005859375,305.78955078125
1.0,21,2018-01-01,12,305.9787902832031,31,STANDARD,R_A5,0,14,0.0,1707.4249267578125,305.9787902832031
1.0,21,2018-01-01,13,306.16802978515625,31,STANDARD,R_A5,0,15,0.0,1709.4217529296875,306.16802978515625
1.0,21,2018-01-01,14,306.5022888183594,31,STANDARD,R_A5,0,16,0.0,1711.4185791015625,306.5022888183594
1.0,21,2018-01-01,15,306.6915283203125,31,STANDARD,R_A5,0,17,0.0,1713.4154052734375,306.6915283203125
1.0,21,2018-01-01,16,306.8566589355469,31,STANDARD,R_A5,0,18,0.0,1715.15771484375,306.8566589355469
1.0,21,2018-01-01,17,306.94256591796875,31,STANDARD,R_A5,0,19,0.0,1716.0640869140625,306.94256591796875
1.0,21,2018-01-01,18,306.90826416015625,31,STANDARD,R_A5,0,27,0.0,1717.35986328125,306.90826416015625
