DATE,SWAT,CONIPOS,WELLMODEL,CONKPOS,CONIDX,PRESSURE,CONBPRES,CONJPOS,SGAS,DEPTH,WELL,DRAWDOWN
2018-01-01,0.6481541991233826,22,STANDARD,8,8,301.5008544921875,301.5008544921875,30,0.0,1653.282958984375,R_A2,0
2018-01-01,0.1724960058927536,22,STANDARD,9,9,301.62640380859375,301.62640380859375,30,0.0,1655.1551513671875,R_A2,0
2018-01-01,0.32540228962898254,22,STANDARD,10,10,301.7519836425781,301.7519836425781,30,0.0,1657.02734375,R_A2,0
2018-01-01,0.07718133926391602,22,STANDARD,11,11,301.8843994140625,301.8843994140625,30,0.0,1659.0018310546875,R_A2,0
2018-01-01,0.07567737251520157,22,STANDARD,12,12,302.0237121582031,302.0237121582031,30,0.0,1661.07861328125,R_A2,0
2018-01-01,0.4773685336112976,22,STANDARD,13,13,302.1629943847656,302.1629943847656,30,0.0,1663.1552734375,R_A2,0
2018-01-01,0.4853278398513794,22,STANDARD,14,14,302.30230712890625,302.30230712890625,30,0.0,1665.2320556640625,R_A2,0
2018-01-01,0.6975890398025513,22,STANDARD,15,15,302.4416198730469,302.4416198730469,30,0.0,1667.308837890625,R_A2,0
2018-01-01,0.9651215076446533,22,STANDARD,16,16,302.5809326171875,302.5809326171875,30,0.0,1669.3856201171875,R_A2,0
2018-01-01,0.9620127081871033,22,STANDARD,17,17,302.7202453613281,302.7202453613281,30,0.0,1671.4622802734375,R_A2,0
2018-01-01,0.970907986164093,22,STANDARD,18,18,302.8569030761719,302.8569030761719,30,0.0,1673.4990234375,R_A2,0
2018-01-01,0.9753934144973755,22,STANDARD,19,19,302.934814453125,302.934814453125,30,0.0,1674.66064453125,R_A2,0
2018-01-01,0.6481541991233826,22,STANDARD,28,20,302.8644104003906,302.8644104003906,29,0.0,1673.6109619140625,R_A2,0
2018-01-01,1.0,22,STANDARD,29,21,302.9871520996094,302.9871520996094,29,0.0,1675.4404296875,R_A2,0
2018-01-01,1.0,22,STANDARD,30,22,303.10986328125,303.10986328125,29,0.0,1677.269775390625,R_A2,0
2018-01-01,1.0,22,STANDARD,31,23,303.5881652832031,303.5881652832031,29,0.0,1679.09912109375,R_A2,0
2018-01-01,1.0,22,STANDARD,32,24,303.76153564453125,303.76153564453125,29,0.0,1680.928466796875,R_A2,0
2018-01-01,0.11685208976268768,28,STANDARD,1,1,298.7288513183594,298.7288513183594,41,0.0,1611.936279296875,R_A3,0
2018-01-01,0.11931594461202621,28,STANDARD,2,2,298.86090087890625,298.86090087890625,41,0.0,1613.90673828125,R_A3,0
2018-01-01,0.12349624931812286,28,STANDARD,3,3,298.99298095703125,298.99298095703125,41,0.0,1615.8773193359375,R_A3,0
2018-01-01,0.291822224855423,28,STANDARD,4,4,299.12506103515625,299.12506103515625,41,0.0,1617.847900390625,R_A3,0
2018-01-01,0.6481541991233826,28,STANDARD,5,5,299.25714111328125,299.25714111328125,41,0.0,1619.818359375,R_A3,0
2018-01-01,0.8101649284362793,29,STANDARD,5,6,298.3660888671875,298.3660888671875,41,0.0,1606.5233154296875,R_A3,0
2018-01-01,0.6481541991233826,29,STANDARD,6,7,298.5018615722656,298.5018615722656,41,0.0,1608.5494384765625,R_A3,0
2018-01-01,0.19745394587516785,29,STANDARD,7,8,298.6376647949219,298.6376647949219,41,0.0,1610.5755615234375,R_A3,0
2018-01-01,0.1997470110654831,29,STANDARD,8,9,298.7734375,298.7734375,41,0.0,1612.6016845703125,R_A3,0
2018-01-01,0.6688250303268433,29,STANDARD,9,10,298.90924072265625,298.90924072265625,41,0.0,1614.6279296875,R_A3,0
2018-01-01,0.7959871292114258,29,STANDARD,10,11,299.0450439453125,299.0450439453125,41,0.0,1616.654052734375,R_A3,0
2018-01-01,0.05041281133890152,29,STANDARD,11,12,299.19000244140625,299.19000244140625,41,0.0,1618.816650390625,R_A3,0
2018-01-01,0.053787607699632645,29,STANDARD,12,13,299.3441162109375,299.3441162109375,41,0.0,1621.11572265625,R_A3,0
2018-01-01,0.37164175510406494,29,STANDARD,13,14,299.4981994628906,299.4981994628906,41,0.0,1623.414794921875,R_A3,0
2018-01-01,0.4940548837184906,29,STANDARD,15,15,299.796142578125,299.796142578125,41,0.0,1627.859375,R_A3,0
2018-01-01,0.8074114322662354,29,STANDARD,16,16,299.9143981933594,299.9143981933594,41,0.0,1629.623291015625,R_A3,0
2018-01-01,0.3057842552661896,29,STANDARD,28,17,300.0956726074219,300.0956726074219,41,0.0,1632.3270263671875,R_A3,0
2018-01-01,0.04335276037454605,29,STANDARD,29,18,300.33953857421875,300.33953857421875,41,0.0,1635.964599609375,R_A3,0
2018-01-01,0.0887414738535881,29,STANDARD,30,19,300.58343505859375,300.58343505859375,41,0.0,1639.6021728515625,R_A3,0
2018-01-01,1.0,29,STANDARD,31,20,300.82733154296875,300.82733154296875,41,0.0,1643.23974609375,R_A3,0
