SGAS,CONIPOS,PRESSURE,CONIDX,CONJPOS,CONBPRES,WELLMODEL,DEPTH,DRAWDOWN,SWAT,CONKPOS,WELL,DATE
0.0,22,300.58203125,1,30,300.58203125,STANDARD,1639.247314453125,0,0.08867286890745163,1,R_A2,2018-01-01
0.0,22,300.7014465332031,2,30,300.7014465332031,STANDARD,1641.0283203125,0,0.055423587560653687,2,R_A2,2018-01-01
0.0,22,300.82086181640625,3,30,300.82086181640625,STANDARD,1642.8092041015625,0,0.0597853809595108,3,R_A2,2018-01-01
0.0,22,300.9403076171875,4,30,300.9403076171875,STANDARD,1644.590087890625,0,0.06587269902229309,4,R_A2,2018-01-01
0.0,22,301.0597229003906,5,30,301.0597229003906,STANDARD,1646.37109375,0,0.06755884736776352,5,R_A2,2018-01-01
0.0,22,301.1791687011719,6,30,301.1791687011719,STANDARD,1648.152099609375,0,0.3016374111175537,6,R_A2,2018-01-01
0.0,22,301.298583984375,7,30,301.298583984375,STANDARD,1649.9329833984375,0,0.8732122182846069,7,R_A2,2018-01-01
0.0,22,301.41802978515625,8,30,301.41802978515625,STANDARD,1651.7139892578125,0,0.8683152794837952,8,R_A2,2018-01-01
0.0,22,301.5374755859375,9,30,301.5374755859375,STANDARD,1653.494873046875,0,0.21912461519241333,9,R_A2,2018-01-01
0.0,22,301.65692138671875,10,30,301.65692138671875,STANDARD,1655.27587890625,0,0.6481541991233826,10,R_A2,2018-01-01
0.0,22,301.7864990234375,11,30,301.7864990234375,STANDARD,1657.207763671875,0,0.07154423743486404,11,R_A2,2018-01-01
0.0,22,301.9261779785156,12,30,301.9261779785156,STANDARD,1659.2906494140625,0,0.07281453162431717,12,R_A2,2018-01-01
0.0,22,302.0658874511719,13,30,302.0658874511719,STANDARD,1661.37353515625,0,0.4438462257385254,13,R_A2,2018-01-01
0.0,22,302.2055969238281,14,30,302.2055969238281,STANDARD,1663.4564208984375,0,0.4782101511955261,14,R_A2,2018-01-01
0.0,22,302.3453369140625,15,30,302.3453369140625,STANDARD,1665.539306640625,0,0.9303264021873474,15,R_A2,2018-01-01
0.0,22,302.48504638671875,16,30,302.48504638671875,STANDARD,1667.6220703125,0,0.9586078524589539,16,R_A2,2018-01-01
0.0,22,302.6247863769531,17,30,302.6247863769531,STANDARD,1669.705078125,0,0.9062783718109131,17,R_A2,2018-01-01
0.0,22,302.9795227050781,18,29,302.9795227050781,STANDARD,1674.9927978515625,0,0.979768693447113,17,R_A2,2018-01-01
0.0,22,303.08892822265625,19,29,303.08892822265625,STANDARD,1676.62353515625,0,0.998668909072876,18,R_A2,2018-01-01
0.0,22,303.1861267089844,20,29,303.1861267089844,STANDARD,1678.0721435546875,0,1.0,25,R_A2,2018-01-01
0.0,22,303.65155029296875,21,29,303.65155029296875,STANDARD,1679.767822265625,0,1.0,26,R_A2,2018-01-01
0.0,22,303.8122253417969,22,29,303.8122253417969,STANDARD,1681.4635009765625,0,1.0,27,R_A2,2018-01-01
0.0,22,303.972900390625,23,29,303.972900390625,STANDARD,1683.1591796875,0,1.0,28,R_A2,2018-01-01
0.0,22,304.13360595703125,24,29,304.13360595703125,STANDARD,1684.8548583984375,0,1.0,29,R_A2,2018-01-01
0.0,28,298.3951721191406,1,41,298.3951721191406,STANDARD,1606.623291015625,0,0.750405490398407,1,R_A3,2018-01-01
0.0,29,298.0787048339844,2,41,298.0787048339844,STANDARD,1601.90087890625,0,0.6481541991233826,1,R_A3,2018-01-01
0.0,29,298.21405029296875,3,41,298.21405029296875,STANDARD,1603.9205322265625,0,0.18551644682884216,2,R_A3,2018-01-01
0.0,29,298.3493957519531,4,41,298.3493957519531,STANDARD,1605.940185546875,0,0.16907228529453278,3,R_A3,2018-01-01
0.0,29,298.4847412109375,5,41,298.4847412109375,STANDARD,1607.9598388671875,0,0.18050657212734222,4,R_A3,2018-01-01
0.0,29,298.6200866699219,6,41,298.6200866699219,STANDARD,1609.9794921875,0,0.23752158880233765,5,R_A3,2018-01-01
0.0,29,298.7554626464844,7,41,298.7554626464844,STANDARD,1611.9991455078125,0,0.23043721914291382,6,R_A3,2018-01-01
0.0,29,298.89080810546875,8,41,298.89080810546875,STANDARD,1614.018798828125,0,0.2001972645521164,7,R_A3,2018-01-01
0.0,29,299.02618408203125,9,41,299.02618408203125,STANDARD,1616.0384521484375,0,0.199657142162323,8,R_A3,2018-01-01
0.0,29,299.1615295410156,10,41,299.1615295410156,STANDARD,1618.05810546875,0,0.8012157082557678,9,R_A3,2018-01-01
0.0,29,299.2969055175781,11,41,299.2969055175781,STANDARD,1620.0777587890625,0,0.8074270486831665,10,R_A3,2018-01-01
0.0,29,299.4421691894531,12,41,299.4421691894531,STANDARD,1622.244873046875,0,0.04875674098730087,11,R_A3,2018-01-01
0.0,29,299.5973205566406,13,41,299.5973205566406,STANDARD,1624.5594482421875,0,0.05492318421602249,12,R_A3,2018-01-01
0.0,29,299.75250244140625,14,41,299.75250244140625,STANDARD,1626.8740234375,0,0.3744663894176483,13,R_A3,2018-01-01
0.0,29,299.90765380859375,15,41,299.90765380859375,STANDARD,1629.188720703125,0,0.3569509983062744,14,R_A3,2018-01-01
0.0,29,300.0628356933594,16,41,300.0628356933594,STANDARD,1631.5032958984375,0,0.7989577054977417,15,R_A3,2018-01-01
0.0,29,300.1715087890625,17,41,300.1715087890625,STANDARD,1633.1243896484375,0,0.8040764927864075,16,R_A3,2018-01-01
0.0,29,300.31744384765625,18,41,300.31744384765625,STANDARD,1635.30078125,0,1.0,25,R_A3,2018-01-01
0.0,29,300.547119140625,19,41,300.547119140625,STANDARD,1638.726318359375,0,0.04475545883178711,26,R_A3,2018-01-01
0.0,29,300.77679443359375,20,41,300.77679443359375,STANDARD,1642.15185546875,0,0.049728650599718094,27,R_A3,2018-01-01
0.0,29,301.0065002441406,21,41,301.0065002441406,STANDARD,1645.5772705078125,0,0.6481541991233826,28,R_A3,2018-01-01
0.0,29,301.2362060546875,22,41,301.2362060546875,STANDARD,1649.0028076171875,0,0.2080230861902237,29,R_A3,2018-01-01
0.0,30,299.9191589355469,1,52,299.9191589355469,STANDARD,1629.360107421875,0,0.049618206918239594,1,R_A4,2018-01-01
0.0,31,299.7267761230469,2,52,299.7267761230469,STANDARD,1626.490478515625,0,0.048843663185834885,1,R_A4,2018-01-01
0.0,31,299.8636169433594,3,52,299.8636169433594,STANDARD,1628.5316162109375,0,0.050260018557310104,2,R_A4,2018-01-01
0.0,31,300.0004577636719,4,52,300.0004577636719,STANDARD,1630.57275390625,0,0.05203999951481819,3,R_A4,2018-01-01
0.0,31,300.1372985839844,5,52,300.1372985839844,STANDARD,1632.61376953125,0,0.056205689907073975,4,R_A4,2018-01-01
0.0,32,300.3043212890625,6,52,300.3043212890625,STANDARD,1635.10498046875,0,0.05680321902036667,4,R_A4,2018-01-01
0.0,32,300.4299011230469,7,52,300.4299011230469,STANDARD,1636.978271484375,0,0.05928243324160576,5,R_A4,2018-01-01
0.0,32,300.40252685546875,8,51,300.40252685546875,STANDARD,1636.56982421875,0,0.058492060750722885,5,R_A4,2018-01-01
0.0,32,300.28125,9,51,300.28125,STANDARD,1634.7611083984375,0,0.05576653033494949,4,R_A4,2018-01-01
0.0,33,300.5030822753906,10,51,300.5030822753906,STANDARD,1638.0694580078125,0,0.06146261468529701,4,R_A4,2018-01-01
0.0,33,300.3775939941406,11,51,300.3775939941406,STANDARD,1636.1981201171875,0,0.058912333101034164,3,R_A4,2018-01-01
0.0,33,300.7519836425781,12,50,300.7519836425781,STANDARD,1641.781982421875,0,0.06342916935682297,4,R_A4,2018-01-01
0.0,34,300.6528015136719,13,50,300.6528015136719,STANDARD,1640.302734375,0,0.060857273638248444,4,R_A4,2018-01-01
0.0,35,300.8073425292969,14,50,300.8073425292969,STANDARD,1642.6072998046875,0,0.06296888738870621,4,R_A4,2018-01-01
0.0,35,300.6867980957031,15,50,300.6867980957031,STANDARD,1640.809814453125,0,0.10277217626571655,3,R_A4,2018-01-01
0.0,35,300.7204895019531,16,49,300.7204895019531,STANDARD,1641.3121337890625,0,0.08081486076116562,28,R_A4,2018-01-01
0.0,36,301.0342712402344,17,49,301.0342712402344,STANDARD,1645.9915771484375,0,0.27954941987991333,28,R_A4,2018-01-01
0.0,36,300.8984069824219,18,48,300.8984069824219,STANDARD,1643.965576171875,0,0.05761093273758888,28,R_A4,2018-01-01
0.0,37,301.2319030761719,19,48,301.2319030761719,STANDARD,1648.938720703125,0,0.08129189163446426,28,R_A4,2018-01-01
0.0,38,301.5571594238281,20,48,301.5571594238281,STANDARD,1653.78857421875,0,0.12752720713615417,28,R_A4,2018-01-01
0.0,38,301.89727783203125,21,47,301.89727783203125,STANDARD,1658.859619140625,0,0.07392026484012604,28,R_A4,2018-01-01
0.0,31,303.9651184082031,1,20,303.9651184082031,STANDARD,1686.3038330078125,0,1.0,1,R_A5,2018-01-01
0.0,31,304.1899108886719,2,20,304.1899108886719,STANDARD,1688.6759033203125,0,1.0,2,R_A5,2018-01-01
0.0,31,304.4147033691406,3,20,304.4147033691406,STANDARD,1691.048095703125,0,1.0,3,R_A5,2018-01-01
0.0,31,304.6394958496094,4,20,304.6394958496094,STANDARD,1693.420166015625,0,1.0,4,R_A5,2018-01-01
