SGAS,CONBPRES,DATE,DRAWDOWN,CONIDX,SWAT,CONJPOS,DEPTH,CONIPOS,WELLMODEL,CONKPOS,PRESSURE,WELL
0.0,300.5934753417969,2018-01-01,0,1,0.05678921192884445,30,1639.9454345703125,22,STANDARD,1,300.5934753417969,R_A2
0.0,300.7119140625,2018-01-01,0,2,0.057866066694259644,30,1641.7117919921875,22,STANDARD,2,300.7119140625,R_A2
0.0,300.8303527832031,2018-01-01,0,3,0.06050421670079231,30,1643.478271484375,22,STANDARD,3,300.8303527832031,R_A2
0.0,300.94879150390625,2018-01-01,0,4,0.08570870012044907,30,1645.24462890625,22,STANDARD,4,300.94879150390625,R_A2
0.0,301.0672302246094,2018-01-01,0,5,0.06876365840435028,30,1647.010986328125,22,STANDARD,5,301.0672302246094,R_A2
0.0,301.1856994628906,2018-01-01,0,6,0.6481541991233826,30,1648.77734375,22,STANDARD,6,301.1856994628906,R_A2
0.0,301.30413818359375,2018-01-01,0,7,0.8896543979644775,30,1650.543701171875,22,STANDARD,7,301.30413818359375,R_A2
0.0,301.422607421875,2018-01-01,0,8,0.8830095529556274,30,1652.31005859375,22,STANDARD,8,301.422607421875,R_A2
0.0,301.54107666015625,2018-01-01,0,9,0.9152512550354004,30,1654.076416015625,22,STANDARD,9,301.54107666015625,R_A2
0.0,301.6595458984375,2018-01-01,0,10,0.9141654372215271,30,1655.8427734375,22,STANDARD,10,301.6595458984375,R_A2
0.0,301.783935546875,2018-01-01,0,11,0.07487742602825165,30,1657.697509765625,22,STANDARD,11,301.783935546875,R_A2
0.0,301.91424560546875,2018-01-01,0,12,0.07549907267093658,30,1659.6405029296875,22,STANDARD,12,301.91424560546875,R_A2
0.0,302.0445861816406,2018-01-01,0,13,0.4492434561252594,30,1661.58349609375,22,STANDARD,13,302.0445861816406,R_A2
0.0,302.1748962402344,2018-01-01,0,14,0.4935232400894165,30,1663.5263671875,22,STANDARD,14,302.1748962402344,R_A2
0.0,302.30523681640625,2018-01-01,0,15,0.5651673078536987,30,1665.469482421875,22,STANDARD,15,302.30523681640625,R_A2
0.0,302.3970031738281,2018-01-01,0,16,0.6580590009689331,29,1666.83740234375,22,STANDARD,15,302.3970031738281,R_A2
0.0,302.5355224609375,2018-01-01,0,17,0.9911093711853027,29,1668.902587890625,22,STANDARD,16,302.5355224609375,R_A2
