ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,5132411,757333,399804,278803,39255478,0,0,0,0,0
Valysar,CentralSouth,69872551,12008124,8776231,6120106,861710902,0,0,0,0,0
Valysar,CentralNorth,38216380,6566776,4822178,3362746,473474693,0,0,0,0,0
Valysar,NorthHorst,4535891,629147,312902,192200,37652075,23035753,2985356,2018393,469393682,71817
Valysar,CentralRamp,13493803,1966727,1307953,912101,128423870,0,0,0,0,0
Valysar,CentralHorst,86557690,14176633,10847837,7564740,1065115412,0,0,0,0,0
Valysar,EastLowland,2328602,298554,146628,102251,14396913,0,0,0,0,0
Therys,WestLowland,1965181,317982,125748,87691,12346827,0,0,0,0,0
Therys,CentralSouth,17243698,4249662,2707927,1888373,265882962,0,0,0,0,0
Therys,CentralNorth,22298834,4168446,2455236,1712159,241072020,0,0,0,0,0
Therys,NorthHorst,6392318,916177,363911,223533,43790066,16077421,2711798,1765931,410681656,62834
Therys,CentralRamp,6660745,1558921,1195299,833542,117362719,0,0,0,0,0
Therys,CentralHorst,31366876,7628197,5933556,4137766,582597479,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,171195,28891,9571,6674,939711,0,0,0,0,0
Volon,CentralSouth,34871760,6396886,4437560,3094533,435710209,0,0,0,0,0
Volon,CentralNorth,8347418,1153424,599301,417923,58843530,0,0,0,0,0
Volon,NorthHorst,4046588,776557,545402,335014,65629167,3386768,622248,497664,115735919,17708
Volon,CentralRamp,12276355,2225079,1751915,1221698,172015116,0,0,0,0,0
Volon,CentralHorst,84422555,15130198,12285297,8567153,1206255143,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
