WELLMODEL,DEPTH,DRAWDOWN,CONJPOS,PRESSURE,WELL,CONIPOS,CONBPRES,SGAS,CONKPOS,SWAT,CONIDX,DATE
STANDARD,1639.635498046875,0,30,300.63433837890625,R_A2,22,300.63433837890625,0.0,1,0.05419474467635155,1,2018-01-01
STANDARD,1641.38134765625,0,30,300.75140380859375,R_A2,22,300.75140380859375,0.0,2,0.05545173957943916,2,2018-01-01
STANDARD,1643.1273193359375,0,30,300.86846923828125,R_A2,22,300.86846923828125,0.0,3,0.058265309780836105,3,2018-01-01
STANDARD,1644.8731689453125,0,30,300.98553466796875,R_A2,22,300.98553466796875,0.0,4,0.06350411474704742,4,2018-01-01
STANDARD,1646.619140625,0,30,301.1026306152344,R_A2,22,301.1026306152344,0.0,5,0.06561657786369324,5,2018-01-01
STANDARD,1648.364990234375,0,30,301.2196960449219,R_A2,22,301.2196960449219,0.0,6,0.30134427547454834,6,2018-01-01
STANDARD,1650.11083984375,0,30,301.3367919921875,R_A2,22,301.3367919921875,0.0,7,0.8745036721229553,7,2018-01-01
STANDARD,1651.8568115234375,0,30,301.4538879394531,R_A2,22,301.4538879394531,0.0,8,0.8890661001205444,8,2018-01-01
STANDARD,1653.6026611328125,0,30,301.57098388671875,R_A2,22,301.57098388671875,0.0,9,0.8914472460746765,9,2018-01-01
STANDARD,1655.3486328125,0,30,301.68804931640625,R_A2,22,301.68804931640625,0.0,10,0.8947097659111023,10,2018-01-01
STANDARD,1657.2371826171875,0,30,301.8147277832031,R_A2,22,301.8147277832031,0.0,11,0.0689074695110321,11,2018-01-01
STANDARD,1659.2685546875,0,30,301.95098876953125,R_A2,22,301.95098876953125,0.0,12,0.06491237878799438,12,2018-01-01
STANDARD,1661.2999267578125,0,30,302.0872497558594,R_A2,22,302.0872497558594,0.0,13,0.43548887968063354,13,2018-01-01
STANDARD,1663.331298828125,0,30,302.2235107421875,R_A2,22,302.2235107421875,0.0,14,0.4829145669937134,14,2018-01-01
STANDARD,1665.36279296875,0,30,302.3597717285156,R_A2,22,302.3597717285156,0.0,15,0.9046640992164612,15,2018-01-01
STANDARD,1667.3941650390625,0,30,302.49603271484375,R_A2,22,302.49603271484375,0.0,16,0.923317551612854,16,2018-01-01
STANDARD,1669.425537109375,0,30,302.6322937011719,R_A2,22,302.6322937011719,0.0,17,0.8880265951156616,17,2018-01-01
STANDARD,1675.0709228515625,0,29,303.01104736328125,R_A2,22,303.01104736328125,0.0,17,0.9712838530540466,18,2018-01-01
STANDARD,1676.77294921875,0,29,303.125244140625,R_A2,22,303.125244140625,0.0,18,0.9991282224655151,19,2018-01-01
STANDARD,1678.27392578125,0,29,303.2259521484375,R_A2,22,303.2259521484375,0.0,26,1.0,20,2018-01-01
STANDARD,1679.9932861328125,0,29,303.67291259765625,R_A2,22,303.67291259765625,0.0,27,1.0,21,2018-01-01
STANDARD,1681.7125244140625,0,29,303.8358459472656,R_A2,22,303.8358459472656,0.0,28,1.0,22,2018-01-01
STANDARD,1683.431884765625,0,29,303.9987487792969,R_A2,22,303.9987487792969,0.0,29,1.0,23,2018-01-01
STANDARD,1685.1512451171875,0,29,304.16168212890625,R_A2,22,304.16168212890625,0.0,30,1.0,24,2018-01-01
STANDARD,1608.798828125,0,41,298.5672302246094,R_A3,28,298.5672302246094,0.0,1,0.6481541991233826,1,2018-01-01
STANDARD,1610.7994384765625,0,41,298.7012939453125,R_A3,28,298.7012939453125,0.0,2,0.11823459714651108,2,2018-01-01
STANDARD,1612.7999267578125,0,41,298.8353576660156,R_A3,28,298.8353576660156,0.0,3,0.09611155837774277,3,2018-01-01
STANDARD,1604.41015625,0,41,298.2731018066406,R_A3,29,298.2731018066406,0.0,3,0.11823459714651108,4,2018-01-01
STANDARD,1606.4901123046875,0,41,298.4125061035156,R_A3,29,298.4125061035156,0.0,4,0.10555941611528397,5,2018-01-01
STANDARD,1608.570068359375,0,41,298.5518798828125,R_A3,29,298.5518798828125,0.0,5,0.6481541991233826,6,2018-01-01
STANDARD,1610.650146484375,0,41,298.6912841796875,R_A3,29,298.6912841796875,0.0,6,0.6481541991233826,7,2018-01-01
STANDARD,1612.7301025390625,0,41,298.8306884765625,R_A3,29,298.8306884765625,0.0,7,0.19651971757411957,8,2018-01-01
STANDARD,1614.81005859375,0,41,298.9700927734375,R_A3,29,298.9700927734375,0.0,8,0.36915111541748047,9,2018-01-01
STANDARD,1616.8900146484375,0,41,299.1094970703125,R_A3,29,299.1094970703125,0.0,9,0.7966455817222595,10,2018-01-01
STANDARD,1618.969970703125,0,41,299.2489318847656,R_A3,29,299.2489318847656,0.0,10,0.7985212206840515,11,2018-01-01
STANDARD,1621.178955078125,0,41,299.39697265625,R_A3,29,299.39697265625,0.0,11,0.04712981730699539,12,2018-01-01
STANDARD,1623.5167236328125,0,41,299.5536804199219,R_A3,29,299.5536804199219,0.0,12,0.05536537989974022,13,2018-01-01
STANDARD,1625.8544921875,0,41,299.71038818359375,R_A3,29,299.71038818359375,0.0,13,0.37245413661003113,14,2018-01-01
STANDARD,1628.1922607421875,0,41,299.86712646484375,R_A3,29,299.86712646484375,0.0,14,0.2230851948261261,15,2018-01-01
STANDARD,1630.530029296875,0,41,300.0238342285156,R_A3,29,300.0238342285156,0.0,15,0.4989403784275055,16,2018-01-01
STANDARD,1632.2861328125,0,41,300.1415710449219,R_A3,29,300.1415710449219,0.0,16,0.8017918467521667,17,2018-01-01
STANDARD,1634.6397705078125,0,41,300.29937744140625,R_A3,29,300.29937744140625,0.0,26,1.0,18,2018-01-01
STANDARD,1638.172607421875,0,41,300.5362548828125,R_A3,29,300.5362548828125,0.0,27,0.044285863637924194,19,2018-01-01
STANDARD,1641.7052001953125,0,41,300.7731018066406,R_A3,29,300.7731018066406,0.0,28,0.0512419119477272,20,2018-01-01
STANDARD,1645.2379150390625,0,41,301.010009765625,R_A3,29,301.010009765625,0.0,29,0.6481541991233826,21,2018-01-01
STANDARD,1648.770751953125,0,41,301.2469177246094,R_A3,29,301.2469177246094,0.0,30,0.10320872068405151,22,2018-01-01
STANDARD,1630.1102294921875,0,52,299.9956970214844,R_A4,30,299.9956970214844,0.0,1,0.051099661737680435,1,2018-01-01
STANDARD,1624.359619140625,0,52,299.6101989746094,R_A4,31,299.6101989746094,0.0,1,0.04710828512907028,2,2018-01-01
STANDARD,1626.4586181640625,0,52,299.75091552734375,R_A4,31,299.75091552734375,0.0,2,0.04802337661385536,3,2018-01-01
STANDARD,1628.5577392578125,0,52,299.8916320800781,R_A4,31,299.8916320800781,0.0,3,0.05074038356542587,4,2018-01-01
STANDARD,1630.65673828125,0,52,300.0323486328125,R_A4,31,300.0323486328125,0.0,4,0.05117363855242729,5,2018-01-01
STANDARD,1632.755859375,0,52,300.1730651855469,R_A4,31,300.1730651855469,0.0,5,0.05316153168678284,6,2018-01-01
STANDARD,1634.8548583984375,0,52,300.3138122558594,R_A4,31,300.3138122558594,0.0,6,0.055529143661260605,7,2018-01-01
STANDARD,1632.360107421875,0,52,300.14654541015625,R_A4,32,300.14654541015625,0.0,6,0.05443815141916275,8,2018-01-01
STANDARD,1634.260986328125,0,52,300.27398681640625,R_A4,32,300.27398681640625,0.0,7,0.055993251502513885,9,2018-01-01
STANDARD,1636.4796142578125,0,51,300.4227294921875,R_A4,32,300.4227294921875,0.0,7,0.05685071274638176,10,2018-01-01
STANDARD,1634.66455078125,0,51,300.3010559082031,R_A4,32,300.3010559082031,0.0,6,0.0553581565618515,11,2018-01-01
STANDARD,1636.988525390625,0,51,300.45684814453125,R_A4,33,300.45684814453125,0.0,6,0.05793001130223274,12,2018-01-01
STANDARD,1635.1676025390625,0,51,300.33477783203125,R_A4,33,300.33477783203125,0.0,5,0.05624162405729294,13,2018-01-01
STANDARD,1642.188232421875,0,50,300.8055114746094,R_A4,33,300.8055114746094,0.0,5,0.0597679503262043,14,2018-01-01
STANDARD,1641.40966796875,0,50,300.7532958984375,R_A4,34,300.7532958984375,0.0,5,0.06183715909719467,15,2018-01-01
STANDARD,1639.5513916015625,0,50,300.6286926269531,R_A4,34,300.6286926269531,0.0,4,0.0608072504401207,16,2018-01-01
STANDARD,1640.8052978515625,0,50,300.7127685546875,R_A4,35,300.7127685546875,0.0,4,0.06123632192611694,17,2018-01-01
STANDARD,1639.0479736328125,0,50,300.5949401855469,R_A4,35,300.5949401855469,0.0,3,0.22431951761245728,18,2018-01-01
STANDARD,1637.29052734375,0,50,300.47711181640625,R_A4,35,300.47711181640625,0.0,2,0.2224183976650238,19,2018-01-01
STANDARD,1643.189453125,0,49,300.8726501464844,R_A4,35,300.8726501464844,0.0,2,0.2365231066942215,20,2018-01-01
STANDARD,1641.44140625,0,49,300.75543212890625,R_A4,35,300.75543212890625,0.0,1,0.26479601860046387,21,2018-01-01
STANDARD,1644.0238037109375,0,49,300.9285888671875,R_A4,36,300.9285888671875,0.0,29,0.3414507210254669,22,2018-01-01
STANDARD,1644.8250732421875,0,48,300.9823303222656,R_A4,36,300.9823303222656,0.0,29,1.0,23,2018-01-01
STANDARD,1650.49169921875,0,48,301.3623352050781,R_A4,37,301.3623352050781,0.0,29,0.719473659992218,24,2018-01-01
