PRESSURE,WELL,CONIPOS,SWAT,WELLMODEL,DRAWDOWN,SGAS,DATE,CONKPOS,CONJPOS,DEPTH,CONBPRES,CONIDX
300.6957092285156,R_A2,22,0.05488532409071922,STANDARD,0,0.0,2018-01-01,1,30,1640.2540283203125,300.6957092285156,1
300.8154602050781,R_A2,22,0.05601373687386513,STANDARD,0,0.0,2018-01-01,2,30,1642.0400390625,300.8154602050781,2
300.93524169921875,R_A2,22,0.05937669053673744,STANDARD,0,0.0,2018-01-01,3,30,1643.826171875,300.93524169921875,3
301.0550231933594,R_A2,22,0.0640510842204094,STANDARD,0,0.0,2018-01-01,4,30,1645.6121826171875,301.0550231933594,4
301.1747741699219,R_A2,22,0.06714657694101334,STANDARD,0,0.0,2018-01-01,5,30,1647.3983154296875,301.1747741699219,5
301.2945556640625,R_A2,22,0.15903523564338684,STANDARD,0,0.0,2018-01-01,6,30,1649.184326171875,301.2945556640625,6
301.4143371582031,R_A2,22,0.8801486492156982,STANDARD,0,0.0,2018-01-01,7,30,1650.9703369140625,301.4143371582031,7
301.53411865234375,R_A2,22,0.7179405689239502,STANDARD,0,0.0,2018-01-01,8,30,1652.7564697265625,301.53411865234375,8
301.6539001464844,R_A2,22,0.11421629786491394,STANDARD,0,0.0,2018-01-01,9,30,1654.54248046875,301.6539001464844,9
301.7737121582031,R_A2,22,0.16110779345035553,STANDARD,0,0.0,2018-01-01,10,30,1656.32861328125,301.7737121582031,10
301.90216064453125,R_A2,22,0.07068122178316116,STANDARD,0,0.0,2018-01-01,11,30,1658.24365234375,301.90216064453125,11
302.03924560546875,R_A2,22,0.0676179751753807,STANDARD,0,0.0,2018-01-01,12,30,1660.28759765625,302.03924560546875,12
302.1763610839844,R_A2,22,0.4345690906047821,STANDARD,0,0.0,2018-01-01,13,30,1662.3316650390625,302.1763610839844,13
302.3134460449219,R_A2,22,0.47649887204170227,STANDARD,0,0.0,2018-01-01,14,30,1664.3756103515625,302.3134460449219,14
302.4505615234375,R_A2,22,0.9119490385055542,STANDARD,0,0.0,2018-01-01,15,30,1666.4195556640625,302.4505615234375,15
302.5876770019531,R_A2,22,0.9368419051170349,STANDARD,0,0.0,2018-01-01,16,30,1668.463623046875,302.5876770019531,16
