SWAT,CONJPOS,SGAS,CONKPOS,CONIDX,DEPTH,PRESSURE,WELL,CONBPRES,DATE,WELLMODEL,DRAWDOWN,CONIPOS
0.06540580838918686,30,0.0,5,5,1647.5018310546875,301.2375793457031,R_A2,301.2375793457031,2018-01-01,STANDARD,0,22
0.30296486616134644,30,0.0,6,6,1649.24951171875,301.3547668457031,R_A2,301.3547668457031,2018-01-01,STANDARD,0,22
0.8720945119857788,30,0.0,7,7,1650.9971923828125,301.47198486328125,R_A2,301.47198486328125,2018-01-01,STANDARD,0,22
0.8452094197273254,30,0.0,8,8,1652.7447509765625,301.5892028808594,R_A2,301.5892028808594,2018-01-01,STANDARD,0,22
0.8756821155548096,30,0.0,9,9,1654.492431640625,301.7063903808594,R_A2,301.7063903808594,2018-01-01,STANDARD,0,22
0.8762765526771545,30,0.0,10,10,1656.239990234375,301.8236083984375,R_A2,301.8236083984375,2018-01-01,STANDARD,0,22
0.06847205013036728,30,0.0,11,11,1658.1280517578125,301.95025634765625,R_A2,301.95025634765625,2018-01-01,STANDARD,0,22
0.06754935532808304,30,0.0,12,12,1660.1563720703125,302.0863037109375,R_A2,302.0863037109375,2018-01-01,STANDARD,0,22
0.42379218339920044,30,0.0,13,13,1662.184814453125,302.22235107421875,R_A2,302.22235107421875,2018-01-01,STANDARD,0,22
0.46323293447494507,30,0.0,14,14,1664.213134765625,302.3584289550781,R_A2,302.3584289550781,2018-01-01,STANDARD,0,22
0.8932995796203613,30,0.0,15,15,1666.241455078125,302.4944763183594,R_A2,302.4944763183594,2018-01-01,STANDARD,0,22
0.9124287962913513,30,0.0,16,16,1668.269775390625,302.63055419921875,R_A2,302.63055419921875,2018-01-01,STANDARD,0,22
0.8743094801902771,30,0.0,17,17,1670.298095703125,302.7666320800781,R_A2,302.7666320800781,2018-01-01,STANDARD,0,22
0.9591791033744812,29,0.0,17,18,1676.708251953125,303.1966857910156,R_A2,303.1966857910156,2018-01-01,STANDARD,0,22
0.9913560748100281,29,0.0,18,19,1678.3814697265625,303.3089599609375,R_A2,303.3089599609375,2018-01-01,STANDARD,0,22
0.8104029297828674,29,0.0,25,20,1679.8466796875,303.4072570800781,R_A2,303.4072570800781,2018-01-01,STANDARD,0,22
1.0,29,0.0,26,21,1681.5242919921875,303.51983642578125,R_A2,303.51983642578125,2018-01-01,STANDARD,0,22
1.0,29,0.0,27,22,1683.201904296875,303.9769592285156,R_A2,303.9769592285156,2018-01-01,STANDARD,0,22
1.0,29,0.0,28,23,1684.8795166015625,304.13592529296875,R_A2,304.13592529296875,2018-01-01,STANDARD,0,22
1.0,29,0.0,29,24,1686.55712890625,304.294921875,R_A2,304.294921875,2018-01-01,STANDARD,0,22
0.6481541991233826,41,0.0,1,1,1609.6417236328125,298.69940185546875,R_A3,298.69940185546875,2018-01-01,STANDARD,0,28
0.15622004866600037,41,0.0,2,2,1611.6563720703125,298.8344421386719,R_A3,298.8344421386719,2018-01-01,STANDARD,0,28
0.18452298641204834,41,0.0,2,3,1600.22802734375,298.0685729980469,R_A3,298.0685729980469,2018-01-01,STANDARD,0,29
0.14529885351657867,41,0.0,3,4,1602.40380859375,298.21435546875,R_A3,298.21435546875,2018-01-01,STANDARD,0,29
0.17639535665512085,41,0.0,4,5,1604.57958984375,298.36016845703125,R_A3,298.36016845703125,2018-01-01,STANDARD,0,29
0.8016378283500671,41,0.0,5,6,1606.75537109375,298.5059814453125,R_A3,298.5059814453125,2018-01-01,STANDARD,0,29
0.6481541991233826,41,0.0,6,7,1608.9312744140625,298.65179443359375,R_A3,298.65179443359375,2018-01-01,STANDARD,0,29
0.19230224192142487,41,0.0,7,8,1611.1070556640625,298.797607421875,R_A3,298.797607421875,2018-01-01,STANDARD,0,29
0.19387541711330414,41,0.0,8,9,1613.282958984375,298.9434509277344,R_A3,298.9434509277344,2018-01-01,STANDARD,0,29
0.792975127696991,41,0.0,9,10,1615.458740234375,299.08929443359375,R_A3,299.08929443359375,2018-01-01,STANDARD,0,29
0.7922535538673401,41,0.0,10,11,1617.634521484375,299.2351379394531,R_A3,299.2351379394531,2018-01-01,STANDARD,0,29
0.048501111567020416,41,0.0,11,12,1619.88720703125,299.3861083984375,R_A3,299.3861083984375,2018-01-01,STANDARD,0,29
0.05145670473575592,41,0.0,12,13,1622.2166748046875,299.5422668457031,R_A3,299.5422668457031,2018-01-01,STANDARD,0,29
0.36363738775253296,41,0.0,13,14,1624.546142578125,299.69842529296875,R_A3,299.69842529296875,2018-01-01,STANDARD,0,29
0.4910467863082886,41,0.0,15,15,1629.205078125,300.0107421875,R_A3,300.0107421875,2018-01-01,STANDARD,0,29
0.8081455230712891,41,0.0,16,16,1631.189697265625,300.143798828125,R_A3,300.143798828125,2018-01-01,STANDARD,0,29
0.6481541991233826,41,0.0,25,17,1633.9774169921875,300.3307189941406,R_A3,300.3307189941406,2018-01-01,STANDARD,0,29
0.04137890040874481,41,0.0,26,18,1637.6502685546875,300.57696533203125,R_A3,300.57696533203125,2018-01-01,STANDARD,0,29
0.04912169650197029,41,0.0,27,19,1641.3231201171875,300.8232421875,R_A3,300.8232421875,2018-01-01,STANDARD,0,29
0.23339702188968658,41,0.0,28,20,1644.9959716796875,301.06951904296875,R_A3,301.06951904296875,2018-01-01,STANDARD,0,29
0.06084742769598961,41,0.0,29,21,1648.6688232421875,301.3158264160156,R_A3,301.3158264160156,2018-01-01,STANDARD,0,29
0.05017955228686333,52,0.0,1,1,1632.742919921875,300.2479553222656,R_A4,300.2479553222656,2018-01-01,STANDARD,0,30
0.04824293777346611,52,0.0,1,2,1628.26171875,299.947509765625,R_A4,299.947509765625,2018-01-01,STANDARD,0,31
0.05024757236242294,52,0.0,2,3,1630.285888671875,300.08319091796875,R_A4,300.08319091796875,2018-01-01,STANDARD,0,31
0.05174058675765991,52,0.0,3,4,1632.309814453125,300.2189025878906,R_A4,300.2189025878906,2018-01-01,STANDARD,0,31
0.05220247805118561,52,0.0,4,5,1634.333984375,300.3546142578125,R_A4,300.3546142578125,2018-01-01,STANDARD,0,31
0.052502136677503586,52,0.0,4,6,1633.478271484375,300.2972412109375,R_A4,300.2972412109375,2018-01-01,STANDARD,0,32
0.05603446438908577,51,0.0,4,7,1635.17138671875,300.4107666015625,R_A4,300.4107666015625,2018-01-01,STANDARD,0,32
0.3112914264202118,51,0.0,5,8,1637.018310546875,300.53460693359375,R_A4,300.53460693359375,2018-01-01,STANDARD,0,32
0.296255886554718,51,0.0,5,9,1638.054931640625,300.6040954589844,R_A4,300.6040954589844,2018-01-01,STANDARD,0,33
0.05578688532114029,51,0.0,4,10,1636.2076416015625,300.480224609375,R_A4,300.480224609375,2018-01-01,STANDARD,0,33
0.05922965705394745,50,0.0,4,11,1641.2459716796875,300.81805419921875,R_A4,300.81805419921875,2018-01-01,STANDARD,0,33
0.058853600174188614,50,0.0,4,12,1640.146484375,300.7443542480469,R_A4,300.7443542480469,2018-01-01,STANDARD,0,34
0.05804615840315819,50,0.0,4,13,1641.0318603515625,300.8037109375,R_A4,300.8037109375,2018-01-01,STANDARD,0,35
0.17132484912872314,50,0.0,3,14,1639.1788330078125,300.6794738769531,R_A4,300.6794738769531,2018-01-01,STANDARD,0,35
0.1354047805070877,49,0.0,3,15,1642.70751953125,300.91607666015625,R_A4,300.91607666015625,2018-01-01,STANDARD,0,35
0.1963149756193161,49,0.0,28,16,1642.3485107421875,300.8919982910156,R_A4,300.8919982910156,2018-01-01,STANDARD,0,36
0.05210796371102333,48,0.0,28,17,1642.53515625,300.9045104980469,R_A4,300.9045104980469,2018-01-01,STANDARD,0,36
0.6481541991233826,48,0.0,28,18,1651.097412109375,301.47869873046875,R_A4,301.47869873046875,2018-01-01,STANDARD,0,37
0.1868814378976822,48,0.0,27,19,1645.4984130859375,301.10321044921875,R_A4,301.10321044921875,2018-01-01,STANDARD,0,37
0.059251658618450165,48,0.0,27,20,1650.89013671875,301.4648132324219,R_A4,301.4648132324219,2018-01-01,STANDARD,0,38
0.10974906384944916,47,0.0,27,21,1658.95068359375,302.00543212890625,R_A4,302.00543212890625,2018-01-01,STANDARD,0,38
1.0,20,0.0,1,1,1684.7484130859375,303.8177185058594,R_A5,303.8177185058594,2018-01-01,STANDARD,0,31
1.0,20,0.0,2,2,1686.88037109375,304.0197448730469,R_A5,304.0197448730469,2018-01-01,STANDARD,0,31
1.0,20,0.0,3,3,1689.012451171875,304.2218017578125,R_A5,304.2218017578125,2018-01-01,STANDARD,0,31
1.0,20,0.0,4,4,1691.14453125,304.423828125,R_A5,304.423828125,2018-01-01,STANDARD,0,31
1.0,20,0.0,5,5,1693.2764892578125,304.6258850097656,R_A5,304.6258850097656,2018-01-01,STANDARD,0,31
1.0,20,0.0,6,6,1695.408447265625,304.8279113769531,R_A5,304.8279113769531,2018-01-01,STANDARD,0,31
1.0,21,0.0,7,7,1691.998291015625,304.810546875,R_A5,304.810546875,2018-01-01,STANDARD,0,31
1.0,21,0.0,8,8,1694.4136962890625,305.0394287109375,R_A5,305.0394287109375,2018-01-01,STANDARD,0,31
1.0,21,0.0,9,9,1696.8291015625,305.2683410644531,R_A5,305.2683410644531,2018-01-01,STANDARD,0,31
1.0,21,0.0,11,10,1701.46435546875,305.4019470214844,R_A5,305.4019470214844,2018-01-01,STANDARD,0,31
1.0,21,0.0,12,11,1703.48828125,305.59375,R_A5,305.59375,2018-01-01,STANDARD,0,31
1.0,21,0.0,13,12,1705.5123291015625,305.79754638671875,R_A5,305.79754638671875,2018-01-01,STANDARD,0,31
1.0,21,0.0,14,13,1707.536376953125,305.9893493652344,R_A5,305.9893493652344,2018-01-01,STANDARD,0,31
1.0,21,0.0,15,14,1709.560302734375,306.18115234375,R_A5,306.18115234375,2018-01-01,STANDARD,0,31
1.0,21,0.0,16,15,1711.584228515625,306.51800537109375,R_A5,306.51800537109375,2018-01-01,STANDARD,0,31
1.0,21,0.0,17,16,1713.550048828125,306.7043151855469,R_A5,306.7043151855469,2018-01-01,STANDARD,0,31
1.0,21,0.0,18,17,1714.75634765625,306.8186340332031,R_A5,306.8186340332031,2018-01-01,STANDARD,0,31
1.0,21,0.0,19,18,1715.2513427734375,306.86553955078125,R_A5,306.86553955078125,2018-01-01,STANDARD,0,31
1.0,21,0.0,25,19,1716.580810546875,306.8344421386719,R_A5,306.8344421386719,2018-01-01,STANDARD,0,31
1.0,21,0.0,26,20,1718.754638671875,307.04046630859375,R_A5,307.04046630859375,2018-01-01,STANDARD,0,31
1.0,21,0.0,27,21,1720.92822265625,307.55224609375,R_A5,307.55224609375,2018-01-01,STANDARD,0,31
1.0,21,0.0,28,22,1723.10205078125,307.7582702636719,R_A5,307.7582702636719,2018-01-01,STANDARD,0,31
1.0,21,0.0,29,23,1725.2757568359375,307.96429443359375,R_A5,307.96429443359375,2018-01-01,STANDARD,0,31
1.0,42,0.0,1,1,1694.781494140625,305.07427978515625,R_A6,305.07427978515625,2018-01-01,STANDARD,0,17
1.0,42,0.0,2,2,1696.32177734375,305.22027587890625,R_A6,305.22027587890625,2018-01-01,STANDARD,0,17
1.0,42,0.0,3,3,1697.862060546875,305.3662414550781,R_A6,305.3662414550781,2018-01-01,STANDARD,0,17
1.0,42,0.0,4,4,1699.40234375,305.51220703125,R_A6,305.51220703125,2018-01-01,STANDARD,0,17
1.0,42,0.0,5,5,1700.942626953125,305.6581726074219,R_A6,305.6581726074219,2018-01-01,STANDARD,0,17
1.0,42,0.0,6,6,1702.48291015625,305.80413818359375,R_A6,305.80413818359375,2018-01-01,STANDARD,0,17
1.0,42,0.0,7,7,1704.023193359375,305.65106201171875,R_A6,305.65106201171875,2018-01-01,STANDARD,0,17
1.0,42,0.0,8,8,1705.5634765625,305.7970275878906,R_A6,305.7970275878906,2018-01-01,STANDARD,0,17
1.0,42,0.0,9,9,1707.103759765625,306.2420654296875,R_A6,306.2420654296875,2018-01-01,STANDARD,0,17
1.0,42,0.0,10,10,1708.64404296875,306.0822448730469,R_A6,306.0822448730469,2018-01-01,STANDARD,0,17
1.0,42,0.0,11,11,1710.5535888671875,306.2633361816406,R_A6,306.2633361816406,2018-01-01,STANDARD,0,17
1.0,42,0.0,12,12,1712.832275390625,306.4792785644531,R_A6,306.4792785644531,2018-01-01,STANDARD,0,17
1.0,42,0.0,13,13,1715.11083984375,306.70721435546875,R_A6,306.70721435546875,2018-01-01,STANDARD,0,17
1.0,42,0.0,14,14,1717.3895263671875,306.9231872558594,R_A6,306.9231872558594,2018-01-01,STANDARD,0,17
1.0,42,0.0,15,15,1719.6683349609375,307.1391296386719,R_A6,307.1391296386719,2018-01-01,STANDARD,0,17
1.0,42,0.0,16,16,1721.947021484375,307.5001220703125,R_A6,307.5001220703125,2018-01-01,STANDARD,0,17
1.0,42,0.0,17,17,1724.2255859375,307.7160949707031,R_A6,307.7160949707031,2018-01-01,STANDARD,0,17
1.0,42,0.0,18,18,1725.829345703125,307.8680725097656,R_A6,307.8680725097656,2018-01-01,STANDARD,0,17
1.0,42,0.0,25,19,1727.1510009765625,307.83624267578125,R_A6,307.83624267578125,2018-01-01,STANDARD,0,17
1.0,42,0.0,26,20,1728.8656005859375,308.3045349121094,R_A6,308.3045349121094,2018-01-01,STANDARD,0,17
1.0,42,0.0,27,21,1730.5802001953125,308.467041015625,R_A6,308.467041015625,2018-01-01,STANDARD,0,17
1.0,42,0.0,28,22,1732.2947998046875,308.6295471191406,R_A6,308.6295471191406,2018-01-01,STANDARD,0,17
1.0,42,0.0,29,23,1734.0093994140625,308.48626708984375,R_A6,308.48626708984375,2018-01-01,STANDARD,0,17
0.054295655339956284,30,0.0,1,1,1640.5113525390625,299.3099060058594,R_A2,299.3099060058594,2018-03-01,STANDARD,0,22
0.05643687769770622,30,0.0,2,2,1642.259033203125,299.4269714355469,R_A2,299.4269714355469,2018-03-01,STANDARD,0,22
0.05777653679251671,30,0.0,3,3,1644.006591796875,299.5440673828125,R_A2,299.5440673828125,2018-03-01,STANDARD,0,22
0.06351205706596375,30,0.0,4,4,1645.754150390625,299.6611633300781,R_A2,299.6611633300781,2018-03-01,STANDARD,0,22
0.06555774062871933,30,0.0,5,5,1647.5018310546875,299.7783203125,R_A2,299.7783203125,2018-03-01,STANDARD,0,22
0.30286672711372375,30,0.0,6,6,1649.24951171875,299.9131774902344,R_A2,299.9131774902344,2018-03-01,STANDARD,0,22
0.8720383048057556,30,0.0,7,7,1650.9971923828125,300.0338439941406,R_A2,300.0338439941406,2018-03-01,STANDARD,0,22
0.8451415300369263,30,0.0,8,8,1652.7447509765625,300.15460205078125,R_A2,300.15460205078125,2018-03-01,STANDARD,0,22
0.8756318092346191,30,0.0,9,9,1654.492431640625,300.38189697265625,R_A2,300.38189697265625,2018-03-01,STANDARD,0,22
0.8762270212173462,30,0.0,10,10,1656.239990234375,300.5134582519531,R_A2,300.5134582519531,2018-03-01,STANDARD,0,22
0.06851537525653839,30,0.0,11,11,1658.1280517578125,300.06170654296875,R_A2,300.06170654296875,2018-03-01,STANDARD,0,22
0.06793524324893951,30,0.0,12,12,1660.1563720703125,300.19464111328125,R_A2,300.19464111328125,2018-03-01,STANDARD,0,22
0.4239479601383209,30,0.0,13,13,1662.184814453125,300.3796081542969,R_A2,300.3796081542969,2018-03-01,STANDARD,0,22
0.4634711444377899,30,0.0,14,14,1664.213134765625,300.51617431640625,R_A2,300.51617431640625,2018-03-01,STANDARD,0,22
0.8932396769523621,30,0.0,15,15,1666.241455078125,300.65582275390625,R_A2,300.65582275390625,2018-03-01,STANDARD,0,22
0.9123796820640564,30,0.0,16,16,1668.269775390625,300.794189453125,R_A2,300.794189453125,2018-03-01,STANDARD,0,22
0.8742389678955078,30,0.0,17,17,1670.298095703125,300.9312744140625,R_A2,300.9312744140625,2018-03-01,STANDARD,0,22
0.9591549634933472,29,0.0,17,18,1676.708251953125,301.26177978515625,R_A2,301.26177978515625,2018-03-01,STANDARD,0,22
0.9913509488105774,29,0.0,18,19,1678.3814697265625,301.3739929199219,R_A2,301.3739929199219,2018-03-01,STANDARD,0,22
0.8024507761001587,29,0.0,25,20,1679.8466796875,300.7917785644531,R_A2,300.7917785644531,2018-03-01,STANDARD,0,22
1.0,29,-1.7275449733927806e-13,26,21,1681.5242919921875,302.5073547363281,R_A2,302.5073547363281,2018-03-01,STANDARD,0,22
1.0,29,-2.965717602054774e-11,27,22,1683.201904296875,302.37371826171875,R_A2,302.37371826171875,2018-03-01,STANDARD,0,22
0.9999998807907104,29,-8.749055702139685e-09,28,23,1684.8795166015625,301.66082763671875,R_A2,301.66082763671875,2018-03-01,STANDARD,0,22
0.9999969601631165,29,0.0,29,24,1686.55712890625,301.85198974609375,R_A2,301.85198974609375,2018-03-01,STANDARD,0,22
1.0,20,-8.64097793318308e-10,1,1,1684.7484130859375,284.88775634765625,R_A5,284.88775634765625,2018-04-28,STANDARD,0,31
1.0,20,-8.742020440877241e-10,2,2,1686.88037109375,285.0892639160156,R_A5,285.0892639160156,2018-04-28,STANDARD,0,31
1.0,20,-8.566699016832047e-10,3,3,1689.012451171875,285.2908020019531,R_A5,285.2908020019531,2018-04-28,STANDARD,0,31
1.0,20,-8.918640825861246e-10,4,4,1691.14453125,285.49249267578125,R_A5,285.49249267578125,2018-04-28,STANDARD,0,31
1.0,20,-9.491375463355212e-10,5,5,1693.2764892578125,285.6943359375,R_A5,285.6943359375,2018-04-28,STANDARD,0,31
1.0,20,-7.137004875978903e-10,6,6,1695.408447265625,285.8963317871094,R_A5,285.8963317871094,2018-04-28,STANDARD,0,31
1.0,21,-1.1600027882696651e-10,7,7,1691.998291015625,285.59173583984375,R_A5,285.59173583984375,2018-04-28,STANDARD,0,31
1.0,21,-7.474594554413017e-11,8,8,1694.4136962890625,285.8675842285156,R_A5,285.8675842285156,2018-04-28,STANDARD,0,31
1.0,21,-9.548832211048186e-12,9,9,1696.8291015625,287.13018798828125,R_A5,287.13018798828125,2018-04-28,STANDARD,0,31
1.0,21,2.08478660767078e-13,11,10,1701.46435546875,281.8957214355469,R_A5,281.8957214355469,2018-04-28,STANDARD,0,31
1.0,21,4.16593929492004e-12,12,11,1703.48828125,280.8803405761719,R_A5,280.8803405761719,2018-04-28,STANDARD,0,31
1.0,21,2.34405458368267e-13,13,12,1705.5123291015625,281.0868835449219,R_A5,281.0868835449219,2018-04-28,STANDARD,0,31
1.0,21,2.644949417904968e-13,14,13,1707.536376953125,281.2913513183594,R_A5,281.2913513183594,2018-04-28,STANDARD,0,31
1.0,21,1.3376367342336076e-13,15,14,1709.560302734375,281.4913024902344,R_A5,281.4913024902344,2018-04-28,STANDARD,0,31
1.0,21,3.154107088899384e-14,16,15,1711.584228515625,281.83892822265625,R_A5,281.83892822265625,2018-04-28,STANDARD,0,31
1.0,21,4.874314791852505e-14,17,16,1713.550048828125,282.0371398925781,R_A5,282.0371398925781,2018-04-28,STANDARD,0,31
1.0,21,0.0,18,17,1714.75634765625,282.1548767089844,R_A5,282.1548767089844,2018-04-28,STANDARD,0,31
1.0,21,0.0,19,18,1715.2513427734375,282.20294189453125,R_A5,282.20294189453125,2018-04-28,STANDARD,0,31
1.0,21,-5.558050200638043e-11,25,19,1716.580810546875,285.9289855957031,R_A5,285.9289855957031,2018-04-28,STANDARD,0,31
1.0,21,-3.44175313249373e-11,26,20,1718.754638671875,286.2796630859375,R_A5,286.2796630859375,2018-04-28,STANDARD,0,31
1.0,21,-1.5058951264522815e-18,27,21,1720.92822265625,297.0284118652344,R_A5,297.0284118652344,2018-04-28,STANDARD,0,31
1.0,21,-2.46234892100238e-19,28,22,1723.10205078125,303.873291015625,R_A5,303.873291015625,2018-04-28,STANDARD,0,31
1.0,21,-1.3560178172838137e-21,29,23,1725.2757568359375,306.5858459472656,R_A5,306.5858459472656,2018-04-28,STANDARD,0,31
0.6496945023536682,41,0.0,1,1,1609.6417236328125,281.53759765625,R_A3,281.53759765625,2018-07-03,STANDARD,0,28
0.15640388429164886,41,0.0,2,2,1611.6563720703125,281.6662292480469,R_A3,281.6662292480469,2018-07-03,STANDARD,0,28
0.18498462438583374,41,0.0,2,3,1600.22802734375,280.8824768066406,R_A3,280.8824768066406,2018-07-03,STANDARD,0,29
0.14610114693641663,41,0.0,3,4,1602.40380859375,281.0272521972656,R_A3,281.0272521972656,2018-07-03,STANDARD,0,29
0.17722299695014954,41,0.0,4,5,1604.57958984375,281.17242431640625,R_A3,281.17242431640625,2018-07-03,STANDARD,0,29
0.8001885414123535,41,0.0,5,6,1606.75537109375,281.4164733886719,R_A3,281.4164733886719,2018-07-03,STANDARD,0,29
0.6492528915405273,41,0.0,6,7,1608.9312744140625,281.53045654296875,R_A3,281.53045654296875,2018-07-03,STANDARD,0,29
0.19333799183368683,41,0.0,7,8,1611.1070556640625,281.6813659667969,R_A3,281.6813659667969,2018-07-03,STANDARD,0,29
0.195133775472641,41,0.0,8,9,1613.282958984375,281.82647705078125,R_A3,281.82647705078125,2018-07-03,STANDARD,0,29
0.7920933961868286,41,0.0,9,10,1615.458740234375,282.0653991699219,R_A3,282.0653991699219,2018-07-03,STANDARD,0,29
0.7911148071289062,41,0.0,10,11,1617.634521484375,284.3795471191406,R_A3,284.3795471191406,2018-07-03,STANDARD,0,29
0.04852227866649628,41,0.0,11,12,1619.88720703125,296.3389892578125,R_A3,296.3389892578125,2018-07-03,STANDARD,0,29
0.051479093730449677,41,0.0,12,13,1622.2166748046875,296.4950256347656,R_A3,296.4950256347656,2018-07-03,STANDARD,0,29
0.3637279272079468,41,0.0,13,14,1624.546142578125,296.65130615234375,R_A3,296.65130615234375,2018-07-03,STANDARD,0,29
0.49093618988990784,41,0.0,15,15,1629.205078125,296.9535827636719,R_A3,296.9535827636719,2018-07-03,STANDARD,0,29
0.8079688549041748,41,0.0,16,16,1631.189697265625,297.08807373046875,R_A3,297.08807373046875,2018-07-03,STANDARD,0,29
0.6507830619812012,41,0.0,25,17,1633.9774169921875,284.27093505859375,R_A3,284.27093505859375,2018-07-03,STANDARD,0,29
0.04146105423569679,41,0.0,26,18,1637.6502685546875,284.5308532714844,R_A3,284.5308532714844,2018-07-03,STANDARD,0,29
0.0491778738796711,41,0.0,27,19,1641.3231201171875,284.7760925292969,R_A3,284.7760925292969,2018-07-03,STANDARD,0,29
0.23303963243961334,41,0.0,28,20,1644.9959716796875,285.0211181640625,R_A3,285.0211181640625,2018-07-03,STANDARD,0,29
0.06105801463127136,41,0.0,29,21,1648.6688232421875,285.2642517089844,R_A3,285.2642517089844,2018-07-03,STANDARD,0,29
0.05027041584253311,52,0.0,1,1,1632.742919921875,277.0977783203125,R_A4,277.0977783203125,2018-09-12,STANDARD,0,30
0.048329178243875504,52,0.0,1,2,1628.26171875,276.820556640625,R_A4,276.820556640625,2018-09-12,STANDARD,0,31
0.0503385066986084,52,0.0,2,3,1630.285888671875,276.9554443359375,R_A4,276.9554443359375,2018-09-12,STANDARD,0,31
0.05183533951640129,52,0.0,3,4,1632.309814453125,277.0903015136719,R_A4,277.0903015136719,2018-09-12,STANDARD,0,31
0.052305713295936584,52,0.0,4,5,1634.333984375,277.2251281738281,R_A4,277.2251281738281,2018-09-12,STANDARD,0,31
0.052652664482593536,52,0.0,4,6,1633.478271484375,277.187744140625,R_A4,277.187744140625,2018-09-12,STANDARD,0,32
0.05616484209895134,51,0.0,4,7,1635.17138671875,277.26312255859375,R_A4,277.26312255859375,2018-09-12,STANDARD,0,32
0.30933982133865356,51,0.0,5,8,1637.018310546875,277.39288330078125,R_A4,277.39288330078125,2018-09-12,STANDARD,0,32
0.29764312505722046,51,0.0,5,9,1638.054931640625,277.4470520019531,R_A4,277.4470520019531,2018-09-12,STANDARD,0,33
0.05603782460093498,51,0.0,4,10,1636.2076416015625,277.31756591796875,R_A4,277.31756591796875,2018-09-12,STANDARD,0,33
0.0594860203564167,50,0.0,4,11,1641.2459716796875,277.6033630371094,R_A4,277.6033630371094,2018-09-12,STANDARD,0,33
0.059051450341939926,50,0.0,4,12,1640.146484375,277.50750732421875,R_A4,277.50750732421875,2018-09-12,STANDARD,0,34
0.05830750986933708,50,0.0,4,13,1641.0318603515625,277.5283508300781,R_A4,277.5283508300781,2018-09-12,STANDARD,0,35
0.17190444469451904,50,0.0,3,14,1639.1788330078125,277.4051818847656,R_A4,277.4051818847656,2018-09-12,STANDARD,0,35
0.13539893925189972,49,0.0,3,15,1642.70751953125,277.6236877441406,R_A4,277.6236877441406,2018-09-12,STANDARD,0,35
0.19271311163902283,49,0.0,28,16,1642.3485107421875,275.6466064453125,R_A4,275.6466064453125,2018-09-12,STANDARD,0,36
0.0555817112326622,48,0.0,28,17,1642.53515625,275.25299072265625,R_A4,275.25299072265625,2018-09-12,STANDARD,0,36
0.6552280783653259,48,0.0,28,18,1651.097412109375,276.1258544921875,R_A4,276.1258544921875,2018-09-12,STANDARD,0,37
0.17622409760951996,48,0.0,27,19,1645.4984130859375,275.87835693359375,R_A4,275.87835693359375,2018-09-12,STANDARD,0,37
0.06138978153467178,48,0.0,27,20,1650.89013671875,276.579833984375,R_A4,276.579833984375,2018-09-12,STANDARD,0,38
0.10863249003887177,47,0.0,27,21,1658.95068359375,276.9541931152344,R_A4,276.9541931152344,2018-09-12,STANDARD,0,38
1.0,42,-6.947839656032406e-13,1,1,1694.781494140625,275.2870788574219,R_A6,275.2870788574219,2018-11-07,STANDARD,0,17
1.0,42,-1.9727840509190658e-13,2,2,1696.32177734375,275.428955078125,R_A6,275.428955078125,2018-11-07,STANDARD,0,17
1.0,42,-1.7897063496995214e-13,3,3,1697.862060546875,275.56640625,R_A6,275.56640625,2018-11-07,STANDARD,0,17
1.0,42,-1.4915572574790426e-13,4,4,1699.40234375,275.6989440917969,R_A6,275.6989440917969,2018-11-07,STANDARD,0,17
1.0,42,-2.1611655336411378e-13,5,5,1700.942626953125,275.8297424316406,R_A6,275.8297424316406,2018-11-07,STANDARD,0,17
1.0,42,-1.0192327017100045e-11,6,6,1702.48291015625,275.9659423828125,R_A6,275.9659423828125,2018-11-07,STANDARD,0,17
1.0,42,-1.8330522863485577e-11,7,7,1704.023193359375,275.8102722167969,R_A6,275.8102722167969,2018-11-07,STANDARD,0,17
1.0,42,-1.6596227864207336e-11,8,8,1705.5634765625,275.9560241699219,R_A6,275.9560241699219,2018-11-07,STANDARD,0,17
1.0,42,-5.4428694190589155e-11,9,9,1707.103759765625,276.4007568359375,R_A6,276.4007568359375,2018-11-07,STANDARD,0,17
1.0,42,-1.1248262044016855e-10,10,10,1708.64404296875,276.2652587890625,R_A6,276.2652587890625,2018-11-07,STANDARD,0,17
1.0,42,5.060216568680831e-13,11,11,1710.5535888671875,277.8948669433594,R_A6,277.8948669433594,2018-11-07,STANDARD,0,17
1.0,42,1.2161290786796668e-14,12,12,1712.832275390625,278.2247009277344,R_A6,278.2247009277344,2018-11-07,STANDARD,0,17
1.0,42,-3.2791256367273878e-15,13,13,1715.11083984375,278.46514892578125,R_A6,278.46514892578125,2018-11-07,STANDARD,0,17
1.0,42,-3.4828783533982256e-15,14,14,1717.3895263671875,278.680908203125,R_A6,278.680908203125,2018-11-07,STANDARD,0,17
1.0,42,-2.064655302668329e-15,15,15,1719.6683349609375,278.8970642089844,R_A6,278.8970642089844,2018-11-07,STANDARD,0,17
1.0,42,-5.470474939569213e-16,16,16,1721.947021484375,279.2589416503906,R_A6,279.2589416503906,2018-11-07,STANDARD,0,17
1.0,42,-1.05459350053952e-15,17,17,1724.2255859375,279.47576904296875,R_A6,279.47576904296875,2018-11-07,STANDARD,0,17
1.0,42,-9.564343462931265e-16,18,18,1725.829345703125,279.6280212402344,R_A6,279.6280212402344,2018-11-07,STANDARD,0,17
1.0,42,4.766206960354902e-14,25,19,1727.1510009765625,280.7367858886719,R_A6,280.7367858886719,2018-11-07,STANDARD,0,17
