date,amount,phase,containment,zone,region
2020-01-01,1239082991.814162,total,total,all,all
2040-01-01,1353398788.9796295,total,total,all,all
2060-01-01,1480244528.23949,total,total,all,all
2080-01-01,1621996099.2275896,total,total,all,all
2100-01-01,1780260508.406809,total,total,all,all
2120-01-01,1955694462.8299308,total,total,all,all
2140-01-01,2148045191.643442,total,total,all,all
2160-01-01,2356363918.513214,total,total,all,all
2180-01-01,2579290924.405288,total,total,all,all
2200-01-01,2815312778.1414833,total,total,all,all
2020-01-01,101254016.09541263,aqueous,total,all,all
2040-01-01,110546251.94244559,aqueous,total,all,all
2060-01-01,120823491.05473314,aqueous,total,all,all
2080-01-01,132264908.95506682,aqueous,total,all,all
2100-01-01,144987643.7353677,aqueous,total,all,all
2120-01-01,159033676.527782,aqueous,total,all,all
2140-01-01,174373590.6752795,aqueous,total,all,all
2160-01-01,190923289.9664247,aqueous,total,all,all
2180-01-01,208566204.37393084,aqueous,total,all,all
2200-01-01,227173598.76655012,aqueous,total,all,all
2020-01-01,1137828975.7187495,gas,total,all,all
2040-01-01,1242852537.0371842,gas,total,all,all
2060-01-01,1359421037.1847572,gas,total,all,all
2080-01-01,1489731190.272523,gas,total,all,all
2100-01-01,1635272864.6714413,gas,total,all,all
2120-01-01,1796660786.3021488,gas,total,all,all
2140-01-01,1973671600.9681625,gas,total,all,all
2160-01-01,2165440628.546789,gas,total,all,all
2180-01-01,2370724720.0313573,gas,total,all,all
2200-01-01,2588139179.374933,gas,total,all,all
2020-01-01,1233786285.762642,total,contained,all,all
2040-01-01,1342293548.2002492,total,contained,all,all
2060-01-01,1459078741.7088087,total,contained,all,all
2080-01-01,1584891579.9479804,total,contained,all,all
2100-01-01,1719801802.1271255,total,contained,all,all
2120-01-01,1863202571.050483,total,contained,all,all
2140-01-01,2013896839.4587379,total,contained,all,all
2160-01-01,2170231614.088563,total,contained,all,all
2180-01-01,2330264412.1734014,total,contained,all,all
2200-01-01,2491942787.1315346,total,contained,all,all
2020-01-01,100870057.53658794,aqueous,contained,all,all
2040-01-01,109741232.33527161,aqueous,contained,all,all
2060-01-01,119289181.86637561,aqueous,contained,all,all
2080-01-01,129575200.10022406,aqueous,contained,all,all
2100-01-01,140604988.67099947,aqueous,contained,all,all
2120-01-01,152328934.68904817,aqueous,contained,all,all
2140-01-01,164649171.75131926,aqueous,contained,all,all
2160-01-01,177430556.90193498,aqueous,contained,all,all
2180-01-01,190514279.5343199,aqueous,contained,all,all
2200-01-01,203732538.78443643,aqueous,contained,all,all
2020-01-01,1132916228.226054,gas,contained,all,all
2040-01-01,1232552315.8649776,gas,contained,all,all
2060-01-01,1339789559.8424332,gas,contained,all,all
2080-01-01,1455316379.8477564,gas,contained,all,all
2100-01-01,1579196813.456126,gas,contained,all,all
2120-01-01,1710873636.361435,gas,contained,all,all
2140-01-01,1849247667.7074187,gas,contained,all,all
2160-01-01,1992801057.186628,gas,contained,all,all
2180-01-01,2139750132.6390815,gas,contained,all,all
2200-01-01,2288210248.3470984,gas,contained,all,all
2020-01-01,0.08411277447944168,total,hazardous,all,all
2040-01-01,0.4972443205917002,total,hazardous,all,all
2060-01-01,2.4046507351853887,total,hazardous,all,all
2080-01-01,9.833117007764173,total,hazardous,all,all
2100-01-01,34.9014602751616,total,hazardous,all,all
2120-01-01,109.7985801808236,total,hazardous,all,all
2140-01-01,311.39441598347287,total,hazardous,all,all
2160-01-01,807.25775559369,total,hazardous,all,all
2180-01-01,1935.0126348254184,total,hazardous,all,all
2200-01-01,4329.944810467232,total,hazardous,all,all
2020-01-01,0.005100592395885469,aqueous,hazardous,all,all
2040-01-01,0.030152858661524166,aqueous,hazardous,all,all
2060-01-01,0.14581784194557468,aqueous,hazardous,all,all
2080-01-01,0.5962794848707852,aqueous,hazardous,all,all
2100-01-01,2.116421958335212,aqueous,hazardous,all,all
