date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,4720316.159292052,4700138.231476736,20177.92749488493,0.0003204296170645397,4334586.5741666695,385729.5851253818,4315871.345623068,384266.88585366873,18715.228242602712,1462.6992522822175,0.0003009987888897379,1.9430828174801783e-05
2040-01-01,5155804.9103986025,5113499.231239059,42305.6772652799,0.0018942640784445726,4734676.331570239,421128.5788283653,4695437.393771357,418061.8374677026,39238.93601948524,3066.7412457946593,0.0017793960454482898,0.00011486803299628256
2060-01-01,5639026.7742457045,5558395.2065097755,80631.55857535425,0.009160574229277671,5178746.808322908,460279.96592279506,5103960.227971199,454434.978538576,74786.57174663173,5844.9868287225245,0.008605077688532626,0.0005554965407450463
2080-01-01,6179032.758962286,6037682.2093256805,141350.51217711158,0.037459493362911135,5675166.439133456,503866.3198288291,5544062.399420061,493619.8099056187,131104.00452544214,10246.507651669439,0.035187952468165286,0.0022715408947458484
2100-01-01,6781944.793930756,6551625.912865296,230318.7481075165,0.13295794390537755,6229610.913034113,552333.8808966433,6015987.860785293,535638.0520800025,213622.92735343555,16695.820754080967,0.12489538406410056,0.008062559841277
2120-01-01,7450264.62030457,7097914.556382864,352349.64564140106,0.4182803054507567,6844422.04305587,605842.5772486991,6517613.852805531,580300.7035773321,326807.79733452067,25541.848306880376,0.3929158188013211,0.02536448664943553
2140-01-01,8183029.301498914,7671987.959842895,511040.1553915768,1.1862644418410238,7518748.956069272,664280.3454296434,7044753.019837863,627234.9400050327,473994.8219019537,37045.33348962312,1.1143294542126878,0.0719349876283359
2160-01-01,8976624.451479018,8267549.006051768,709072.3701596099,3.0752676403533883,8249297.632559297,727326.8189197219,7591623.0749967685,675925.9310549985,657671.668778888,51400.70138072205,2.88878363909704,0.18648400125634823
2180-01-01,9825870.188210746,8877197.760660684,948665.0560733582,7.371476704090249,9031332.266786238,794537.9214245086,8151429.076720409,725768.6839402751,879896.2655949245,68768.79047843374,6.924470904364558,0.4470057997256919
2200-01-01,10725001.05958675,9493115.37954882,1231869.1850100802,16.49502784938596,9859577.826190356,865423.2333963931,8716991.422274766,776123.957274053,1142570.9091450039,89298.27586507663,15.494770585977523,1.000257263408433
