date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,5900395.199115064,5875172.78934592,25222.40936860616,0.0004005370213306746,5418233.217708336,482161.9814067272,5394839.182028834,480333.6073170859,23394.03530325339,1828.3740653527718,0.00037624848611217236,2.4288535218502227e-05
2040-01-01,6444756.137998253,6391874.0390488235,52882.09658159987,0.0023678300980557155,5918345.414462798,526410.7235354566,5869296.742214196,522577.2968346282,49048.67002435655,3833.426557243324,0.002224245056810362,0.0001435850412453532
2060-01-01,7048783.46780713,6947994.008137219,100789.44821919281,0.011450717786597089,6473433.510403635,575349.9574034938,6379950.284963998,568043.72317322,93483.21468328965,7306.233535903155,0.010756347110665782,0.0006943706759313079
2080-01-01,7723790.948702857,7547102.7616571,176688.14022138948,0.04682436670363892,7093958.0489168195,629832.8997860363,6930077.999275076,617024.7623820234,163880.00565680268,12808.134564586799,0.043984940585206606,0.0028394261184323103
2100-01-01,8477430.992413444,8189532.391081619,287898.4351343956,0.16619742988172193,7787013.641292641,690417.3511208041,7519984.825981616,669547.565100003,267028.6591917944,20869.77594260121,0.15611923008012568,0.010078199801596249
2120-01-01,9312830.775380712,8872393.195478579,440437.0570517513,0.5228503818134458,8555527.553819837,757303.2215608739,8147017.316006913,725375.8794716651,408509.7466681508,31927.31038360047,0.49114477350165137,0.03170560831179441
2140-01-01,10228786.626873642,9589984.949803619,638800.194239471,1.4828305523012797,9398436.19508659,830350.4317870542,8805941.274797328,784043.6750062908,592493.5273774421,46306.66686202889,1.3929118177658597,0.08991873453541988
2160-01-01,11220780.564348772,10334436.257564709,886340.4626995124,3.844084550441735,10311622.04069912,909158.5236496523,9489528.84374596,844907.4138187481,822089.5859736098,64250.87672590256,3.6109795488712995,0.2331050015704353
2180-01-01,12282337.735263433,11096497.200825855,1185831.3200916976,9.21434588011281,11289165.333482798,993172.4017806356,10189286.345900511,907210.8549253439,1099870.3319936555,85960.98809804217,8.655588630455696,0.5587572496571148
2200-01-01,13406251.324483437,11866394.224436024,1539836.4812626003,20.618784811732446,12324472.282737944,1081779.0417454913,10896239.277843457,970154.9465925662,1428213.6364312547,111622.84483134579,19.368463232471903,1.2503215792605413
