CONBPRES,CONIDX,CONIPOS,CONJPOS,CONKPOS,DATE,DEPTH,Drawdown,PRESSURE,SGAS,SWAT,WELL,WELLMODEL
303.7588806152344,1,27,30,5,2000-02-01,1610.447998046875,0,303.7588806152344,0.0,0.03419511020183563,OP_1,MULTISEG
303.9382629394531,2,27,30,6,2000-02-01,1613.2606201171875,0,303.9382629394531,0.0,0.07489185035228729,OP_1,MULTISEG
304.1219177246094,3,27,30,7,2000-02-01,1616.1395263671875,0,304.1219177246094,0.0,0.038170523941516876,OP_1,MULTISEG
304.3055725097656,4,27,30,8,2000-02-01,1619.0185546875,0,304.3055725097656,0.0,0.04625653848052025,OP_1,MULTISEG
304.4892578125,5,27,30,9,2000-02-01,1621.8974609375,0,304.4892578125,0.0,0.03472142666578293,OP_1,MULTISEG
304.6729431152344,6,27,30,10,2000-02-01,1624.776611328125,0,304.6729431152344,0.0,0.026030804961919785,OP_1,MULTISEG
306.1268310546875,1,20,13,6,2000-02-01,1652.7034912109375,0,306.1268310546875,0.0,0.10215239971876144,OP_2,MULTISEG
306.298828125,2,20,13,7,2000-02-01,1655.37353515625,0,306.298828125,0.0,0.04478137940168381,OP_2,MULTISEG
306.4692687988281,3,20,13,8,2000-02-01,1658.043212890625,0,306.4692687988281,0.0,0.048650823533535004,OP_2,MULTISEG
306.6397399902344,4,20,13,9,2000-02-01,1660.7130126953125,0,306.6397399902344,0.0,0.051225047558546066,OP_2,MULTISEG
306.8106384277344,5,20,13,10,2000-02-01,1663.383056640625,0,306.8106384277344,0.0,0.15350191295146942,OP_2,MULTISEG
306.6852111816406,1,28,47,8,2000-02-01,1655.905517578125,0,306.6852111816406,0.0,0.09998038411140442,OP_3,MULTISEG
306.8777770996094,2,28,47,9,2000-02-01,1658.922119140625,0,306.8777770996094,0.0,0.10569648444652557,OP_3,MULTISEG
307.07037353515625,3,28,47,10,2000-02-01,1661.938720703125,0,307.07037353515625,0.0,0.09143802523612976,OP_3,MULTISEG
307.2600402832031,4,28,47,11,2000-02-01,1664.9091796875,0,307.2600402832031,0.0,0.054861851036548615,OP_3,MULTISEG
307.4467468261719,5,28,47,12,2000-02-01,1667.83349609375,0,307.4467468261719,0.0,0.0613851435482502,OP_3,MULTISEG
307.63348388671875,6,28,47,13,2000-02-01,1670.758056640625,0,307.63348388671875,0.0,0.05345112085342407,OP_3,MULTISEG
307.82025146484375,7,28,47,14,2000-02-01,1673.682373046875,0,307.82025146484375,0.0,0.06340678036212921,OP_3,MULTISEG
309.52740478515625,1,14,38,2,2000-02-01,1702.4749755859375,0,309.52740478515625,9.625053110084991e-08,1.0000004768371582,WI_1,MULTISEG
309.8260803222656,2,14,38,3,2000-02-01,1705.0369873046875,0,309.8260803222656,2.9528163025815957e-08,1.0000001192092896,WI_1,MULTISEG
310.0089416503906,3,14,38,4,2000-02-01,1707.598876953125,0,310.0089416503906,1.670641225359759e-08,1.0000001192092896,WI_1,MULTISEG
310.2461242675781,4,14,38,5,2000-02-01,1710.1607666015625,0,310.2461242675781,8.090338354804771e-08,1.0000003576278687,WI_1,MULTISEG
271.1778869628906,1,28,20,7,2000-06-01,1692.2568359375,0,271.1778869628906,0.0,0.5326952338218689,WI_2,MULTISEG
272.2868957519531,2,28,20,8,2000-06-01,1695.3433837890625,0,272.2868957519531,0.0,0.510254979133606,WI_2,MULTISEG
272.6294250488281,3,28,20,9,2000-06-01,1698.429931640625,0,272.6294250488281,0.0,0.6603683233261108,WI_2,MULTISEG
271.8465881347656,1,18,29,2,2001-01-01,1651.4876708984375,0,271.8465881347656,0.0,0.04156511649489403,OP_4,MULTISEG
271.99285888671875,2,18,29,3,2001-01-01,1653.8076171875,0,271.99285888671875,0.0,0.0516371876001358,OP_4,MULTISEG
272.1387939453125,3,18,29,4,2001-01-01,1656.1278076171875,0,272.1387939453125,0.0,0.057027801871299744,OP_4,MULTISEG
272.2849426269531,4,18,29,5,2001-01-01,1658.4482421875,0,272.2849426269531,0.0,0.059416089206933975,OP_4,MULTISEG
272.6195068359375,5,18,29,6,2001-01-01,1660.920166015625,0,272.6195068359375,0.0,0.5223965644836426,OP_4,MULTISEG
274.8168640136719,6,18,29,10,2001-01-01,1671.4146728515625,0,274.8168640136719,0.0,0.44160765409469604,OP_4,MULTISEG
274.9883117675781,7,18,29,11,2001-01-01,1674.0118408203125,0,274.9883117675781,0.0,0.08444465696811676,OP_4,MULTISEG
275.1510009765625,8,18,29,12,2001-01-01,1676.5826416015625,0,275.1510009765625,0.0,0.07722706347703934,OP_4,MULTISEG
275.3135986328125,9,18,29,13,2001-01-01,1679.1534423828125,0,275.3135986328125,0.0,0.09060115367174149,OP_4,MULTISEG
275.47601318359375,10,18,29,14,2001-01-01,1681.72412109375,0,275.47601318359375,0.0,0.1772974580526352,OP_4,MULTISEG
264.0888671875,1,24,37,1,2001-01-01,1613.484375,0,264.0888671875,0.0,0.03095857799053192,OP_5,MULTISEG
264.3032531738281,2,24,37,2,2001-01-01,1616.8458251953125,0,264.3032531738281,0.0,0.04258270934224129,OP_5,MULTISEG
264.51837158203125,3,24,37,3,2001-01-01,1620.20751953125,0,264.51837158203125,0.0,0.04377221688628197,OP_5,MULTISEG
264.73248291015625,4,24,37,4,2001-01-01,1623.569091796875,0,264.73248291015625,0.0,0.07514240592718124,OP_5,MULTISEG
264.9449768066406,5,24,37,5,2001-01-01,1626.9306640625,0,264.9449768066406,0.0,0.06552831083536148,OP_5,MULTISEG
