CONIDX,PRESSURE,SWAT,DATE,CONIPOS,DEPTH,DRAWDOWN,WELLMODEL,CONBPRES,SGAS,CONJPOS,WELL,CONKPOS
1,300.6941833496094,0.11433272808790207,2018-01-01,22,1641.65380859375,0,STANDARD,300.6941833496094,0.0,30,R_A2,1
2,300.81304931640625,0.05887528136372566,2018-01-01,22,1643.4266357421875,0,STANDARD,300.81304931640625,0.0,30,R_A2,2
3,300.9319152832031,0.06152495741844177,2018-01-01,22,1645.1993408203125,0,STANDARD,300.9319152832031,0.0,30,R_A2,3
4,301.0508117675781,0.06888175755739212,2018-01-01,22,1646.9720458984375,0,STANDARD,301.0508117675781,0.0,30,R_A2,4
5,301.169677734375,0.07276070863008499,2018-01-01,22,1648.744873046875,0,STANDARD,301.169677734375,0.0,30,R_A2,5
6,301.28857421875,0.18123100697994232,2018-01-01,22,1650.517578125,0,STANDARD,301.28857421875,0.0,30,R_A2,6
7,301.4074401855469,0.6481541991233826,2018-01-01,22,1652.290283203125,0,STANDARD,301.4074401855469,0.0,30,R_A2,7
8,301.5263366699219,0.8818033337593079,2018-01-01,22,1654.06298828125,0,STANDARD,301.5263366699219,0.0,30,R_A2,8
9,301.6452331542969,0.6481541991233826,2018-01-01,22,1655.835693359375,0,STANDARD,301.6452331542969,0.0,30,R_A2,9
10,301.7641296386719,0.9140690565109253,2018-01-01,22,1657.6085205078125,0,STANDARD,301.7641296386719,0.0,30,R_A2,10
11,301.888916015625,0.07879124581813812,2018-01-01,22,1659.4691162109375,0,STANDARD,301.888916015625,0.0,30,R_A2,11
12,302.0196228027344,0.08280301839113235,2018-01-01,22,1661.4176025390625,0,STANDARD,302.0196228027344,0.0,30,R_A2,12
13,302.15032958984375,0.4551936089992523,2018-01-01,22,1663.3660888671875,0,STANDARD,302.15032958984375,0.0,30,R_A2,13
14,302.281005859375,0.5153347849845886,2018-01-01,22,1665.3145751953125,0,STANDARD,302.281005859375,0.0,30,R_A2,14
15,302.25482177734375,0.5161242485046387,2018-01-01,22,1664.9241943359375,0,STANDARD,302.25482177734375,0.0,29,R_A2,14
16,302.393310546875,0.6956472396850586,2018-01-01,22,1666.9886474609375,0,STANDARD,302.393310546875,0.0,29,R_A2,15
17,302.53179931640625,0.9793663620948792,2018-01-01,22,1669.052978515625,0,STANDARD,302.53179931640625,0.0,29,R_A2,16
18,302.6702880859375,0.97110915184021,2018-01-01,22,1671.117431640625,0,STANDARD,302.6702880859375,0.0,29,R_A2,17
19,302.8062438964844,0.987913966178894,2018-01-01,22,1673.14404296875,0,STANDARD,302.8062438964844,0.0,29,R_A2,18
20,302.8916015625,1.0,2018-01-01,22,1674.416259765625,0,STANDARD,302.8916015625,0.0,29,R_A2,19
21,302.9707946777344,0.4794219136238098,2018-01-01,22,1675.5966796875,0,STANDARD,302.9707946777344,0.0,29,R_A2,26
22,303.1215515136719,1.0,2018-01-01,22,1677.40185546875,0,STANDARD,303.1215515136719,0.0,29,R_A2,27
23,303.5984191894531,1.0,2018-01-01,22,1679.2071533203125,0,STANDARD,303.5984191894531,0.0,29,R_A2,28
24,303.76947021484375,1.0,2018-01-01,22,1681.012451171875,0,STANDARD,303.76947021484375,0.0,29,R_A2,29
25,303.9405517578125,1.0,2018-01-01,22,1682.817626953125,0,STANDARD,303.9405517578125,0.0,29,R_A2,30
1,298.4852294921875,0.17831873893737793,2018-01-01,28,1608.701171875,0,STANDARD,298.4852294921875,0.0,41,R_A3,1
2,297.84161376953125,0.19460323452949524,2018-01-01,29,1599.09619140625,0,STANDARD,297.84161376953125,0.0,41,R_A3,1
3,297.987548828125,0.19242136180400848,2018-01-01,29,1601.2744140625,0,STANDARD,297.987548828125,0.0,41,R_A3,2
4,298.1335144042969,0.19343236088752747,2018-01-01,29,1603.4527587890625,0,STANDARD,298.1335144042969,0.0,41,R_A3,3
5,298.27947998046875,0.6481541991233826,2018-01-01,29,1605.6309814453125,0,STANDARD,298.27947998046875,0.0,41,R_A3,4
6,298.4254455566406,0.8201325535774231,2018-01-01,29,1607.8092041015625,0,STANDARD,298.4254455566406,0.0,41,R_A3,5
7,298.5714416503906,0.6481541991233826,2018-01-01,29,1609.9874267578125,0,STANDARD,298.5714416503906,0.0,41,R_A3,6
8,298.7174072265625,0.1984846144914627,2018-01-01,29,1612.1656494140625,0,STANDARD,298.7174072265625,0.0,41,R_A3,7
9,298.8634033203125,0.19939741492271423,2018-01-01,29,1614.3438720703125,0,STANDARD,298.8634033203125,0.0,41,R_A3,8
10,299.0093994140625,0.8046156764030457,2018-01-01,29,1616.5220947265625,0,STANDARD,299.0093994140625,0.0,41,R_A3,9
11,299.1553955078125,0.6481541991233826,2018-01-01,29,1618.700439453125,0,STANDARD,299.1553955078125,0.0,41,R_A3,10
12,299.3044738769531,0.048501983284950256,2018-01-01,29,1620.924560546875,0,STANDARD,299.3044738769531,0.0,41,R_A3,11
13,299.4566345214844,0.05552458390593529,2018-01-01,29,1623.1947021484375,0,STANDARD,299.4566345214844,0.0,41,R_A3,12
14,299.60882568359375,0.3703206479549408,2018-01-01,29,1625.46484375,0,STANDARD,299.60882568359375,0.0,41,R_A3,13
15,299.9131774902344,0.5022490620613098,2018-01-01,29,1630.0050048828125,0,STANDARD,299.9131774902344,0.0,41,R_A3,15
16,300.04949951171875,0.8101757168769836,2018-01-01,29,1632.038330078125,0,STANDARD,300.04949951171875,0.0,41,R_A3,16
17,300.23565673828125,0.6481541991233826,2018-01-01,29,1634.8150634765625,0,STANDARD,300.23565673828125,0.0,41,R_A3,26
18,300.4765319824219,0.04718289151787758,2018-01-01,29,1638.407958984375,0,STANDARD,300.4765319824219,0.0,41,R_A3,27
19,300.71746826171875,0.05336691439151764,2018-01-01,29,1642.0008544921875,0,STANDARD,300.71746826171875,0.0,41,R_A3,28
20,300.9583740234375,0.6481541991233826,2018-01-01,29,1645.59375,0,STANDARD,300.9583740234375,0.0,41,R_A3,29
21,301.1993103027344,0.06658653169870377,2018-01-01,29,1649.1866455078125,0,STANDARD,301.1993103027344,0.0,41,R_A3,30
1,299.9518127441406,0.08314608782529831,2018-01-01,30,1630.5810546875,0,STANDARD,299.9518127441406,0.0,52,R_A4,1
2,299.67608642578125,0.04847145825624466,2018-01-01,31,1626.468505859375,0,STANDARD,299.67608642578125,0.0,52,R_A4,1
3,299.8141174316406,0.05190004035830498,2018-01-01,31,1628.52734375,0,STANDARD,299.8141174316406,0.0,52,R_A4,2
4,299.9521484375,0.053705353289842606,2018-01-01,31,1630.586181640625,0,STANDARD,299.9521484375,0.0,52,R_A4,3
5,300.0901794433594,0.053524043411016464,2018-01-01,31,1632.6451416015625,0,STANDARD,300.0901794433594,0.0,52,R_A4,4
6,300.22821044921875,0.05593155696988106,2018-01-01,31,1634.7039794921875,0,STANDARD,300.22821044921875,0.0,52,R_A4,5
7,300.07470703125,0.05660989508032799,2018-01-01,32,1632.414306640625,0,STANDARD,300.07470703125,0.0,52,R_A4,5
8,300.27996826171875,0.05751742050051689,2018-01-01,32,1635.47607421875,0,STANDARD,300.27996826171875,0.0,51,R_A4,5
9,300.2438049316406,0.058138180524110794,2018-01-01,33,1634.9366455078125,0,STANDARD,300.2438049316406,0.0,51,R_A4,5
10,300.3685607910156,0.05788613483309746,2018-01-01,33,1636.7974853515625,0,STANDARD,300.3685607910156,0.0,51,R_A4,6
11,300.7059020996094,0.06515318900346756,2018-01-01,33,1641.82861328125,0,STANDARD,300.7059020996094,0.0,50,R_A4,6
12,300.5533447265625,0.0634155347943306,2018-01-01,34,1639.5533447265625,0,STANDARD,300.5533447265625,0.0,50,R_A4,6
13,300.5975646972656,0.06320555508136749,2018-01-01,35,1640.212646484375,0,STANDARD,300.5975646972656,0.0,50,R_A4,6
14,300.47601318359375,0.22935086488723755,2018-01-01,35,1638.4000244140625,0,STANDARD,300.47601318359375,0.0,50,R_A4,5
