DRAWDOWN,SWAT,CONIPOS,WELL,PRESSURE,CONIDX,DATE,CONBPRES,CONJPOS,DEPTH,SGAS,CONKPOS,WELLMODEL
0,0.053953904658555984,22,R_A2,300.5152893066406,1,2018-01-01,300.5152893066406,30,1639.0560302734375,0.0,1,STANDARD
0,0.056707561016082764,22,R_A2,300.6309814453125,2,2018-01-01,300.6309814453125,30,1640.7811279296875,0.0,2,STANDARD
0,0.06128033250570297,22,R_A2,300.74664306640625,3,2018-01-01,300.74664306640625,30,1642.506103515625,0.0,3,STANDARD
0,0.06478963792324066,22,R_A2,300.8623046875,4,2018-01-01,300.8623046875,30,1644.231201171875,0.0,4,STANDARD
0,0.06847299635410309,22,R_A2,300.9779968261719,5,2018-01-01,300.9779968261719,30,1645.956298828125,0.0,5,STANDARD
0,0.31084492802619934,22,R_A2,301.0936584472656,6,2018-01-01,301.0936584472656,30,1647.681396484375,0.0,6,STANDARD
0,0.8924223184585571,22,R_A2,301.2093505859375,7,2018-01-01,301.2093505859375,30,1649.406494140625,0.0,7,STANDARD
0,0.8711184859275818,22,R_A2,301.3250427246094,8,2018-01-01,301.3250427246094,30,1651.1314697265625,0.0,8,STANDARD
0,0.8914461135864258,22,R_A2,301.44073486328125,9,2018-01-01,301.44073486328125,30,1652.8565673828125,0.0,9,STANDARD
0,0.9063119888305664,22,R_A2,301.5564270019531,10,2018-01-01,301.5564270019531,30,1654.5816650390625,0.0,10,STANDARD
0,0.07441610097885132,22,R_A2,301.6797790527344,11,2018-01-01,301.6797790527344,30,1656.421142578125,0.0,11,STANDARD
0,0.192641019821167,22,R_A2,301.8108215332031,12,2018-01-01,301.8108215332031,30,1658.3748779296875,0.0,12,STANDARD
0,0.4397120773792267,22,R_A2,301.9418640136719,13,2018-01-01,301.9418640136719,30,1660.32861328125,0.0,13,STANDARD
0,0.49546700716018677,22,R_A2,302.07293701171875,14,2018-01-01,302.07293701171875,30,1662.282470703125,0.0,14,STANDARD
0,0.9300574064254761,22,R_A2,302.2039794921875,15,2018-01-01,302.2039794921875,30,1664.2362060546875,0.0,15,STANDARD
0,0.9874492287635803,22,R_A2,302.64404296875,16,2018-01-01,302.64404296875,29,1670.79638671875,0.0,15,STANDARD
0,0.9995987415313721,22,R_A2,302.7897644042969,17,2018-01-01,302.7897644042969,29,1672.9686279296875,0.0,16,STANDARD
0,0.9957185983657837,22,R_A2,302.9355163574219,18,2018-01-01,302.9355163574219,29,1675.140869140625,0.0,17,STANDARD
0,1.0,22,R_A2,303.22247314453125,19,2018-01-01,303.22247314453125,29,1676.80908203125,0.0,18,STANDARD
0,1.0,22,R_A2,303.50628662109375,20,2018-01-01,303.50628662109375,29,1678.235107421875,0.0,27,STANDARD
0,1.0,22,R_A2,303.6662292480469,21,2018-01-01,303.6662292480469,29,1679.9228515625,0.0,28,STANDARD
0,1.0,22,R_A2,303.826171875,22,2018-01-01,303.826171875,29,1681.610595703125,0.0,29,STANDARD
0,1.0,22,R_A2,303.986083984375,23,2018-01-01,303.986083984375,29,1683.29833984375,0.0,30,STANDARD
0,1.0,22,R_A2,304.1460266113281,24,2018-01-01,304.1460266113281,29,1684.986083984375,0.0,31,STANDARD
0,0.6481541991233826,28,R_A3,298.4399108886719,1,2018-01-01,298.4399108886719,41,1608.09521484375,0.0,1,STANDARD
0,0.6481541991233826,29,R_A3,297.8797912597656,2,2018-01-01,297.8797912597656,41,1599.736328125,0.0,1,STANDARD
0,0.19008325040340424,29,R_A3,298.0248107910156,3,2018-01-01,298.0248107910156,41,1601.900634765625,0.0,2,STANDARD
0,0.1858091503381729,29,R_A3,298.16986083984375,4,2018-01-01,298.16986083984375,41,1604.0650634765625,0.0,3,STANDARD
0,0.19901221990585327,29,R_A3,298.31488037109375,5,2018-01-01,298.31488037109375,41,1606.2294921875,0.0,4,STANDARD
0,0.6481541991233826,29,R_A3,298.4599304199219,6,2018-01-01,298.4599304199219,41,1608.3939208984375,0.0,5,STANDARD
0,0.17600242793560028,29,R_A3,298.60498046875,7,2018-01-01,298.60498046875,41,1610.558349609375,0.0,6,STANDARD
0,0.2001427859067917,29,R_A3,298.75006103515625,8,2018-01-01,298.75006103515625,41,1612.7227783203125,0.0,7,STANDARD
0,0.2010122537612915,29,R_A3,298.8951110839844,9,2018-01-01,298.8951110839844,41,1614.88720703125,0.0,8,STANDARD
0,0.8008659482002258,29,R_A3,299.0401916503906,10,2018-01-01,299.0401916503906,41,1617.0516357421875,0.0,9,STANDARD
0,0.8068281412124634,29,R_A3,299.18524169921875,11,2018-01-01,299.18524169921875,41,1619.216064453125,0.0,10,STANDARD
0,0.050580840557813644,29,R_A3,299.3344421386719,12,2018-01-01,299.3344421386719,41,1621.441650390625,0.0,11,STANDARD
0,0.056170251220464706,29,R_A3,299.48773193359375,13,2018-01-01,299.48773193359375,41,1623.728515625,0.0,12,STANDARD
0,0.369009405374527,29,R_A3,299.6410217285156,14,2018-01-01,299.6410217285156,41,1626.0152587890625,0.0,13,STANDARD
