CONBPRES,CONIPOS,WELLMODEL,DEPTH,CONJPOS,SWAT,DATE,PRESSURE,SGAS,DRAWDOWN,CONKPOS,CONIDX,WELL
300.94384765625,22,STANDARD,1643.1466064453125,30,0.05654168501496315,2018-01-01,300.94384765625,0.0,0,3,3,R_A2
301.0593566894531,22,STANDARD,1644.868896484375,30,0.061907168477773666,2018-01-01,301.0593566894531,0.0,0,4,4,R_A2
301.1748352050781,22,STANDARD,1646.591064453125,30,0.06469912827014923,2018-01-01,301.1748352050781,0.0,0,5,5,R_A2
301.29034423828125,22,STANDARD,1648.3133544921875,30,0.6481541991233826,2018-01-01,301.29034423828125,0.0,0,6,6,R_A2
301.4058532714844,22,STANDARD,1650.03564453125,30,0.6670923829078674,2018-01-01,301.4058532714844,0.0,0,7,7,R_A2
301.5213317871094,22,STANDARD,1651.7579345703125,30,0.6481541991233826,2018-01-01,301.5213317871094,0.0,0,8,8,R_A2
301.6368408203125,22,STANDARD,1653.480224609375,30,0.6481541991233826,2018-01-01,301.6368408203125,0.0,0,9,9,R_A2
301.75238037109375,22,STANDARD,1655.2025146484375,30,0.8952440023422241,2018-01-01,301.75238037109375,0.0,0,10,10,R_A2
301.87841796875,22,STANDARD,1657.081787109375,30,0.06519913673400879,2018-01-01,301.87841796875,0.0,0,11,11,R_A2
302.0150146484375,22,STANDARD,1659.1182861328125,30,0.06869594752788544,2018-01-01,302.0150146484375,0.0,0,12,12,R_A2
302.151611328125,22,STANDARD,1661.15478515625,30,0.42535853385925293,2018-01-01,302.151611328125,0.0,0,13,13,R_A2
302.2882080078125,22,STANDARD,1663.1912841796875,30,0.46665671467781067,2018-01-01,302.2882080078125,0.0,0,14,14,R_A2
302.4248352050781,22,STANDARD,1665.227783203125,30,0.8887273073196411,2018-01-01,302.4248352050781,0.0,0,15,15,R_A2
302.5614318847656,22,STANDARD,1667.26416015625,30,0.8849316239356995,2018-01-01,302.5614318847656,0.0,0,16,16,R_A2
302.8849792480469,22,STANDARD,1672.0869140625,29,0.9371165037155151,2018-01-01,302.8849792480469,0.0,0,16,17,R_A2
303.0302429199219,22,STANDARD,1674.251953125,29,0.9332777261734009,2018-01-01,303.0302429199219,0.0,0,17,18,R_A2
303.1441345214844,22,STANDARD,1675.9498291015625,29,0.9871643781661987,2018-01-01,303.1441345214844,0.0,0,18,19,R_A2
303.2454528808594,22,STANDARD,1677.4598388671875,29,0.7805441617965698,2018-01-01,303.2454528808594,0.0,0,27,20,R_A2
303.3651123046875,22,STANDARD,1679.243408203125,29,1.0,2018-01-01,303.3651123046875,0.0,0,28,21,R_A2
303.48480224609375,22,STANDARD,1681.027099609375,29,1.0,2018-01-01,303.48480224609375,0.0,0,29,22,R_A2
303.9399108886719,22,STANDARD,1682.810791015625,29,1.0,2018-01-01,303.9399108886719,0.0,0,30,23,R_A2
304.1089172363281,22,STANDARD,1684.5943603515625,29,1.0,2018-01-01,304.1089172363281,0.0,0,31,24,R_A2
298.560546875,28,STANDARD,1607.594482421875,41,0.6481541991233826,2018-01-01,298.560546875,0.0,0,1,1,R_A3
298.689697265625,28,STANDARD,1609.5216064453125,41,0.19219987094402313,2018-01-01,298.689697265625,0.0,0,2,2,R_A3
298.8188781738281,28,STANDARD,1611.4488525390625,41,0.19212058186531067,2018-01-01,298.8188781738281,0.0,0,3,3,R_A3
298.9480285644531,28,STANDARD,1613.3759765625,41,0.19775204360485077,2018-01-01,298.9480285644531,0.0,0,4,4,R_A3
