SGAS,DEPTH,CONIDX,CONJPOS,CONBPRES,CONKPOS,PRESSURE,WELL,CONIPOS,WELLMODEL,DATE,SWAT,DRAWDOWN
0.0,1640.088134765625,1,30,300.7362976074219,1,300.7362976074219,R_A2,22,STANDARD,2018-01-01,0.05312225967645645,0
0.0,1641.8936767578125,2,30,300.85736083984375,2,300.85736083984375,R_A2,22,STANDARD,2018-01-01,0.055581238120794296,0
0.0,1643.69921875,3,30,300.9784240722656,3,300.9784240722656,R_A2,22,STANDARD,2018-01-01,0.05762765556573868,0
0.0,1645.5047607421875,4,30,301.0995178222656,4,301.0995178222656,R_A2,22,STANDARD,2018-01-01,0.0769616886973381,0
0.0,1647.3104248046875,5,30,301.2205810546875,5,301.2205810546875,R_A2,22,STANDARD,2018-01-01,0.06550224125385284,0
0.0,1649.115966796875,6,30,301.3416748046875,6,301.3416748046875,R_A2,22,STANDARD,2018-01-01,0.30693820118904114,0
0.0,1650.9215087890625,7,30,301.4627685546875,7,301.4627685546875,R_A2,22,STANDARD,2018-01-01,0.8706623911857605,0
0.0,1652.72705078125,8,30,301.5838623046875,8,301.5838623046875,R_A2,22,STANDARD,2018-01-01,0.8541306257247925,0
0.0,1654.5325927734375,9,30,301.7049560546875,9,301.7049560546875,R_A2,22,STANDARD,2018-01-01,0.6481541991233826,0
0.0,1656.338134765625,10,30,301.8260498046875,10,301.8260498046875,R_A2,22,STANDARD,2018-01-01,0.1931726485490799,0
0.0,1658.3231201171875,11,30,301.9591979980469,11,301.9591979980469,R_A2,22,STANDARD,2018-01-01,0.06816896051168442,0
0.0,1660.4873046875,12,30,302.1043395996094,12,302.1043395996094,R_A2,22,STANDARD,2018-01-01,0.07289314270019531,0
0.0,1662.651611328125,13,30,302.2495422363281,13,302.2495422363281,R_A2,22,STANDARD,2018-01-01,0.4282698631286621,0
0.0,1664.81591796875,14,30,302.39471435546875,14,302.39471435546875,R_A2,22,STANDARD,2018-01-01,0.47272464632987976,0
0.0,1666.980224609375,15,30,302.5398864746094,15,302.5398864746094,R_A2,22,STANDARD,2018-01-01,0.9030162692070007,0
0.0,1669.14453125,16,30,302.6850891113281,16,302.6850891113281,R_A2,22,STANDARD,2018-01-01,0.9147047400474548,0
0.0,1671.308837890625,17,30,302.8302917480469,17,302.8302917480469,R_A2,22,STANDARD,2018-01-01,0.8886452913284302,0
0.0,1673.0816650390625,18,30,302.94921875,18,302.94921875,R_A2,22,STANDARD,2018-01-01,0.9498260617256165,0
0.0,1674.8118896484375,19,30,303.0653076171875,26,303.0653076171875,R_A2,22,STANDARD,2018-01-01,0.1860346645116806,0
0.0,1676.238037109375,20,29,303.1609802246094,26,303.1609802246094,R_A2,22,STANDARD,2018-01-01,0.31938257813453674,0
0.0,1678.1119384765625,21,29,303.2867126464844,27,303.2867126464844,R_A2,22,STANDARD,2018-01-01,1.0,0
0.0,1679.98583984375,22,29,303.4124450683594,28,303.4124450683594,R_A2,22,STANDARD,2018-01-01,0.6481541991233826,0
0.0,1681.8597412109375,23,29,303.84979248046875,29,303.84979248046875,R_A2,22,STANDARD,2018-01-01,1.0,0
0.0,1683.733642578125,24,29,304.02734375,30,304.02734375,R_A2,22,STANDARD,2018-01-01,1.0,0
0.0,1600.1014404296875,1,41,298.0559387207031,1,298.0559387207031,R_A3,29,STANDARD,2018-01-01,0.6481541991233826,0
0.0,1602.208251953125,2,41,298.1971130371094,2,298.1971130371094,R_A3,29,STANDARD,2018-01-01,0.11823459714651108,0
0.0,1604.315185546875,3,41,298.3382873535156,3,298.3382873535156,R_A3,29,STANDARD,2018-01-01,0.11823459714651108,0
0.0,1606.4219970703125,4,41,298.4794921875,4,298.4794921875,R_A3,29,STANDARD,2018-01-01,0.15719278156757355,0
0.0,1608.52880859375,5,41,298.6206970214844,5,298.6206970214844,R_A3,29,STANDARD,2018-01-01,0.22292682528495789,0
0.0,1610.6356201171875,6,41,298.7618713378906,6,298.7618713378906,R_A3,29,STANDARD,2018-01-01,0.2302975356578827,0
0.0,1612.742431640625,7,41,298.903076171875,7,298.903076171875,R_A3,29,STANDARD,2018-01-01,0.2288253903388977,0
0.0,1614.8492431640625,8,41,299.0442810058594,8,299.0442810058594,R_A3,29,STANDARD,2018-01-01,0.19491784274578094,0
0.0,1616.9561767578125,9,41,299.1855163574219,9,299.1855163574219,R_A3,29,STANDARD,2018-01-01,0.7948890924453735,0
0.0,1619.06298828125,10,41,299.32672119140625,10,299.32672119140625,R_A3,29,STANDARD,2018-01-01,0.7971246242523193,0
0.0,1621.281982421875,11,41,299.4754638671875,11,299.4754638671875,R_A3,29,STANDARD,2018-01-01,0.045344527810811996,0
0.0,1623.613037109375,12,41,299.6317138671875,12,299.6317138671875,R_A3,29,STANDARD,2018-01-01,0.054742567241191864,0
