Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:30
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       281010673.49         37976249.22         24958585.30         15697223.19
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  281010673.49         37976249.22         24958585.30         15697223.19
MidReek    1                       217141274.51         32278945.22         21672793.03         13630687.23
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  217141274.51         32278945.22         21672793.03         13630687.23
LowerReek  1                       127906626.86         20101033.77         14130822.46          8887309.56
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  127906626.86         20101033.77         14130822.46          8887309.56
Totals     1                       626058574.87         90356228.21         60762200.79         38215219.98
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  626058574.87         90356228.21         60762200.79         38215219.98
