CONKPOS,DEPTH,DRAWDOWN,CONIDX,WELLMODEL,CONIPOS,PRESSURE,WELL,CONJPOS,SWAT,CONBPRES,SGAS,DATE
1,1641.83935546875,0,1,STANDARD,22,300.6170349121094,R_A2,30,0.06209855526685715,300.6170349121094,0.0,2018-01-01
2,1643.6988525390625,0,2,STANDARD,22,300.74169921875,R_A2,30,0.06263027340173721,300.74169921875,0.0,2018-01-01
3,1645.5582275390625,0,3,STANDARD,22,300.86639404296875,R_A2,30,0.10537517070770264,300.86639404296875,0.0,2018-01-01
4,1647.4176025390625,0,4,STANDARD,22,300.9910888671875,R_A2,30,0.25868362188339233,300.9910888671875,0.0,2018-01-01
5,1649.277099609375,0,5,STANDARD,22,301.1157531738281,R_A2,30,0.07703511416912079,301.1157531738281,0.0,2018-01-01
6,1651.136474609375,0,6,STANDARD,22,301.2404479980469,R_A2,30,0.3307989239692688,301.2404479980469,0.0,2018-01-01
7,1652.9959716796875,0,7,STANDARD,22,301.36517333984375,R_A2,30,0.9205881357192993,301.36517333984375,0.0,2018-01-01
8,1654.8553466796875,0,8,STANDARD,22,301.4898681640625,R_A2,30,0.9185423254966736,301.4898681640625,0.0,2018-01-01
9,1656.7147216796875,0,9,STANDARD,22,301.61456298828125,R_A2,30,0.9279381632804871,301.61456298828125,0.0,2018-01-01
10,1658.5740966796875,0,10,STANDARD,22,301.7392578125,R_A2,30,0.9460362195968628,301.7392578125,0.0,2018-01-01
11,1660.5528564453125,0,11,STANDARD,22,301.8719787597656,R_A2,30,0.08954529464244843,301.8719787597656,0.0,2018-01-01
12,1662.6507568359375,0,12,STANDARD,22,302.0126953125,R_A2,30,0.09251025319099426,302.0126953125,0.0,2018-01-01
13,1664.7486572265625,0,13,STANDARD,22,302.1534118652344,R_A2,30,0.5383776426315308,302.1534118652344,0.0,2018-01-01
14,1666.8466796875,0,14,STANDARD,22,302.2941589355469,R_A2,30,0.608813464641571,302.2941589355469,0.0,2018-01-01
15,1668.944580078125,0,15,STANDARD,22,302.43487548828125,R_A2,30,0.8130784034729004,302.43487548828125,0.0,2018-01-01
16,1671.04248046875,0,16,STANDARD,22,302.57562255859375,R_A2,30,1.0,302.57562255859375,0.0,2018-01-01
17,1673.140380859375,0,17,STANDARD,22,302.7163391113281,R_A2,30,1.0,302.7163391113281,0.0,2018-01-01
18,1675.1793212890625,0,18,STANDARD,22,303.06805419921875,R_A2,30,1.0,303.06805419921875,0.0,2018-01-01
25,1677.1712646484375,0,19,STANDARD,22,303.4054870605469,R_A2,30,1.0,303.4054870605469,0.0,2018-01-01
26,1679.026123046875,0,20,STANDARD,22,303.5812683105469,R_A2,30,1.0,303.5812683105469,0.0,2018-01-01
27,1680.881103515625,0,21,STANDARD,22,303.7570495605469,R_A2,30,1.0,303.7570495605469,0.0,2018-01-01
28,1682.7359619140625,0,22,STANDARD,22,303.93280029296875,R_A2,30,1.0,303.93280029296875,0.0,2018-01-01
