PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID,REAL,ENSEMBLE
PERM,LowerReek,Dorne,Background,10.074055,,100.0,0.10257027,1.6669512,22.47119,12.521053,geogrid,geogrid,1,iter-0
PORO,LowerReek,Dorne,Background,0.099555984,,0.2566397,0.0,0.042677272,0.15671399,0.044200726,geogrid,geogrid,1,iter-0
SW,LowerReek,Dorne,Background,1.0,,1.0,1.0,1.0,1.0,0.0,geogrid,geogrid,1,iter-0
PERM,LowerReek,Dorne,Channel,3485.2722,,10000.0,47.964928,517.0521,10000.0,3125.0977,geogrid,geogrid,1,iter-0
PORO,LowerReek,Dorne,Channel,0.25820383,,0.43152532,0.09491758,0.19191796,0.3233539,0.051329393,geogrid,geogrid,1,iter-0
SW,LowerReek,Dorne,Channel,0.9848133,,1.0,0.11998084,1.0,1.0,0.10037188,geogrid,geogrid,1,iter-0
PERM,LowerReek,Dorne,Crevasse,176.6766,,1000.0,1.9058388,22.619915,441.59546,212.2451,geogrid,geogrid,1,iter-0
PORO,LowerReek,Dorne,Crevasse,0.1991572,,0.4111897,0.009432435,0.13629565,0.26380873,0.050287828,geogrid,geogrid,1,iter-0
SW,LowerReek,Dorne,Crevasse,0.98944724,,1.0,0.22947706,1.0,1.0,0.07888678,geogrid,geogrid,1,iter-0
PERM,LowerReek,IronIslands,Background,9.435251,,100.0,0.043435086,1.255981,21.801691,12.596726,geogrid,geogrid,1,iter-0
PORO,LowerReek,IronIslands,Background,0.09896898,,0.25498763,0.0,0.040725507,0.15726176,0.044568434,geogrid,geogrid,1,iter-0
SW,LowerReek,IronIslands,Background,0.66576004,,1.0,0.0,0.26120192,1.0,0.32480776,geogrid,geogrid,1,iter-0
PERM,LowerReek,IronIslands,Channel,3136.4712,,10000.0,28.656233,414.5171,9379.898,3044.0266,geogrid,geogrid,1,iter-0
PORO,LowerReek,IronIslands,Channel,0.24901153,,0.44369462,0.08915077,0.18141043,0.31469747,0.051825278,geogrid,geogrid,1,iter-0
SW,LowerReek,IronIslands,Channel,0.43748835,,1.0,0.018770851,0.034478758,1.0,0.44457996,geogrid,geogrid,1,iter-0
PERM,LowerReek,IronIslands,Crevasse,208.1909,,1000.0,1.8027878,26.578812,533.85596,237.8811,geogrid,geogrid,1,iter-0
PORO,LowerReek,IronIslands,Crevasse,0.20935106,,0.3851552,0.0034348816,0.14317511,0.2756938,0.05190585,geogrid,geogrid,1,iter-0
SW,LowerReek,IronIslands,Crevasse,0.5161731,,1.0,0.047005404,0.087517686,1.0,0.41240367,geogrid,geogrid,1,iter-0
PERM,LowerReek,North,Background,10.124074,,100.0,0.11406697,1.2928649,23.50385,13.54708,geogrid,geogrid,1,iter-0
PORO,LowerReek,North,Background,0.09331901,,0.28380388,0.0,0.03042652,0.15395309,0.046617843,geogrid,geogrid,1,iter-0
SW,LowerReek,North,Background,0.99247533,,1.0,0.0,1.0,1.0,0.06609043,geogrid,geogrid,1,iter-0
PERM,LowerReek,North,Channel,2870.3752,,10000.0,27.737886,386.0,7875.337,2851.6729,geogrid,geogrid,1,iter-0
PORO,LowerReek,North,Channel,0.24578932,,0.43154716,0.06088598,0.18015265,0.3115121,0.051139604,geogrid,geogrid,1,iter-0
SW,LowerReek,North,Channel,0.9972314,,1.0,0.04225753,1.0,1.0,0.05012235,geogrid,geogrid,1,iter-0
