CONJPOS,PRESSURE,WELLMODEL,DATE,CONKPOS,CONIDX,WELL,DEPTH,CONBPRES,SWAT,SGAS,DRAWDOWN,CONIPOS
30,300.40655517578125,STANDARD,2018-01-01,1,1,R_A2,1638.95166015625,300.40655517578125,0.05901682376861572,0.0,0,22
30,300.51812744140625,STANDARD,2018-01-01,2,2,R_A2,1640.615966796875,300.51812744140625,0.060820069164037704,0.0,0,22
30,300.6297302246094,STANDARD,2018-01-01,3,3,R_A2,1642.2802734375,300.6297302246094,0.06364141404628754,0.0,0,22
30,300.7413024902344,STANDARD,2018-01-01,4,4,R_A2,1643.944580078125,300.7413024902344,0.0696687400341034,0.0,0,22
30,300.8529052734375,STANDARD,2018-01-01,5,5,R_A2,1645.60888671875,300.8529052734375,0.07359907031059265,0.0,0,22
30,300.9645080566406,STANDARD,2018-01-01,6,6,R_A2,1647.2730712890625,300.9645080566406,0.31004273891448975,0.0,0,22
30,301.07611083984375,STANDARD,2018-01-01,7,7,R_A2,1648.9373779296875,301.07611083984375,0.902177631855011,0.0,0,22
30,301.1877136230469,STANDARD,2018-01-01,8,8,R_A2,1650.6015625,301.1877136230469,0.6481541991233826,0.0,0,22
30,301.29931640625,STANDARD,2018-01-01,9,9,R_A2,1652.265869140625,301.29931640625,0.6481541991233826,0.0,0,22
30,301.41094970703125,STANDARD,2018-01-01,10,10,R_A2,1653.93017578125,301.41094970703125,0.9181113839149475,0.0,0,22
30,301.5324401855469,STANDARD,2018-01-01,11,11,R_A2,1655.74169921875,301.5324401855469,0.08527803421020508,0.0,0,22
30,301.7951965332031,STANDARD,2018-01-01,13,12,R_A2,1659.65966796875,301.7951965332031,0.46765023469924927,0.0,0,22
30,301.9266052246094,STANDARD,2018-01-01,14,13,R_A2,1661.61865234375,301.9266052246094,0.5255911350250244,0.0,0,22
30,302.0579833984375,STANDARD,2018-01-01,15,14,R_A2,1663.5775146484375,302.0579833984375,0.6973340511322021,0.0,0,22
29,302.436279296875,STANDARD,2018-01-01,15,15,R_A2,1669.217041015625,302.436279296875,1.0,0.0,0,22
29,302.5760498046875,STANDARD,2018-01-01,16,16,R_A2,1671.3006591796875,302.5760498046875,1.0,0.0,0,22
29,302.89794921875,STANDARD,2018-01-01,17,17,R_A2,1673.3843994140625,302.89794921875,1.0,0.0,0,22
29,303.0807189941406,STANDARD,2018-01-01,18,18,R_A2,1675.31298828125,303.0807189941406,1.0,0.0,0,22
29,303.4038391113281,STANDARD,2018-01-01,27,19,R_A2,1677.15380859375,303.4038391113281,1.0,0.0,0,22
29,303.5716552734375,STANDARD,2018-01-01,28,20,R_A2,1678.9246826171875,303.5716552734375,1.0,0.0,0,22
29,303.73944091796875,STANDARD,2018-01-01,29,21,R_A2,1680.695556640625,303.73944091796875,1.0,0.0,0,22
29,303.9072570800781,STANDARD,2018-01-01,30,22,R_A2,1682.46630859375,303.9072570800781,1.0,0.0,0,22
29,304.0750732421875,STANDARD,2018-01-01,31,23,R_A2,1684.2371826171875,304.0750732421875,1.0,0.0,0,22
41,298.4029541015625,STANDARD,2018-01-01,1,1,R_A3,1609.0611572265625,298.4029541015625,0.6481541991233826,0.0,0,28
41,298.5380859375,STANDARD,2018-01-01,2,2,R_A3,1611.07763671875,298.5380859375,0.20097596943378448,0.0,0,28
41,298.6732177734375,STANDARD,2018-01-01,3,3,R_A3,1613.0941162109375,298.6732177734375,0.19912953674793243,0.0,0,28
41,298.8083801269531,STANDARD,2018-01-01,4,4,R_A3,1615.110595703125,298.8083801269531,0.16352605819702148,0.0,0,28
41,298.9435119628906,STANDARD,2018-01-01,5,5,R_A3,1617.127197265625,298.9435119628906,0.13374391198158264,0.0,0,28
41,298.49676513671875,STANDARD,2018-01-01,5,6,R_A3,1610.461181640625,298.49676513671875,0.23909419775009155,0.0,0,29
41,298.6220703125,STANDARD,2018-01-01,6,7,R_A3,1612.3309326171875,298.6220703125,0.24180562794208527,0.0,0,29
41,298.74737548828125,STANDARD,2018-01-01,7,8,R_A3,1614.20068359375,298.74737548828125,0.20490631461143494,0.0,0,29
41,298.8727111816406,STANDARD,2018-01-01,8,9,R_A3,1616.070556640625,298.8727111816406,0.20624752342700958,0.0,0,29
41,298.9980163574219,STANDARD,2018-01-01,9,10,R_A3,1617.9404296875,298.9980163574219,0.8105185627937317,0.0,0,29
41,299.12335205078125,STANDARD,2018-01-01,10,11,R_A3,1619.810302734375,299.12335205078125,0.8075119853019714,0.0,0,29
41,299.2572937011719,STANDARD,2018-01-01,11,12,R_A3,1621.8087158203125,299.2572937011719,0.05212213471531868,0.0,0,29
41,299.3998718261719,STANDARD,2018-01-01,12,13,R_A3,1623.935546875,299.3998718261719,0.05845161899924278,0.0,0,29
41,299.54241943359375,STANDARD,2018-01-01,13,14,R_A3,1626.0623779296875,299.54241943359375,0.37376704812049866,0.0,0,29
41,299.82757568359375,STANDARD,2018-01-01,15,15,R_A3,1630.3160400390625,299.82757568359375,0.5155991315841675,0.0,0,29
41,299.9444274902344,STANDARD,2018-01-01,16,16,R_A3,1632.058837890625,299.9444274902344,0.8209041953086853,0.0,0,29
41,300.118896484375,STANDARD,2018-01-01,27,17,R_A3,1634.661376953125,300.118896484375,1.0,0.0,0,29
41,300.35015869140625,STANDARD,2018-01-01,28,18,R_A3,1638.11083984375,300.35015869140625,0.12817606329917908,0.0,0,29
41,300.5814208984375,STANDARD,2018-01-01,29,19,R_A3,1641.5601806640625,300.5814208984375,0.0563034825026989,0.0,0,29
41,300.8127136230469,STANDARD,2018-01-01,30,20,R_A3,1645.009521484375,300.8127136230469,0.2482399046421051,0.0,0,29
41,301.0440368652344,STANDARD,2018-01-01,31,21,R_A3,1648.458984375,301.0440368652344,0.06788928061723709,0.0,0,29
52,299.756591796875,STANDARD,2018-01-01,1,1,R_A4,1629.2569580078125,299.756591796875,0.05443626269698143,0.0,0,30
52,299.4491882324219,STANDARD,2018-01-01,1,2,R_A4,1624.6715087890625,299.4491882324219,0.04870378598570824,0.0,0,31
52,299.58837890625,STANDARD,2018-01-01,2,3,R_A4,1626.7479248046875,299.58837890625,0.05234798789024353,0.0,0,31
52,299.7275695800781,STANDARD,2018-01-01,3,4,R_A4,1628.8243408203125,299.7275695800781,0.05326702445745468,0.0,0,31
52,299.86676025390625,STANDARD,2018-01-01,4,5,R_A4,1630.9007568359375,299.86676025390625,0.05625975504517555,0.0,0,31
52,300.0059814453125,STANDARD,2018-01-01,5,6,R_A4,1632.9771728515625,300.0059814453125,0.057852670550346375,0.0,0,31
52,300.1451721191406,STANDARD,2018-01-01,6,7,R_A4,1635.0535888671875,300.1451721191406,0.05916145071387291,0.0,0,31
52,300.01708984375,STANDARD,2018-01-01,6,8,R_A4,1633.14306640625,300.01708984375,0.05760153755545616,0.0,0,32
51,300.3657531738281,STANDARD,2018-01-01,6,9,R_A4,1638.3433837890625,300.3657531738281,0.06027607619762421,0.0,0,32
51,300.2470703125,STANDARD,2018-01-01,5,10,R_A4,1636.572998046875,300.2470703125,0.06244507059454918,0.0,0,32
51,300.12835693359375,STANDARD,2018-01-01,4,11,R_A4,1634.802734375,300.12835693359375,0.060583800077438354,0.0,0,32
51,300.3070068359375,STANDARD,2018-01-01,4,12,R_A4,1637.467041015625,300.3070068359375,0.06286879628896713,0.0,0,33
51,300.18634033203125,STANDARD,2018-01-01,3,13,R_A4,1635.667236328125,300.18634033203125,0.06180158630013466,0.0,0,33
50,300.7760314941406,STANDARD,2018-01-01,3,14,R_A4,1644.46240234375,300.7760314941406,0.0740009993314743,0.0,0,33
50,300.5876159667969,STANDARD,2018-01-01,3,15,R_A4,1641.6522216796875,300.5876159667969,0.07057024538516998,0.0,0,34
50,300.4615783691406,STANDARD,2018-01-01,2,16,R_A4,1639.7724609375,300.4615783691406,0.15109021961688995,0.0,0,34
50,300.32196044921875,STANDARD,2018-01-01,2,17,R_A4,1637.6904296875,300.32196044921875,0.14344826340675354,0.0,0,35
49,300.791259765625,STANDARD,2018-01-01,2,18,R_A4,1644.6893310546875,300.791259765625,0.14584723114967346,0.0,0,35
49,300.666748046875,STANDARD,2018-01-01,1,19,R_A4,1642.832275390625,300.666748046875,0.24545155465602875,0.0,0,35
49,300.6993408203125,STANDARD,2018-01-01,30,20,R_A4,1643.31884765625,300.6993408203125,0.06118728592991829,0.0,0,36
48,300.3980407714844,STANDARD,2018-01-01,30,21,R_A4,1638.824951171875,300.3980407714844,0.1476096212863922,0.0,0,36
48,300.8016052246094,STANDARD,2018-01-01,30,22,R_A4,1644.84375,300.8016052246094,0.19090715050697327,0.0,0,37
48,301.2412109375,STANDARD,2018-01-01,30,23,R_A4,1651.399169921875,301.2412109375,0.3247334957122803,0.0,0,38
47,301.1950378417969,STANDARD,2018-01-01,30,24,R_A4,1650.7105712890625,301.1950378417969,0.30192312598228455,0.0,0,38
20,303.6178894042969,STANDARD,2018-01-01,1,1,R_A5,1682.639404296875,303.6178894042969,1.0,0.0,0,31
20,303.8284912109375,STANDARD,2018-01-01,2,2,R_A5,1684.86181640625,303.8284912109375,1.0,0.0,0,31
20,304.0390625,STANDARD,2018-01-01,3,3,R_A5,1687.084228515625,304.0390625,1.0,0.0,0,31
20,304.24969482421875,STANDARD,2018-01-01,4,4,R_A5,1689.306640625,304.24969482421875,1.0,0.0,0,31
20,304.4602966308594,STANDARD,2018-01-01,5,5,R_A5,1691.529052734375,304.4602966308594,1.0,0.0,0,31
20,304.6708984375,STANDARD,2018-01-01,6,6,R_A5,1693.75146484375,304.6708984375,1.0,0.0,0,31
20,305.1872863769531,STANDARD,2018-01-01,7,7,R_A5,1695.973876953125,305.1872863769531,1.0,0.0,0,31
20,305.7077941894531,STANDARD,2018-01-01,11,8,R_A5,1704.6917724609375,305.7077941894531,1.0,0.0,0,31
20,305.8858642578125,STANDARD,2018-01-01,12,9,R_A5,1706.5706787109375,305.8858642578125,1.0,0.0,0,31
21,305.6943664550781,STANDARD,2018-01-01,12,10,R_A5,1704.5498046875,305.6943664550781,1.0,0.0,0,31
21,305.8864440917969,STANDARD,2018-01-01,13,11,R_A5,1706.4505615234375,305.8864440917969,1.0,0.0,0,31
21,306.06658935546875,STANDARD,2018-01-01,14,12,R_A5,1708.3511962890625,306.06658935546875,1.0,0.0,0,31
21,306.2467041015625,STANDARD,2018-01-01,15,13,R_A5,1710.251953125,306.2467041015625,1.0,0.0,0,31
21,306.4268493652344,STANDARD,2018-01-01,16,14,R_A5,1712.152587890625,306.4268493652344,1.0,0.0,0,31
21,306.7519836425781,STANDARD,2018-01-01,17,15,R_A5,1714.0533447265625,306.7519836425781,1.0,0.0,0,31
21,306.9316711425781,STANDARD,2018-01-01,18,16,R_A5,1715.9490966796875,306.9316711425781,1.0,0.0,0,31
21,307.0560607910156,STANDARD,2018-01-01,19,17,R_A5,1717.26171875,307.0560607910156,1.0,0.0,0,31
21,307.05145263671875,STANDARD,2018-01-01,27,18,R_A5,1718.87060546875,307.05145263671875,1.0,0.0,0,31
21,307.27044677734375,STANDARD,2018-01-01,28,19,R_A5,1721.1812744140625,307.27044677734375,1.0,0.0,0,31
21,307.79522705078125,STANDARD,2018-01-01,29,20,R_A5,1723.491943359375,307.79522705078125,1.0,0.0,0,31
21,308.01422119140625,STANDARD,2018-01-01,30,21,R_A5,1725.802490234375,308.01422119140625,1.0,0.0,0,31
21,308.23321533203125,STANDARD,2018-01-01,31,22,R_A5,1728.1131591796875,308.23321533203125,1.0,0.0,0,31
42,304.8511962890625,STANDARD,2018-01-01,1,1,R_A6,1695.654052734375,304.8511962890625,1.0,0.0,0,17
