PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
PERM,LowerReek,Dorne,Background,9.51904,,100.0,0.05584836,1.1453552,21.977957,12.932685,geogrid,geogrid
PORO,LowerReek,Dorne,Background,0.09338283,,0.2693066,0.0,0.03243524,0.15201767,0.045296296,geogrid,geogrid
SW,LowerReek,Dorne,Background,0.9968587,,1.0,0.5355906,1.0,1.0,0.027096324,geogrid,geogrid
PERM,LowerReek,Dorne,Channel,2989.2346,,10000.0,14.362041,456.756,7944.158,2830.0479,geogrid,geogrid
PORO,LowerReek,Dorne,Channel,0.24721275,,0.4129659,0.021306738,0.18457548,0.30894616,0.04863388,geogrid,geogrid
SW,LowerReek,Dorne,Channel,0.9728144,,1.0,0.06058962,1.0,1.0,0.14445022,geogrid,geogrid
PERM,LowerReek,Dorne,Crevasse,195.07082,,1000.0,2.6608753,22.564407,487.03027,228.17422,geogrid,geogrid
PORO,LowerReek,Dorne,Crevasse,0.20400116,,0.3872657,0.045187354,0.13423039,0.2714778,0.05227155,geogrid,geogrid
SW,LowerReek,Dorne,Crevasse,0.9848995,,1.0,0.19620071,1.0,1.0,0.095675915,geogrid,geogrid
PERM,LowerReek,IronIslands,Background,8.399595,,100.0,0.12874356,1.1371577,19.34307,11.858791,geogrid,geogrid
PORO,LowerReek,IronIslands,Background,0.09195672,,0.24709678,0.0,0.03172005,0.15083715,0.044990532,geogrid,geogrid
SW,LowerReek,IronIslands,Background,0.7239097,,1.0,0.0,0.27793995,1.0,0.31184155,geogrid,geogrid
PERM,LowerReek,IronIslands,Channel,3298.891,,10000.0,5.3104386,501.96664,9245.272,3014.2717,geogrid,geogrid
PORO,LowerReek,IronIslands,Channel,0.25144008,,0.4116769,0.023748636,0.18972187,0.31525514,0.048984982,geogrid,geogrid
SW,LowerReek,IronIslands,Channel,0.33838183,,1.0,0.019238956,0.03155013,1.0,0.4247259,geogrid,geogrid
PERM,LowerReek,IronIslands,Crevasse,183.95769,,1000.0,2.1258147,24.635754,448.79745,210.78941,geogrid,geogrid
PORO,LowerReek,IronIslands,Crevasse,0.20477195,,0.36394274,0.03421542,0.14221051,0.26435584,0.047849134,geogrid,geogrid
SW,LowerReek,IronIslands,Crevasse,0.47553885,,1.0,0.043476604,0.0923878,1.0,0.40896776,geogrid,geogrid
PERM,LowerReek,North,Background,11.313648,,100.0,0.09233043,1.2834018,26.997215,14.570394,geogrid,geogrid
PORO,LowerReek,North,Background,0.09870674,,0.2759127,0.0,0.035890058,0.15956496,0.046825677,geogrid,geogrid
SW,LowerReek,North,Background,0.99627346,,1.0,0.19576834,1.0,1.0,0.04630576,geogrid,geogrid
