ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,5910662,823086,486319,339135,47750142,0,0,0,0,0
Valysar,CentralSouth,50842488,10008515,7825380,5457029,768349753,0,0,0,0,0
Valysar,CentralNorth,32587055,4994286,3369918,2350013,330881826,0,0,0,0,0
Valysar,NorthHorst,4705469,517045,201891,124012,24293901,25057481,2656784,1459562,339432935,51933
Valysar,CentralRamp,12723423,2393340,1765110,1230900,173310660,0,0,0,0,0
Valysar,CentralHorst,81054091,13207459,10018376,6986315,983673198,0,0,0,0,0
Valysar,EastLowland,2166998,359421,200266,139656,19663501,0,0,0,0,0
Therys,WestLowland,2823052,534480,275545,192152,27054938,0,0,0,0,0
Therys,CentralSouth,14653843,2754241,1591395,1109760,156254172,0,0,0,0,0
Therys,CentralNorth,12970630,2830218,1651279,1151519,162133938,0,0,0,0,0
Therys,NorthHorst,11233669,1577592,604183,371120,72702372,13045376,2529423,1689926,393006006,60130
Therys,CentralRamp,6356845,1397830,1038178,723974,101935506,0,0,0,0,0
Therys,CentralHorst,26133740,6704282,5295731,3692979,519971408,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,336877,53020,29282,20420,2875139,0,0,0,0,0
Volon,CentralSouth,28201575,5165761,3965627,2765430,389372566,0,0,0,0,0
Volon,CentralNorth,3418829,425046,186180,129833,18280450,0,0,0,0,0
Volon,NorthHorst,6437323,1118970,802332,492833,96545989,723992,120093,96147,22359741,3421
Volon,CentralRamp,8044367,1383061,992423,692066,97442941,0,0,0,0,0
Volon,CentralHorst,74925870,12572875,9365472,6531013,919566641,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
