WELL,PRESSURE,CONIPOS,DEPTH,CONKPOS,SWAT,DATE,DRAWDOWN,CONIDX,WELLMODEL,SGAS,CONJPOS,CONBPRES
R_A2,300.72857666015625,22,1640.7646484375,1,0.053240641951560974,2018-01-01,0,1,STANDARD,0.0,30,300.72857666015625
R_A2,300.844482421875,22,1642.493408203125,2,0.05647529661655426,2018-01-01,0,2,STANDARD,0.0,30,300.844482421875
R_A2,300.9604187011719,22,1644.2222900390625,3,0.08872100710868835,2018-01-01,0,3,STANDARD,0.0,30,300.9604187011719
R_A2,301.07635498046875,22,1645.951171875,4,0.14176024496555328,2018-01-01,0,4,STANDARD,0.0,30,301.07635498046875
R_A2,301.1922912597656,22,1647.68017578125,5,0.06599796563386917,2018-01-01,0,5,STANDARD,0.0,30,301.1922912597656
R_A2,301.3082580566406,22,1649.408935546875,6,0.30993008613586426,2018-01-01,0,6,STANDARD,0.0,30,301.3082580566406
R_A2,301.4241943359375,22,1651.1378173828125,7,0.6481541991233826,2018-01-01,0,7,STANDARD,0.0,30,301.4241943359375
R_A2,301.5401306152344,22,1652.8668212890625,8,0.6576650142669678,2018-01-01,0,8,STANDARD,0.0,30,301.5401306152344
R_A2,301.6560974121094,22,1654.5955810546875,9,0.8820850253105164,2018-01-01,0,9,STANDARD,0.0,30,301.6560974121094
R_A2,301.77203369140625,22,1656.324462890625,10,0.8905713558197021,2018-01-01,0,10,STANDARD,0.0,30,301.77203369140625
R_A2,301.897216796875,22,1658.19091796875,11,0.06873083114624023,2018-01-01,0,11,STANDARD,0.0,30,301.897216796875
R_A2,302.0316467285156,22,1660.19482421875,12,0.4080314636230469,2018-01-01,0,12,STANDARD,0.0,30,302.0316467285156
R_A2,302.1660461425781,22,1662.1988525390625,13,0.43914899230003357,2018-01-01,0,13,STANDARD,0.0,30,302.1660461425781
R_A2,302.30047607421875,22,1664.2027587890625,14,0.47914114594459534,2018-01-01,0,14,STANDARD,0.0,30,302.30047607421875
R_A2,302.4349060058594,22,1666.2066650390625,15,0.9245932698249817,2018-01-01,0,15,STANDARD,0.0,30,302.4349060058594
R_A2,302.5693359375,22,1668.210693359375,16,0.9230369925498962,2018-01-01,0,16,STANDARD,0.0,30,302.5693359375
R_A2,302.7037658691406,22,1670.214599609375,17,0.8952081203460693,2018-01-01,0,17,STANDARD,0.0,30,302.7037658691406
R_A2,303.2200927734375,22,1677.91064453125,17,0.9924963712692261,2018-01-01,0,18,STANDARD,0.0,29,303.2200927734375
R_A2,303.32379150390625,22,1679.4559326171875,18,1.0,2018-01-01,0,19,STANDARD,0.0,29,303.32379150390625
R_A2,303.7465515136719,22,1680.7703857421875,25,1.0,2018-01-01,0,20,STANDARD,0.0,29,303.7465515136719
R_A2,303.9013671875,22,1682.4041748046875,26,1.0,2018-01-01,0,21,STANDARD,0.0,29,303.9013671875
R_A2,304.0561828613281,22,1684.037841796875,27,1.0,2018-01-01,0,22,STANDARD,0.0,29,304.0561828613281
R_A2,304.21099853515625,22,1685.6715087890625,28,1.0,2018-01-01,0,23,STANDARD,0.0,29,304.21099853515625
R_A2,304.3658142089844,22,1687.305419921875,29,1.0,2018-01-01,0,24,STANDARD,0.0,29,304.3658142089844
R_A3,298.83599853515625,28,1612.532958984375,1,0.6481541991233826,2018-01-01,0,1,STANDARD,0.0,41,298.83599853515625
