ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,5085518,808585,469647,327508,46113185
Valysar,CentralSouth,68089904,12867573,9917424,6915916,973761042
Valysar,CentralNorth,39270683,6631892,4988819,3478954,489836688
Valysar,NorthHorst,5061417,674855,326470,200535,39284731
Valysar,CentralRamp,13693427,2148343,1473176,1027319,144646552
Valysar,CentralHorst,88016211,13908358,10534472,7346215,1034347121
Valysar,EastLowland,2337044,333562,215746,150450,21183409
Therys,WestLowland,2178166,417952,217780,151869,21383110
Therys,CentralSouth,11944860,2912710,1850401,1290377,181685109
Therys,CentralNorth,21699224,4087734,2430349,1694804,238628440
Therys,NorthHorst,7771348,1025013,421016,258610,50661626
Therys,CentralRamp,6499775,1490755,1151676,803122,113079514
Therys,CentralHorst,30876450,7505138,5779991,4030677,567519390
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,249761,42268,24344,16976,2390258
Volon,CentralSouth,32940009,5784594,4161203,2901815,408575602
Volon,CentralNorth,7556439,943627,395002,275455,38784029
Volon,NorthHorst,6014955,1062802,795649,488728,95741828
Volon,CentralRamp,12478011,2268536,1761346,1228275,172941142
Volon,CentralHorst,83123483,14444151,11254011,7847985,1104996359
Volon,EastLowland,0,0,0,0,0
