CONBPRES,WELLMODEL,CONIPOS,SWAT,DRAWDOWN,CONJPOS,CONKPOS,DATE,DEPTH,WELL,CONIDX,PRESSURE,SGAS
300.6733093261719,STANDARD,22,0.10821601003408432,0,30,1,2018-01-01,1641.094970703125,R_A2,1,300.6733093261719,0.0
300.7936096191406,STANDARD,22,0.11058630049228668,0,30,2,2018-01-01,1642.8890380859375,R_A2,2,300.7936096191406,0.0
300.9139099121094,STANDARD,22,0.07774579524993896,0,30,3,2018-01-01,1644.68310546875,R_A2,3,300.9139099121094,0.0
301.0342102050781,STANDARD,22,0.06678543984889984,0,30,4,2018-01-01,1646.4771728515625,R_A2,4,301.0342102050781,0.0
301.1545104980469,STANDARD,22,0.07244458049535751,0,30,5,2018-01-01,1648.2713623046875,R_A2,5,301.1545104980469,0.0
301.27484130859375,STANDARD,22,0.1185254231095314,0,30,6,2018-01-01,1650.0654296875,R_A2,6,301.27484130859375,0.0
301.3951721191406,STANDARD,22,0.6481541991233826,0,30,7,2018-01-01,1651.859619140625,R_A2,7,301.3951721191406,0.0
301.5154724121094,STANDARD,22,0.6481541991233826,0,30,8,2018-01-01,1653.6536865234375,R_A2,8,301.5154724121094,0.0
301.63580322265625,STANDARD,22,0.1735297441482544,0,30,9,2018-01-01,1655.44775390625,R_A2,9,301.63580322265625,0.0
301.7561340332031,STANDARD,22,0.32667964696884155,0,30,10,2018-01-01,1657.2418212890625,R_A2,10,301.7561340332031,0.0
301.88323974609375,STANDARD,22,0.07769951224327087,0,30,11,2018-01-01,1659.1368408203125,R_A2,11,301.88323974609375,0.0
302.01708984375,STANDARD,22,0.07633190602064133,0,30,12,2018-01-01,1661.132568359375,R_A2,12,302.01708984375,0.0
302.1509704589844,STANDARD,22,0.4555773138999939,0,30,13,2018-01-01,1663.12841796875,R_A2,13,302.1509704589844,0.0
302.28485107421875,STANDARD,22,0.49689048528671265,0,30,14,2018-01-01,1665.1241455078125,R_A2,14,302.28485107421875,0.0
302.4187316894531,STANDARD,22,0.697963297367096,0,30,15,2018-01-01,1667.1199951171875,R_A2,15,302.4187316894531,0.0
302.5526123046875,STANDARD,22,0.9702016711235046,0,30,16,2018-01-01,1669.11572265625,R_A2,16,302.5526123046875,0.0
302.6864929199219,STANDARD,22,0.9523286819458008,0,30,17,2018-01-01,1671.111572265625,R_A2,17,302.6864929199219,0.0
302.8123779296875,STANDARD,22,0.9832528829574585,0,30,18,2018-01-01,1672.9881591796875,R_A2,18,302.8123779296875,0.0
302.89569091796875,STANDARD,22,0.9928692579269409,0,29,18,2018-01-01,1674.229736328125,R_A2,19,302.89569091796875,0.0
303.02569580078125,STANDARD,22,0.6481541991233826,0,29,27,2018-01-01,1676.1676025390625,R_A2,20,303.02569580078125,0.0
303.47802734375,STANDARD,22,1.0,0,29,28,2018-01-01,1677.9368896484375,R_A2,21,303.47802734375,0.0
303.64569091796875,STANDARD,22,1.0,0,29,29,2018-01-01,1679.7061767578125,R_A2,22,303.64569091796875,0.0
303.8133544921875,STANDARD,22,1.0,0,29,30,2018-01-01,1681.4754638671875,R_A2,23,303.8133544921875,0.0
303.98101806640625,STANDARD,22,1.0,0,29,31,2018-01-01,1683.2447509765625,R_A2,24,303.98101806640625,0.0
298.53814697265625,STANDARD,28,0.1351146101951599,0,41,1,2018-01-01,1609.243408203125,R_A3,1,298.53814697265625,0.0
298.676513671875,STANDARD,28,0.11823459714651108,0,41,2,2018-01-01,1611.3077392578125,R_A3,2,298.676513671875,0.0
298.8148498535156,STANDARD,28,0.12243370711803436,0,41,3,2018-01-01,1613.3720703125,R_A3,3,298.8148498535156,0.0
298.9532165527344,STANDARD,28,0.24829745292663574,0,41,4,2018-01-01,1615.4365234375,R_A3,4,298.9532165527344,0.0
299.0915832519531,STANDARD,28,0.6481541991233826,0,41,5,2018-01-01,1617.5008544921875,R_A3,5,299.0915832519531,0.0
299.2299499511719,STANDARD,28,0.3404858112335205,0,41,6,2018-01-01,1619.565185546875,R_A3,6,299.2299499511719,0.0
298.54638671875,STANDARD,29,0.6481541991233826,0,41,6,2018-01-01,1609.3663330078125,R_A3,7,298.54638671875,0.0
298.68377685546875,STANDARD,29,0.1983322650194168,0,41,7,2018-01-01,1611.4163818359375,R_A3,8,298.68377685546875,0.0
298.8211669921875,STANDARD,29,0.20094092190265656,0,41,8,2018-01-01,1613.46630859375,R_A3,9,298.8211669921875,0.0
298.95855712890625,STANDARD,29,0.6481541991233826,0,41,9,2018-01-01,1615.516357421875,R_A3,10,298.95855712890625,0.0
299.095947265625,STANDARD,29,0.7979751825332642,0,41,10,2018-01-01,1617.5662841796875,R_A3,11,299.095947265625,0.0
299.24237060546875,STANDARD,29,0.05079192295670509,0,41,11,2018-01-01,1619.750732421875,R_A3,12,299.24237060546875,0.0
299.3978271484375,STANDARD,29,0.05455172061920166,0,41,12,2018-01-01,1622.0697021484375,R_A3,13,299.3978271484375,0.0
299.5532531738281,STANDARD,29,0.3680056035518646,0,41,13,2018-01-01,1624.388671875,R_A3,14,299.5532531738281,0.0
299.7087097167969,STANDARD,29,0.3714577257633209,0,41,14,2018-01-01,1626.707763671875,R_A3,15,299.7087097167969,0.0
299.8641662597656,STANDARD,29,0.4909714162349701,0,41,15,2018-01-01,1629.026611328125,R_A3,16,299.8641662597656,0.0
299.992919921875,STANDARD,29,0.8089039921760559,0,41,16,2018-01-01,1630.9468994140625,R_A3,17,299.992919921875,0.0
