CONIPOS,DATE,CONKPOS,DEPTH,SWAT,PRESSURE,WELLMODEL,CONBPRES,DRAWDOWN,CONIDX,CONJPOS,WELL,SGAS
22,2018-01-01,1,1639.3985595703125,0.054303158074617386,300.6087646484375,STANDARD,300.6087646484375,0,1,30,R_A2,0.0
22,2018-01-01,2,1641.13134765625,0.05542414262890816,300.7249755859375,STANDARD,300.7249755859375,0,2,30,R_A2,0.0
22,2018-01-01,3,1642.8642578125,0.05819898843765259,300.8411560058594,STANDARD,300.8411560058594,0,3,30,R_A2,0.0
22,2018-01-01,4,1644.59716796875,0.0624033585190773,300.9573669433594,STANDARD,300.9573669433594,0,4,30,R_A2,0.0
22,2018-01-01,5,1646.330078125,0.0653655156493187,301.07354736328125,STANDARD,301.07354736328125,0,5,30,R_A2,0.0
22,2018-01-01,6,1648.0628662109375,0.3066484332084656,301.18975830078125,STANDARD,301.18975830078125,0,6,30,R_A2,0.0
22,2018-01-01,7,1649.7957763671875,0.8776023983955383,301.30596923828125,STANDARD,301.30596923828125,0,7,30,R_A2,0.0
22,2018-01-01,8,1651.528564453125,0.8767476081848145,301.42218017578125,STANDARD,301.42218017578125,0,8,30,R_A2,0.0
22,2018-01-01,9,1653.261474609375,0.889266312122345,301.5384216308594,STANDARD,301.5384216308594,0,9,30,R_A2,0.0
22,2018-01-01,10,1654.994384765625,0.8913164734840393,301.6546325683594,STANDARD,301.6546325683594,0,10,30,R_A2,0.0
22,2018-01-01,11,1656.8773193359375,0.06955475360155106,301.7809143066406,STANDARD,301.7809143066406,0,11,30,R_A2,0.0
22,2018-01-01,12,1658.9102783203125,0.14742401242256165,301.9172668457031,STANDARD,301.9172668457031,0,12,30,R_A2,0.0
22,2018-01-01,13,1660.9432373046875,0.4312908947467804,302.0536193847656,STANDARD,302.0536193847656,0,13,30,R_A2,0.0
22,2018-01-01,14,1662.9761962890625,0.4788234233856201,302.19000244140625,STANDARD,302.19000244140625,0,14,30,R_A2,0.0
22,2018-01-01,15,1665.0091552734375,0.9129981994628906,302.32635498046875,STANDARD,302.32635498046875,0,15,30,R_A2,0.0
22,2018-01-01,16,1667.0421142578125,0.9341514706611633,302.4627380371094,STANDARD,302.4627380371094,0,16,30,R_A2,0.0
22,2018-01-01,16,1670.068603515625,0.960159957408905,302.665771484375,STANDARD,302.665771484375,0,17,29,R_A2,0.0
22,2018-01-01,17,1672.1402587890625,0.9357590675354004,302.80474853515625,STANDARD,302.80474853515625,0,18,29,R_A2,0.0
22,2018-01-01,18,1674.0009765625,0.9739214777946472,302.9295654296875,STANDARD,302.9295654296875,0,19,29,R_A2,0.0
22,2018-01-01,25,1675.746826171875,1.0,303.0467224121094,STANDARD,303.0467224121094,0,20,29,R_A2,0.0
22,2018-01-01,26,1677.524658203125,0.8401920199394226,303.1659851074219,STANDARD,303.1659851074219,0,21,29,R_A2,0.0
22,2018-01-01,27,1679.3026123046875,1.0,303.6074523925781,STANDARD,303.6074523925781,0,22,29,R_A2,0.0
22,2018-01-01,28,1681.08056640625,1.0,303.77593994140625,STANDARD,303.77593994140625,0,23,29,R_A2,0.0
22,2018-01-01,29,1682.8583984375,1.0,303.94439697265625,STANDARD,303.94439697265625,0,24,29,R_A2,0.0
28,2018-01-01,1,1606.388916015625,0.6481541991233826,298.39605712890625,STANDARD,298.39605712890625,0,1,41,R_A3,0.0
28,2018-01-01,2,1608.482177734375,0.11823459714651108,298.53631591796875,STANDARD,298.53631591796875,0,2,41,R_A3,0.0
28,2018-01-01,3,1610.5753173828125,0.13187366724014282,298.6766052246094,STANDARD,298.6766052246094,0,3,41,R_A3,0.0
29,2018-01-01,3,1606.63330078125,0.1874559223651886,298.41241455078125,STANDARD,298.41241455078125,0,4,41,R_A3,0.0
29,2018-01-01,4,1608.5975341796875,0.37238410115242004,298.5440673828125,STANDARD,298.5440673828125,0,5,41,R_A3,0.0
29,2018-01-01,5,1610.561767578125,0.8141300082206726,298.6756896972656,STANDARD,298.6756896972656,0,6,41,R_A3,0.0
29,2018-01-01,6,1612.5260009765625,0.6481541991233826,298.8073425292969,STANDARD,298.8073425292969,0,7,41,R_A3,0.0
29,2018-01-01,7,1614.490234375,0.1979706734418869,298.9389953613281,STANDARD,298.9389953613281,0,8,41,R_A3,0.0
29,2018-01-01,8,1616.4544677734375,0.20156985521316528,299.0706481933594,STANDARD,299.0706481933594,0,9,41,R_A3,0.0
29,2018-01-01,9,1618.418701171875,0.6481541991233826,299.2023010253906,STANDARD,299.2023010253906,0,10,41,R_A3,0.0
29,2018-01-01,10,1620.3829345703125,0.19858328998088837,299.3339538574219,STANDARD,299.3339538574219,0,11,41,R_A3,0.0
29,2018-01-01,11,1622.5799560546875,0.048221901059150696,299.4812316894531,STANDARD,299.4812316894531,0,12,41,R_A3,0.0
29,2018-01-01,12,1625.0096435546875,0.05622325465083122,299.64410400390625,STANDARD,299.64410400390625,0,13,41,R_A3,0.0
29,2018-01-01,13,1627.439453125,0.37982556223869324,299.8069763183594,STANDARD,299.8069763183594,0,14,41,R_A3,0.0
29,2018-01-01,14,1629.869140625,0.37358468770980835,299.9698791503906,STANDARD,299.9698791503906,0,15,41,R_A3,0.0
29,2018-01-01,15,1632.2989501953125,0.8002597689628601,300.13275146484375,STANDARD,300.13275146484375,0,16,41,R_A3,0.0
29,2018-01-01,16,1634.0245361328125,0.7922658324241638,300.2484436035156,STANDARD,300.2484436035156,0,17,41,R_A3,0.0
29,2018-01-01,25,1636.3035888671875,0.7863381505012512,300.4012451171875,STANDARD,300.4012451171875,0,18,41,R_A3,0.0
29,2018-01-01,26,1639.84033203125,0.049120135605335236,300.6383972167969,STANDARD,300.6383972167969,0,19,41,R_A3,0.0
29,2018-01-01,27,1643.376953125,0.05388227477669716,300.87554931640625,STANDARD,300.87554931640625,0,20,41,R_A3,0.0
29,2018-01-01,28,1646.9136962890625,0.6502960920333862,301.1127014160156,STANDARD,301.1127014160156,0,21,41,R_A3,0.0
29,2018-01-01,29,1650.450439453125,0.06648425757884979,301.3498840332031,STANDARD,301.3498840332031,0,22,41,R_A3,0.0
30,2018-01-01,1,1627.4849853515625,0.04929792508482933,299.8100280761719,STANDARD,299.8100280761719,0,1,52,R_A4,0.0
31,2018-01-01,1,1627.549560546875,0.04912305995821953,299.8143615722656,STANDARD,299.8143615722656,0,2,52,R_A4,0.0
31,2018-01-01,2,1629.567626953125,0.05227721109986305,299.94964599609375,STANDARD,299.94964599609375,0,3,52,R_A4,0.0
31,2018-01-01,3,1631.585693359375,0.054198168218135834,300.0849304199219,STANDARD,300.0849304199219,0,4,52,R_A4,0.0
32,2018-01-01,3,1636.14501953125,0.05629364028573036,300.390625,STANDARD,300.390625,0,5,52,R_A4,0.0
32,2018-01-01,4,1638.0052490234375,0.07910995185375214,300.5153503417969,STANDARD,300.5153503417969,0,6,52,R_A4,0.0
32,2018-01-01,4,1634.397705078125,0.057220034301280975,300.2734680175781,STANDARD,300.2734680175781,0,7,51,R_A4,0.0
32,2018-01-01,3,1632.5577392578125,0.0547647625207901,300.1501159667969,STANDARD,300.1501159667969,0,8,51,R_A4,0.0
33,2018-01-01,4,1640.833984375,0.06185413897037506,300.70501708984375,STANDARD,300.70501708984375,0,9,51,R_A4,0.0
33,2018-01-01,3,1639.0064697265625,0.05986708775162697,300.5824890136719,STANDARD,300.5824890136719,0,10,51,R_A4,0.0
33,2018-01-01,3,1635.662353515625,0.057838812470436096,300.3582458496094,STANDARD,300.3582458496094,0,11,50,R_A4,0.0
34,2018-01-01,3,1640.3758544921875,0.07831871509552002,300.6742858886719,STANDARD,300.6742858886719,0,12,50,R_A4,0.0
34,2018-01-01,2,1638.384521484375,0.08841343224048615,300.540771484375,STANDARD,300.540771484375,0,13,50,R_A4,0.0
35,2018-01-01,3,1645.48291015625,0.1462625414133072,301.0167541503906,STANDARD,301.0167541503906,0,14,50,R_A4,0.0
35,2018-01-01,3,1641.244140625,0.1583026647567749,300.7325134277344,STANDARD,300.7325134277344,0,15,49,R_A4,0.0
35,2018-01-01,2,1639.3013916015625,0.22814887762069702,300.6022644042969,STANDARD,300.6022644042969,0,16,49,R_A4,0.0
36,2018-01-01,29,1648.09033203125,0.05751156434416771,301.1916198730469,STANDARD,301.1916198730469,0,17,49,R_A4,0.0
