SGAS,CONBPRES,CONIPOS,SWAT,WELL,DATE,PRESSURE,DRAWDOWN,CONKPOS,CONJPOS,CONIDX,WELLMODEL,DEPTH
0.0,300.75213623046875,22,0.05192289128899574,R_A2,2018-01-01,300.75213623046875,0,1,30,1,STANDARD,1640.64599609375
0.0,300.873291015625,22,0.05550944060087204,R_A2,2018-01-01,300.873291015625,0,2,30,2,STANDARD,1642.452880859375
0.0,300.99444580078125,22,0.05880657583475113,R_A2,2018-01-01,300.99444580078125,0,3,30,3,STANDARD,1644.259765625
0.0,301.1156311035156,22,0.06442265212535858,R_A2,2018-01-01,301.1156311035156,0,4,30,4,STANDARD,1646.066650390625
0.0,301.2367858886719,22,0.06738182157278061,R_A2,2018-01-01,301.2367858886719,0,5,30,5,STANDARD,1647.87353515625
0.0,301.35797119140625,22,0.3296107351779938,R_A2,2018-01-01,301.35797119140625,0,6,30,6,STANDARD,1649.680419921875
0.0,301.4791564941406,22,0.8800684809684753,R_A2,2018-01-01,301.4791564941406,0,7,30,7,STANDARD,1651.4873046875
0.0,301.6003112792969,22,0.8494294881820679,R_A2,2018-01-01,301.6003112792969,0,8,30,8,STANDARD,1653.294189453125
0.0,301.72149658203125,22,0.8883836269378662,R_A2,2018-01-01,301.72149658203125,0,9,30,9,STANDARD,1655.10107421875
0.0,301.84271240234375,22,0.6481541991233826,R_A2,2018-01-01,301.84271240234375,0,10,30,10,STANDARD,1656.907958984375
0.0,301.9703063964844,22,0.07027807086706161,R_A2,2018-01-01,301.9703063964844,0,11,30,11,STANDARD,1658.8106689453125
0.0,302.2384033203125,22,0.428290456533432,R_A2,2018-01-01,302.2384033203125,0,13,30,12,STANDARD,1662.80712890625
0.0,302.3724365234375,22,0.47132277488708496,R_A2,2018-01-01,302.3724365234375,0,14,30,13,STANDARD,1664.805419921875
0.0,302.5064697265625,22,0.9351643919944763,R_A2,2018-01-01,302.5064697265625,0,15,30,14,STANDARD,1666.8037109375
0.0,302.6405334472656,22,0.9286457896232605,R_A2,2018-01-01,302.6405334472656,0,16,30,15,STANDARD,1668.802001953125
0.0,302.8247375488281,22,0.9510157704353333,R_A2,2018-01-01,302.8247375488281,0,16,29,16,STANDARD,1671.5478515625
0.0,302.9679260253906,22,0.9253280758857727,R_A2,2018-01-01,302.9679260253906,0,17,29,17,STANDARD,1673.68212890625
0.0,303.0956115722656,22,0.9723604917526245,R_A2,2018-01-01,303.0956115722656,0,18,29,18,STANDARD,1675.585205078125
0.0,303.2152099609375,22,0.6481541991233826,R_A2,2018-01-01,303.2152099609375,0,25,29,19,STANDARD,1677.36767578125
0.0,303.3315734863281,22,1.0,R_A2,2018-01-01,303.3315734863281,0,26,29,20,STANDARD,1679.10205078125
0.0,303.44793701171875,22,1.0,R_A2,2018-01-01,303.44793701171875,0,27,29,21,STANDARD,1680.8363037109375
0.0,303.9171447753906,22,1.0,R_A2,2018-01-01,303.9171447753906,0,28,29,22,STANDARD,1682.5706787109375
0.0,304.08148193359375,22,1.0,R_A2,2018-01-01,304.08148193359375,0,29,29,23,STANDARD,1684.304931640625
0.0,298.6817932128906,28,0.6481541991233826,R_A3,2018-01-01,298.6817932128906,0,1,41,1,STANDARD,1609.76220703125
0.0,297.9849548339844,29,0.6481541991233826,R_A3,2018-01-01,297.9849548339844,0,1,41,2,STANDARD,1599.3638916015625
0.0,298.12994384765625,29,0.1860453188419342,R_A3,2018-01-01,298.12994384765625,0,2,41,3,STANDARD,1601.527587890625
0.0,298.27496337890625,29,0.18760423362255096,R_A3,2018-01-01,298.27496337890625,0,3,41,4,STANDARD,1603.69140625
0.0,298.4199523925781,29,0.3547236919403076,R_A3,2018-01-01,298.4199523925781,0,4,41,5,STANDARD,1605.855224609375
0.0,298.5649719238281,29,0.8078908920288086,R_A3,2018-01-01,298.5649719238281,0,5,41,6,STANDARD,1608.0189208984375
0.0,298.7099609375,29,0.6481541991233826,R_A3,2018-01-01,298.7099609375,0,6,41,7,STANDARD,1610.1826171875
0.0,298.85498046875,29,0.19637559354305267,R_A3,2018-01-01,298.85498046875,0,7,41,8,STANDARD,1612.346435546875
0.0,299.0,29,0.19632908701896667,R_A3,2018-01-01,299.0,0,8,41,9,STANDARD,1614.5101318359375
0.0,299.14501953125,29,0.790027916431427,R_A3,2018-01-01,299.14501953125,0,9,41,10,STANDARD,1616.673828125
0.0,299.2900695800781,29,0.7977169752120972,R_A3,2018-01-01,299.2900695800781,0,10,41,11,STANDARD,1618.837646484375
0.0,299.4371643066406,29,0.04699213057756424,R_A3,2018-01-01,299.4371643066406,0,11,41,12,STANDARD,1621.0322265625
0.0,299.58636474609375,29,0.053443994373083115,R_A3,2018-01-01,299.58636474609375,0,12,41,13,STANDARD,1623.2576904296875
0.0,299.73553466796875,29,0.37138083577156067,R_A3,2018-01-01,299.73553466796875,0,13,41,14,STANDARD,1625.483154296875
0.0,300.0339050292969,29,0.4902859628200531,R_A3,2018-01-01,300.0339050292969,0,15,41,15,STANDARD,1629.93408203125
0.0,300.16448974609375,29,0.8018770217895508,R_A3,2018-01-01,300.16448974609375,0,16,41,16,STANDARD,1631.881591796875
0.0,300.2286682128906,29,0.7802131772041321,R_A3,2018-01-01,300.2286682128906,0,17,41,17,STANDARD,1632.8389892578125
0.0,300.3569641113281,29,0.6481541991233826,R_A3,2018-01-01,300.3569641113281,0,25,41,18,STANDARD,1634.7525634765625
0.0,300.59716796875,29,0.04031917080283165,R_A3,2018-01-01,300.59716796875,0,26,41,19,STANDARD,1638.3348388671875
0.0,300.83734130859375,29,0.0521492138504982,R_A3,2018-01-01,300.83734130859375,0,27,41,20,STANDARD,1641.9169921875
0.0,301.07757568359375,29,1.0,R_A3,2018-01-01,301.07757568359375,0,28,41,21,STANDARD,1645.499267578125
0.0,301.31781005859375,29,0.6481541991233826,R_A3,2018-01-01,301.31781005859375,0,29,41,22,STANDARD,1649.08154296875
0.0,300.099365234375,30,0.048864640295505524,R_A4,2018-01-01,300.099365234375,0,1,52,1,STANDARD,1630.9102783203125
0.0,299.80511474609375,31,0.046931568533182144,R_A4,2018-01-01,299.80511474609375,0,1,52,2,STANDARD,1626.5208740234375
0.0,299.9422607421875,31,0.049321096390485764,R_A4,2018-01-01,299.9422607421875,0,2,52,3,STANDARD,1628.56689453125
0.0,300.0794372558594,31,0.0496901273727417,R_A4,2018-01-01,300.0794372558594,0,3,52,4,STANDARD,1630.613037109375
0.0,300.21661376953125,31,0.05248720571398735,R_A4,2018-01-01,300.21661376953125,0,4,52,5,STANDARD,1632.658935546875
0.0,300.3537902832031,31,0.054893311113119125,R_A4,2018-01-01,300.3537902832031,0,5,52,6,STANDARD,1634.705078125
0.0,300.2881774902344,32,0.05457102507352829,R_A4,2018-01-01,300.2881774902344,0,5,52,7,STANDARD,1633.726318359375
0.0,300.36029052734375,32,0.055371787399053574,R_A4,2018-01-01,300.36029052734375,0,5,51,8,STANDARD,1634.80224609375
0.0,300.5040283203125,33,0.05697610601782799,R_A4,2018-01-01,300.5040283203125,0,5,51,9,STANDARD,1636.94580078125
0.0,300.8326721191406,33,0.06148108094930649,R_A4,2018-01-01,300.8326721191406,0,5,50,10,STANDARD,1641.84716796875
0.0,300.8039855957031,34,0.06046976521611214,R_A4,2018-01-01,300.8039855957031,0,5,50,11,STANDARD,1641.4193115234375
0.0,300.67803955078125,34,0.06128682941198349,R_A4,2018-01-01,300.67803955078125,0,4,50,12,STANDARD,1639.541259765625
0.0,300.7184143066406,35,0.06015889346599579,R_A4,2018-01-01,300.7184143066406,0,4,50,13,STANDARD,1640.14306640625
0.0,300.5946044921875,35,0.055785197764635086,R_A4,2018-01-01,300.5946044921875,0,3,50,14,STANDARD,1638.296875
0.0,300.82330322265625,35,0.07417643815279007,R_A4,2018-01-01,300.82330322265625,0,3,49,15,STANDARD,1641.7076416015625
0.0,300.7596740722656,36,0.2441881000995636,R_A4,2018-01-01,300.7596740722656,0,28,49,16,STANDARD,1640.758544921875
0.0,300.80230712890625,36,0.05313562974333763,R_A4,2018-01-01,300.80230712890625,0,28,48,17,STANDARD,1641.39453125
0.0,301.22760009765625,37,0.6481541991233826,R_A4,2018-01-01,301.22760009765625,0,28,48,18,STANDARD,1647.736572265625
0.0,301.4443664550781,38,0.2287452667951584,R_A4,2018-01-01,301.4443664550781,0,28,48,19,STANDARD,1650.96875
0.0,301.9826965332031,38,0.7235683798789978,R_A4,2018-01-01,301.9826965332031,0,28,47,20,STANDARD,1658.9952392578125
0.0,303.9038391113281,31,1.0,R_A5,2018-01-01,303.9038391113281,0,1,20,1,STANDARD,1685.6572265625
0.0,304.1134948730469,31,1.0,R_A5,2018-01-01,304.1134948730469,0,2,20,2,STANDARD,1687.86962890625
0.0,304.3231506347656,31,1.0,R_A5,2018-01-01,304.3231506347656,0,3,20,3,STANDARD,1690.0819091796875
0.0,304.5328063964844,31,1.0,R_A5,2018-01-01,304.5328063964844,0,4,20,4,STANDARD,1692.294189453125
0.0,304.7424621582031,31,1.0,R_A5,2018-01-01,304.7424621582031,0,5,20,5,STANDARD,1694.506591796875
0.0,304.9521179199219,31,1.0,R_A5,2018-01-01,304.9521179199219,0,6,20,6,STANDARD,1696.7188720703125
0.0,305.4675598144531,31,1.0,R_A5,2018-01-01,305.4675598144531,0,7,20,7,STANDARD,1698.93115234375
0.0,305.6772155761719,31,1.0,R_A5,2018-01-01,305.6772155761719,0,8,20,8,STANDARD,1701.1435546875
0.0,305.2470397949219,31,1.0,R_A5,2018-01-01,305.2470397949219,0,11,21,9,STANDARD,1699.82958984375
0.0,305.4358825683594,31,1.0,R_A5,2018-01-01,305.4358825683594,0,12,21,10,STANDARD,1701.822265625
0.0,305.6366882324219,31,1.0,R_A5,2018-01-01,305.6366882324219,0,13,21,11,STANDARD,1703.81494140625
0.0,305.8255310058594,31,1.0,R_A5,2018-01-01,305.8255310058594,0,14,21,12,STANDARD,1705.8076171875
0.0,306.0143737792969,31,1.0,R_A5,2018-01-01,306.0143737792969,0,15,21,13,STANDARD,1707.80029296875
0.0,306.3482360839844,31,1.0,R_A5,2018-01-01,306.3482360839844,0,16,21,14,STANDARD,1709.79296875
