CONIPOS,DEPTH,SWAT,CONBPRES,DRAWDOWN,DATE,WELLMODEL,CONJPOS,CONKPOS,PRESSURE,CONIDX,SGAS,WELL
22,1641.094970703125,0.05760246515274048,300.6733093261719,0,2018-01-01,STANDARD,30,1,300.6733093261719,1,0.0,R_A2
22,1642.8890380859375,0.05853121727705002,300.7936096191406,0,2018-01-01,STANDARD,30,2,300.7936096191406,2,0.0,R_A2
22,1644.68310546875,0.06116862595081329,300.9139099121094,0,2018-01-01,STANDARD,30,3,300.9139099121094,3,0.0,R_A2
22,1646.4771728515625,0.0663427859544754,301.0342102050781,0,2018-01-01,STANDARD,30,4,301.0342102050781,4,0.0,R_A2
22,1648.2713623046875,0.0687314122915268,301.1545104980469,0,2018-01-01,STANDARD,30,5,301.1545104980469,5,0.0,R_A2
22,1650.0654296875,0.3121729791164398,301.27484130859375,0,2018-01-01,STANDARD,30,6,301.27484130859375,6,0.0,R_A2
22,1651.859619140625,0.8978545665740967,301.3951721191406,0,2018-01-01,STANDARD,30,7,301.3951721191406,7,0.0,R_A2
22,1653.6536865234375,0.8618757724761963,301.5154724121094,0,2018-01-01,STANDARD,30,8,301.5154724121094,8,0.0,R_A2
22,1655.44775390625,0.9105261564254761,301.63580322265625,0,2018-01-01,STANDARD,30,9,301.63580322265625,9,0.0,R_A2
22,1657.2418212890625,0.9083951115608215,301.7561340332031,0,2018-01-01,STANDARD,30,10,301.7561340332031,10,0.0,R_A2
22,1659.1368408203125,0.07604346424341202,301.88323974609375,0,2018-01-01,STANDARD,30,11,301.88323974609375,11,0.0,R_A2
22,1661.132568359375,0.0789390504360199,302.01708984375,0,2018-01-01,STANDARD,30,12,302.01708984375,12,0.0,R_A2
22,1663.12841796875,0.44872841238975525,302.1509704589844,0,2018-01-01,STANDARD,30,13,302.1509704589844,13,0.0,R_A2
22,1665.1241455078125,0.5068296194076538,302.28485107421875,0,2018-01-01,STANDARD,30,14,302.28485107421875,14,0.0,R_A2
22,1667.1199951171875,0.6861860752105713,302.4187316894531,0,2018-01-01,STANDARD,30,15,302.4187316894531,15,0.0,R_A2
22,1669.11572265625,0.9714688062667847,302.5526123046875,0,2018-01-01,STANDARD,30,16,302.5526123046875,16,0.0,R_A2
22,1671.111572265625,0.948536217212677,302.6864929199219,0,2018-01-01,STANDARD,30,17,302.6864929199219,17,0.0,R_A2
22,1672.9881591796875,0.9796320199966431,302.8123779296875,0,2018-01-01,STANDARD,30,18,302.8123779296875,18,0.0,R_A2
22,1674.229736328125,0.9940532445907593,302.89569091796875,0,2018-01-01,STANDARD,29,18,302.89569091796875,19,0.0,R_A2
22,1675.235107421875,0.9911285638809204,302.963134765625,0,2018-01-01,STANDARD,29,19,302.963134765625,20,0.0,R_A2
22,1676.1676025390625,0.6481541991233826,303.02569580078125,0,2018-01-01,STANDARD,29,27,303.02569580078125,21,0.0,R_A2
22,1677.9368896484375,1.0,303.47802734375,0,2018-01-01,STANDARD,29,28,303.47802734375,22,0.0,R_A2
22,1679.7061767578125,1.0,303.64569091796875,0,2018-01-01,STANDARD,29,29,303.64569091796875,23,0.0,R_A2
22,1681.4754638671875,1.0,303.8133544921875,0,2018-01-01,STANDARD,29,30,303.8133544921875,24,0.0,R_A2
22,1683.2447509765625,1.0,303.98101806640625,0,2018-01-01,STANDARD,29,31,303.98101806640625,25,0.0,R_A2
28,1609.243408203125,0.6481541991233826,298.53814697265625,0,2018-01-01,STANDARD,41,1,298.53814697265625,1,0.0,R_A3
28,1611.3077392578125,0.19803451001644135,298.676513671875,0,2018-01-01,STANDARD,41,2,298.676513671875,2,0.0,R_A3
28,1613.3720703125,0.19370174407958984,298.8148498535156,0,2018-01-01,STANDARD,41,3,298.8148498535156,3,0.0,R_A3
28,1615.4365234375,0.2555322051048279,298.9532165527344,0,2018-01-01,STANDARD,41,4,298.9532165527344,4,0.0,R_A3
28,1617.5008544921875,0.8283283710479736,299.0915832519531,0,2018-01-01,STANDARD,41,5,299.0915832519531,5,0.0,R_A3
28,1619.565185546875,0.6481541991233826,299.2299499511719,0,2018-01-01,STANDARD,41,6,299.2299499511719,6,0.0,R_A3
29,1609.3663330078125,0.6481541991233826,298.54638671875,0,2018-01-01,STANDARD,41,6,298.54638671875,7,0.0,R_A3
29,1611.4163818359375,0.19839943945407867,298.68377685546875,0,2018-01-01,STANDARD,41,7,298.68377685546875,8,0.0,R_A3
29,1613.46630859375,0.20012404024600983,298.8211669921875,0,2018-01-01,STANDARD,41,8,298.8211669921875,9,0.0,R_A3
29,1615.516357421875,0.8029430508613586,298.95855712890625,0,2018-01-01,STANDARD,41,9,298.95855712890625,10,0.0,R_A3
29,1617.5662841796875,0.8017147183418274,299.095947265625,0,2018-01-01,STANDARD,41,10,299.095947265625,11,0.0,R_A3
29,1619.750732421875,0.047662775963544846,299.24237060546875,0,2018-01-01,STANDARD,41,11,299.24237060546875,12,0.0,R_A3
29,1622.0697021484375,0.05465734004974365,299.3978271484375,0,2018-01-01,STANDARD,41,12,299.3978271484375,13,0.0,R_A3
29,1624.388671875,0.36961451172828674,299.5532531738281,0,2018-01-01,STANDARD,41,13,299.5532531738281,14,0.0,R_A3
29,1629.026611328125,0.40267708897590637,299.8641662597656,0,2018-01-01,STANDARD,41,15,299.8641662597656,15,0.0,R_A3
29,1630.9468994140625,0.814231276512146,299.992919921875,0,2018-01-01,STANDARD,41,16,299.992919921875,16,0.0,R_A3
29,1633.5262451171875,0.6481541991233826,300.16583251953125,0,2018-01-01,STANDARD,41,27,300.16583251953125,17,0.0,R_A3
29,1637.1630859375,0.04657479748129845,300.40966796875,0,2018-01-01,STANDARD,41,28,300.40966796875,18,0.0,R_A3
29,1640.8001708984375,0.05444984510540962,300.6535339355469,0,2018-01-01,STANDARD,41,29,300.6535339355469,19,0.0,R_A3
29,1644.4371337890625,1.0,300.89739990234375,0,2018-01-01,STANDARD,41,30,300.89739990234375,20,0.0,R_A3
29,1648.0740966796875,0.06235086917877197,301.14129638671875,0,2018-01-01,STANDARD,41,31,301.14129638671875,21,0.0,R_A3
30,1631.1873779296875,0.04969937726855278,300.009033203125,0,2018-01-01,STANDARD,52,1,300.009033203125,1,0.0,R_A4
31,1627.4293212890625,0.04972411319613457,299.7571105957031,0,2018-01-01,STANDARD,52,1,299.7571105957031,2,0.0,R_A4
31,1629.4896240234375,0.05124127119779587,299.89520263671875,0,2018-01-01,STANDARD,52,2,299.89520263671875,3,0.0,R_A4
31,1631.5498046875,0.05373745784163475,300.0333251953125,0,2018-01-01,STANDARD,52,3,300.0333251953125,4,0.0,R_A4
31,1633.610107421875,0.05840654298663139,300.17144775390625,0,2018-01-01,STANDARD,52,4,300.17144775390625,5,0.0,R_A4
32,1632.3968505859375,0.05641423910856247,300.0901184082031,0,2018-01-01,STANDARD,52,4,300.0901184082031,6,0.0,R_A4
