Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:26
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       241382049.26         42461055.43         32165088.76         20229615.23
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  241382049.26         42461055.43         32165088.76         20229615.23
MidReek    1                       175847540.38         33573311.71         25784905.86         16216921.65
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  175847540.38         33573311.71         25784905.86         16216921.65
LowerReek  1                        97800116.59         20735359.42         16736702.94         10526228.09
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                   97800116.59         20735359.42         16736702.94         10526228.09
Totals     1                       515029706.22         96769726.55         74686697.55         46972764.97
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  515029706.22         96769726.55         74686697.55         46972764.97
