Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:26
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       241341940.98         42452627.21         31940804.39         20088555.88
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  241341940.98         42452627.21         31940804.39         20088555.88
MidReek    1                       175870731.95         33570998.06         25525869.92         16054005.96
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  175870731.95         33570998.06         25525869.92         16054005.96
LowerReek  1                        97811697.25         20736633.66         16580425.65         10427940.48
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                   97811697.25         20736633.66         16580425.65         10427940.48
Totals     1                       515024370.17         96760258.93         74047099.96         46570502.32
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  515024370.17         96760258.93         74047099.96         46570502.32
