CONKPOS,DEPTH,CONBPRES,PRESSURE,SWAT,CONIPOS,SGAS,DRAWDOWN,CONJPOS,CONIDX,DATE,WELLMODEL,WELL
1,1641.094970703125,300.6733093261719,300.6733093261719,0.056692592799663544,22,0.0,0,30,1,2018-01-01,STANDARD,R_A2
2,1642.8890380859375,300.7936096191406,300.7936096191406,0.05867929756641388,22,0.0,0,30,2,2018-01-01,STANDARD,R_A2
3,1644.68310546875,300.9139099121094,300.9139099121094,0.061895012855529785,22,0.0,0,30,3,2018-01-01,STANDARD,R_A2
4,1646.4771728515625,301.0342102050781,301.0342102050781,0.06773295253515244,22,0.0,0,30,4,2018-01-01,STANDARD,R_A2
5,1648.2713623046875,301.1545104980469,301.1545104980469,0.07102545350790024,22,0.0,0,30,5,2018-01-01,STANDARD,R_A2
6,1650.0654296875,301.27484130859375,301.27484130859375,0.32000941038131714,22,0.0,0,30,6,2018-01-01,STANDARD,R_A2
7,1651.859619140625,301.3951721191406,301.3951721191406,0.8964528441429138,22,0.0,0,30,7,2018-01-01,STANDARD,R_A2
8,1653.6536865234375,301.5154724121094,301.5154724121094,0.721605658531189,22,0.0,0,30,8,2018-01-01,STANDARD,R_A2
9,1655.44775390625,301.63580322265625,301.63580322265625,0.8981422781944275,22,0.0,0,30,9,2018-01-01,STANDARD,R_A2
10,1657.2418212890625,301.7561340332031,301.7561340332031,0.9288972020149231,22,0.0,0,30,10,2018-01-01,STANDARD,R_A2
11,1659.1368408203125,301.88323974609375,301.88323974609375,0.0764261856675148,22,0.0,0,30,11,2018-01-01,STANDARD,R_A2
12,1661.132568359375,302.01708984375,302.01708984375,0.07991793006658554,22,0.0,0,30,12,2018-01-01,STANDARD,R_A2
13,1663.12841796875,302.1509704589844,302.1509704589844,0.44190388917922974,22,0.0,0,30,13,2018-01-01,STANDARD,R_A2
14,1665.1241455078125,302.28485107421875,302.28485107421875,0.5030866861343384,22,0.0,0,30,14,2018-01-01,STANDARD,R_A2
15,1667.1199951171875,302.4187316894531,302.4187316894531,0.6875477433204651,22,0.0,0,30,15,2018-01-01,STANDARD,R_A2
16,1669.11572265625,302.5526123046875,302.5526123046875,0.9696621894836426,22,0.0,0,30,16,2018-01-01,STANDARD,R_A2
17,1671.111572265625,302.6864929199219,302.6864929199219,0.9681722521781921,22,0.0,0,30,17,2018-01-01,STANDARD,R_A2
18,1672.9881591796875,302.8123779296875,302.8123779296875,0.988319993019104,22,0.0,0,30,18,2018-01-01,STANDARD,R_A2
18,1674.229736328125,302.89569091796875,302.89569091796875,0.9956573843955994,22,0.0,0,29,19,2018-01-01,STANDARD,R_A2
27,1676.1676025390625,303.02569580078125,303.02569580078125,1.0,22,0.0,0,29,20,2018-01-01,STANDARD,R_A2
28,1677.9368896484375,303.47802734375,303.47802734375,1.0,22,0.0,0,29,21,2018-01-01,STANDARD,R_A2
29,1679.7061767578125,303.64569091796875,303.64569091796875,1.0,22,0.0,0,29,22,2018-01-01,STANDARD,R_A2
30,1681.4754638671875,303.8133544921875,303.8133544921875,1.0,22,0.0,0,29,23,2018-01-01,STANDARD,R_A2
31,1683.2447509765625,303.98101806640625,303.98101806640625,1.0,22,0.0,0,29,24,2018-01-01,STANDARD,R_A2
1,1609.243408203125,298.53814697265625,298.53814697265625,0.6481541991233826,28,0.0,0,41,1,2018-01-01,STANDARD,R_A3
2,1611.3077392578125,298.676513671875,298.676513671875,0.19344687461853027,28,0.0,0,41,2,2018-01-01,STANDARD,R_A3
3,1613.3720703125,298.8148498535156,298.8148498535156,0.19432701170444489,28,0.0,0,41,3,2018-01-01,STANDARD,R_A3
4,1615.4365234375,298.9532165527344,298.9532165527344,0.24996744096279144,28,0.0,0,41,4,2018-01-01,STANDARD,R_A3
5,1617.5008544921875,299.0915832519531,299.0915832519531,0.6481541991233826,28,0.0,0,41,5,2018-01-01,STANDARD,R_A3
