CONIPOS,DRAWDOWN,SWAT,CONBPRES,DEPTH,CONKPOS,SGAS,DATE,WELL,PRESSURE,CONJPOS,CONIDX,WELLMODEL
22,0,0.11639835685491562,300.6733093261719,1641.094970703125,1,0.0,2018-01-01,R_A2,300.6733093261719,30,1,STANDARD
22,0,0.05913596972823143,300.7936096191406,1642.8890380859375,2,0.0,2018-01-01,R_A2,300.7936096191406,30,2,STANDARD
22,0,0.1264522522687912,300.9139099121094,1644.68310546875,3,0.0,2018-01-01,R_A2,300.9139099121094,30,3,STANDARD
22,0,0.10851117223501205,301.0342102050781,1646.4771728515625,4,0.0,2018-01-01,R_A2,301.0342102050781,30,4,STANDARD
22,0,0.11078716069459915,301.1545104980469,1648.2713623046875,5,0.0,2018-01-01,R_A2,301.1545104980469,30,5,STANDARD
22,0,0.31581538915634155,301.27484130859375,1650.0654296875,6,0.0,2018-01-01,R_A2,301.27484130859375,30,6,STANDARD
22,0,0.8967062830924988,301.3951721191406,1651.859619140625,7,0.0,2018-01-01,R_A2,301.3951721191406,30,7,STANDARD
22,0,0.8729602694511414,301.5154724121094,1653.6536865234375,8,0.0,2018-01-01,R_A2,301.5154724121094,30,8,STANDARD
22,0,0.9158713817596436,301.63580322265625,1655.44775390625,9,0.0,2018-01-01,R_A2,301.63580322265625,30,9,STANDARD
22,0,0.9034853577613831,301.7561340332031,1657.2418212890625,10,0.0,2018-01-01,R_A2,301.7561340332031,30,10,STANDARD
22,0,0.07596161216497421,301.88323974609375,1659.1368408203125,11,0.0,2018-01-01,R_A2,301.88323974609375,30,11,STANDARD
22,0,0.08016353845596313,302.01708984375,1661.132568359375,12,0.0,2018-01-01,R_A2,302.01708984375,30,12,STANDARD
22,0,0.45490843057632446,302.1509704589844,1663.12841796875,13,0.0,2018-01-01,R_A2,302.1509704589844,30,13,STANDARD
22,0,0.5153446793556213,302.28485107421875,1665.1241455078125,14,0.0,2018-01-01,R_A2,302.28485107421875,30,14,STANDARD
