CONIDX,SGAS,PRESSURE,CONBPRES,DEPTH,CONJPOS,CONIPOS,SWAT,WELL,DRAWDOWN,CONKPOS,DATE,WELLMODEL
1,0.0,300.74932861328125,300.74932861328125,1640.85546875,30,22,0.053440019488334656,R_A2,0,1,2018-01-01,STANDARD
2,0.0,300.8699951171875,300.8699951171875,1642.6551513671875,30,22,0.056016705930233,R_A2,0,2,2018-01-01,STANDARD
3,0.0,300.99066162109375,300.99066162109375,1644.4547119140625,30,22,0.05890829861164093,R_A2,0,3,2018-01-01,STANDARD
4,0.0,301.1113586425781,301.1113586425781,1646.25439453125,30,22,0.06308189779520035,R_A2,0,4,2018-01-01,STANDARD
5,0.0,301.2320251464844,301.2320251464844,1648.053955078125,30,22,0.06762535125017166,R_A2,0,5,2018-01-01,STANDARD
6,0.0,301.35272216796875,301.35272216796875,1649.8536376953125,30,22,0.3025912046432495,R_A2,0,6,2018-01-01,STANDARD
7,0.0,301.4734191894531,301.4734191894531,1651.6533203125,30,22,0.8793030977249146,R_A2,0,7,2018-01-01,STANDARD
8,0.0,301.5941162109375,301.5941162109375,1653.452880859375,30,22,0.8701527118682861,R_A2,0,8,2018-01-01,STANDARD
9,0.0,301.7148132324219,301.7148132324219,1655.2525634765625,30,22,0.6481541991233826,R_A2,0,9,2018-01-01,STANDARD
10,0.0,301.83551025390625,301.83551025390625,1657.05224609375,30,22,0.6481541991233826,R_A2,0,10,2018-01-01,STANDARD
11,0.0,301.9638977050781,301.9638977050781,1658.966552734375,30,22,0.0712316706776619,R_A2,0,11,2018-01-01,STANDARD
12,0.0,302.23614501953125,302.23614501953125,1663.02490234375,30,22,0.43409964442253113,R_A2,0,13,2018-01-01,STANDARD
13,0.0,302.37225341796875,302.37225341796875,1665.05419921875,30,22,0.4794079065322876,R_A2,0,14,2018-01-01,STANDARD
14,0.0,302.50836181640625,302.50836181640625,1667.0833740234375,30,22,0.9153214693069458,R_A2,0,15,2018-01-01,STANDARD
15,0.0,302.6445007324219,302.6445007324219,1669.112548828125,30,22,0.9405776858329773,R_A2,0,16,2018-01-01,STANDARD
16,0.0,302.8076477050781,302.8076477050781,1671.544189453125,29,22,0.9628594517707825,R_A2,0,16,2018-01-01,STANDARD
