WELLMODEL,CONKPOS,WELL,SWAT,CONJPOS,CONIDX,CONIPOS,PRESSURE,DEPTH,SGAS,DATE,CONBPRES,DRAWDOWN
STANDARD,1,R_A2,0.05747795104980469,30,1,22,300.6105041503906,1641.2060546875,0.0,2018-01-01,300.6105041503906,0
STANDARD,2,R_A2,0.06115085259079933,30,2,22,300.7286376953125,1642.9677734375,0.0,2018-01-01,300.7286376953125,0
STANDARD,3,R_A2,0.06416194140911102,30,3,22,300.8467712402344,1644.7293701171875,0.0,2018-01-01,300.8467712402344,0
STANDARD,4,R_A2,0.07069727033376694,30,4,22,300.96490478515625,1646.490966796875,0.0,2018-01-01,300.96490478515625,0
STANDARD,5,R_A2,0.07474954426288605,30,5,22,301.0830383300781,1648.252685546875,0.0,2018-01-01,301.0830383300781,0
STANDARD,6,R_A2,0.17855417728424072,30,6,22,301.201171875,1650.014404296875,0.0,2018-01-01,301.201171875,0
STANDARD,7,R_A2,0.7368530631065369,30,7,22,301.3193054199219,1651.776123046875,0.0,2018-01-01,301.3193054199219,0
STANDARD,8,R_A2,0.878633439540863,30,8,22,301.4374694824219,1653.537841796875,0.0,2018-01-01,301.4374694824219,0
STANDARD,9,R_A2,0.9017623066902161,30,9,22,301.55560302734375,1655.2994384765625,0.0,2018-01-01,301.55560302734375,0
STANDARD,10,R_A2,0.670853853225708,30,10,22,301.67376708984375,1657.0611572265625,0.0,2018-01-01,301.67376708984375,0
STANDARD,11,R_A2,0.08244480937719345,30,11,22,301.80035400390625,1658.94873046875,0.0,2018-01-01,301.80035400390625,0
STANDARD,12,R_A2,0.24822598695755005,30,12,22,301.9353942871094,1660.962158203125,0.0,2018-01-01,301.9353942871094,0
STANDARD,13,R_A2,0.48600879311561584,30,13,22,302.0704650878906,1662.9755859375,0.0,2018-01-01,302.0704650878906,0
STANDARD,14,R_A2,0.5544997453689575,30,14,22,302.20550537109375,1664.989013671875,0.0,2018-01-01,302.20550537109375,0
STANDARD,14,R_A2,0.5668089985847473,29,15,22,302.3424987792969,1667.0313720703125,0.0,2018-01-01,302.3424987792969,0
STANDARD,15,R_A2,0.9926562309265137,29,16,22,302.4860534667969,1669.1712646484375,0.0,2018-01-01,302.4860534667969,0
STANDARD,16,R_A2,1.0,29,17,22,302.6296081542969,1671.311279296875,0.0,2018-01-01,302.6296081542969,0
STANDARD,17,R_A2,1.0,29,18,22,302.7731628417969,1673.451171875,0.0,2018-01-01,302.7731628417969,0
STANDARD,18,R_A2,1.0,29,19,22,303.084716796875,1675.3551025390625,0.0,2018-01-01,303.084716796875,0
STANDARD,29,R_A2,1.0,29,20,22,303.3955078125,1677.06591796875,0.0,2018-01-01,303.3955078125,0
STANDARD,30,R_A2,1.0,29,21,22,303.5616455078125,1678.8192138671875,0.0,2018-01-01,303.5616455078125,0
STANDARD,31,R_A2,1.0,29,22,22,303.7278137207031,1680.5726318359375,0.0,2018-01-01,303.7278137207031,0
STANDARD,32,R_A2,1.0,29,23,22,303.89398193359375,1682.3260498046875,0.0,2018-01-01,303.89398193359375,0
STANDARD,33,R_A2,1.0,29,24,22,304.06011962890625,1684.0794677734375,0.0,2018-01-01,304.06011962890625,0
STANDARD,1,R_A3,0.6481541991233826,41,1,28,298.4454040527344,1608.9071044921875,0.0,2018-01-01,298.4454040527344,0
STANDARD,2,R_A3,0.19825369119644165,41,2,28,298.5792541503906,1610.9041748046875,0.0,2018-01-01,298.5792541503906,0
STANDARD,3,R_A3,0.17607972025871277,41,3,28,298.71307373046875,1612.901123046875,0.0,2018-01-01,298.71307373046875,0
STANDARD,4,R_A3,0.12236955761909485,41,4,28,298.846923828125,1614.898193359375,0.0,2018-01-01,298.846923828125,0
STANDARD,5,R_A3,0.6481541991233826,41,5,29,298.62115478515625,1611.529541015625,0.0,2018-01-01,298.62115478515625,0
STANDARD,6,R_A3,0.6481541991233826,41,6,29,298.7436828613281,1613.3577880859375,0.0,2018-01-01,298.7436828613281,0
STANDARD,7,R_A3,0.20166046917438507,41,7,29,298.8662109375,1615.18603515625,0.0,2018-01-01,298.8662109375,0
STANDARD,8,R_A3,0.2038777619600296,41,8,29,298.9887390136719,1617.0142822265625,0.0,2018-01-01,298.9887390136719,0
STANDARD,9,R_A3,0.8098981380462646,41,9,29,299.1112976074219,1618.842529296875,0.0,2018-01-01,299.1112976074219,0
STANDARD,10,R_A3,0.8104260563850403,41,10,29,299.23382568359375,1620.670654296875,0.0,2018-01-01,299.23382568359375,0
STANDARD,11,R_A3,0.05202043801546097,41,11,29,299.3708801269531,1622.7152099609375,0.0,2018-01-01,299.3708801269531,0
STANDARD,12,R_A3,0.05878283083438873,41,12,29,299.5224304199219,1624.9761962890625,0.0,2018-01-01,299.5224304199219,0
STANDARD,13,R_A3,0.3802165985107422,41,13,29,299.6739807128906,1627.237060546875,0.0,2018-01-01,299.6739807128906,0
STANDARD,14,R_A3,0.36463114619255066,41,14,29,299.8255615234375,1629.4979248046875,0.0,2018-01-01,299.8255615234375,0
STANDARD,15,R_A3,0.8113517165184021,41,15,29,299.97381591796875,1631.7095947265625,0.0,2018-01-01,299.97381591796875,0
STANDARD,16,R_A3,0.7964986562728882,41,16,29,300.0625,1633.0323486328125,0.0,2018-01-01,300.0625,0
STANDARD,29,R_A3,0.3516172766685486,41,17,29,300.1886901855469,1634.914794921875,0.0,2018-01-01,300.1886901855469,0
STANDARD,30,R_A3,0.04712799936532974,41,18,29,300.4087219238281,1638.1966552734375,0.0,2018-01-01,300.4087219238281,0
STANDARD,31,R_A3,0.05253599211573601,41,19,29,300.6287841796875,1641.478515625,0.0,2018-01-01,300.6287841796875,0
STANDARD,32,R_A3,0.2290438413619995,41,20,29,300.8488464355469,1644.7603759765625,0.0,2018-01-01,300.8488464355469,0
STANDARD,33,R_A3,0.06306740641593933,41,21,29,301.06890869140625,1648.042236328125,0.0,2018-01-01,301.06890869140625,0
STANDARD,1,R_A4,0.05257584527134895,52,1,30,299.86077880859375,1630.0234375,0.0,2018-01-01,299.86077880859375,0
STANDARD,1,R_A4,0.05082004517316818,52,2,31,299.5503845214844,1625.3934326171875,0.0,2018-01-01,299.5503845214844,0
STANDARD,2,R_A4,0.052233416587114334,52,3,31,299.6933898925781,1627.526611328125,0.0,2018-01-01,299.6933898925781,0
STANDARD,3,R_A4,0.05314432829618454,52,4,31,299.8363952636719,1629.659912109375,0.0,2018-01-01,299.8363952636719,0
