ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,4947922,716008,370906,258651,36418130,0,0,0,0,0
Valysar,CentralSouth,67926990,12650133,9496226,6622194,932404945,0,0,0,0,0
Valysar,CentralNorth,39225188,6480400,4542404,3167646,446004525,0,0,0,0,0
Valysar,NorthHorst,4762548,731491,354540,217777,42662432,23559723,3058053,2034807,473210938,72401
Valysar,CentralRamp,13766527,2115039,1481121,1032860,145426695,0,0,0,0,0
Valysar,CentralHorst,87227556,14117806,10895027,7597648,1069748878,0,0,0,0,0
Valysar,EastLowland,1217288,215509,109952,76675,10795855,0,0,0,0,0
Therys,WestLowland,1942109,384760,165807,115625,16280031,0,0,0,0,0
Therys,CentralSouth,13533206,3334944,2053723,1432164,201648718,0,0,0,0,0
Therys,CentralNorth,21222253,4034352,2386991,1664568,234371198,0,0,0,0,0
Therys,NorthHorst,6005828,877084,329224,202226,39616114,16618395,2807181,1803496,419417756,64171
Therys,CentralRamp,6614733,1498468,1170245,816070,114902709,0,0,0,0,0
Therys,CentralHorst,30657989,7570736,5830421,4065845,572470979,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,145724,24572,5873,4095,576609,0,0,0,0,0
Volon,CentralSouth,36557423,6818204,4843243,3377436,475543019,0,0,0,0,0
Volon,CentralNorth,6558747,909275,490868,342307,48196848,0,0,0,0,0
Volon,NorthHorst,4026301,667279,428028,262917,51505363,3792907,617219,469602,109209683,16709
Volon,CentralRamp,13118414,2348084,1793461,1250670,176094407,0,0,0,0,0
Volon,CentralHorst,85520794,14780534,11248364,7844047,1104441890,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
