SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
,,,,1,SGOF,0.89,0.9552801,0.0,0.0
,,,,1,SGOF,0.91,0.96528,0.0,0.0
,,,,1,SGOF,0.93,0.97528,0.0,0.0
,,,,1,SGOF,0.95,0.98528,0.0,0.0
,,,,1,SGOF,0.97,0.99528,0.0,0.0
,,,,1,SGOF,0.9794399,1.0,0.0,0.0
0.1182346,0.0,1.0,9.95715,2,SWOF,,,,
0.1282346,0.0,0.9584512,7.6168415,2,SWOF,,,,
0.1382346,0.0001185,0.9157189,5.9450677,2,SWOF,,,,
0.1582346,0.0008989,0.8301391,3.8062496,2,SWOF,,,,
0.1782346,0.0023887,0.7465874,2.5699127,2,SWOF,,,,
0.1982346,0.0046307,0.6662355,1.809255,2,SWOF,,,,
0.2182346,0.0076872,0.5898698,1.3174801,2,SWOF,,,,
0.2382346,0.0116312,0.5180585,0.9864521,2,SWOF,,,,
0.2582346,0.0165439,0.4512351,0.7560392,2,SWOF,,,,
0.2782346,0.0225137,0.3897219,0.5910649,2,SWOF,,,,
0.2982346,0.0296352,0.3337273,0.4700569,2,SWOF,,,,
0.3182346,0.0380091,0.283336,0.3794246,2,SWOF,,,,
0.3382346,0.0477412,0.2385045,0.3102933,2,SWOF,,,,
0.3582346,0.0589421,0.1990674,0.2567078,2,SWOF,,,,
0.3782346,0.0717258,0.1647531,0.2145753,2,SWOF,,,,
0.3982346,0.0862083,0.1352077,0.1810228,2,SWOF,,,,
0.4182346,0.1025067,0.110022,0.1539948,2,SWOF,,,,
0.4382346,0.1207366,0.0887564,0.1319957,2,SWOF,,,,
0.4582346,0.1410097,0.0709649,0.1139205,2,SWOF,,,,
0.4782346,0.1634316,0.0562119,0.0989411,2,SWOF,,,,
0.4982346,0.1880977,0.0440859,0.0864291,2,SWOF,,,,
0.5182346,0.21509,0.0342071,0.0759023,2,SWOF,,,,
0.5382346,0.2444725,0.0262326,0.0669862,2,SWOF,,,,
0.5582346,0.2762865,0.0198573,0.0593877,2,SWOF,,,,
0.5782346,0.3105452,0.0148134,0.0528747,2,SWOF,,,,
0.5982346,0.3472282,0.0108686,0.0472624,2,SWOF,,,,
0.6182346,0.3862748,0.0078232,0.042402,2,SWOF,,,,
0.6382346,0.4275774,0.0055068,0.038173,2,SWOF,,,,
0.6582346,0.4709741,0.0037752,0.0344775,2,SWOF,,,,
0.6782346,0.5162407,0.0025072,0.0312347,2,SWOF,,,,
0.6982346,0.5630822,0.0016017,0.0283784,2,SWOF,,,,
0.7182346,0.6111036,0.0009757,0.0258531,2,SWOF,,,,
0.7382346,0.6598377,0.0005586,0.023613,2,SWOF,,,,
0.7582346,0.7087294,0.0002961,0.0216192,2,SWOF,,,,
0.7782346,0.7570653,0.0001414,0.0198393,2,SWOF,,,,
0.7982346,0.803971,5.78e-05,0.0182457,2,SWOF,,,,
0.8182346,0.848391,1.86e-05,0.0168149,2,SWOF,,,,
0.8382346,0.8889219,4e-06,0.0155269,2,SWOF,,,,
0.8582346,0.9232201,4e-07,0.0143646,2,SWOF,,,,
0.8740111,0.9432199,0.0,0.0135351,2,SWOF,,,,
0.8782346,0.9451233,0.0,0.013313,2,SWOF,,,,
0.8982346,0.9541368,0.0,0.0123596,2,SWOF,,,,
0.9182346,0.9631503,0.0,0.0114933,2,SWOF,,,,
