CONKPOS,WELL,SGAS,WELLMODEL,DATE,CONJPOS,PRESSURE,SWAT,DRAWDOWN,DEPTH,CONIDX,CONIPOS,CONBPRES
16,R_A5,0.0,STANDARD,2018-01-01,21,306.1958923339844,1.0,0,1709.715576171875,13,31,306.1958923339844
17,R_A5,0.0,STANDARD,2018-01-01,21,306.5302429199219,1.0,0,1711.71337890625,14,31,306.5302429199219
18,R_A5,0.0,STANDARD,2018-01-01,21,306.706298828125,1.0,0,1713.571044921875,15,31,306.706298828125
19,R_A5,0.0,STANDARD,2018-01-01,21,306.800048828125,1.0,0,1714.560546875,16,31,306.800048828125
28,R_A5,0.0,STANDARD,2018-01-01,21,306.76953125,1.0,0,1715.8958740234375,17,31,306.76953125
29,R_A5,0.0,STANDARD,2018-01-01,21,306.9978332519531,1.0,0,1718.3046875,18,31,306.9978332519531
30,R_A5,0.0,STANDARD,2018-01-01,21,307.53192138671875,1.0,0,1720.713623046875,19,31,307.53192138671875
31,R_A5,0.0,STANDARD,2018-01-01,21,307.7602233886719,1.0,0,1723.1224365234375,20,31,307.7602233886719
32,R_A5,0.0,STANDARD,2018-01-01,21,307.988525390625,1.0,0,1725.5313720703125,21,31,307.988525390625
1,R_A6,0.0,STANDARD,2018-01-01,42,305.1296691894531,1.0,0,1695.36572265625,1,17,305.1296691894531
2,R_A6,0.0,STANDARD,2018-01-01,42,305.2760925292969,1.0,0,1696.9107666015625,2,17,305.2760925292969
3,R_A6,0.0,STANDARD,2018-01-01,42,305.4224853515625,1.0,0,1698.455810546875,3,17,305.4224853515625
4,R_A6,0.0,STANDARD,2018-01-01,42,305.56890869140625,1.0,0,1700.000732421875,4,17,305.56890869140625
5,R_A6,0.0,STANDARD,2018-01-01,42,305.71533203125,1.0,0,1701.5457763671875,5,17,305.71533203125
6,R_A6,0.0,STANDARD,2018-01-01,42,305.86175537109375,1.0,0,1703.0908203125,6,17,305.86175537109375
7,R_A6,0.0,STANDARD,2018-01-01,42,305.7091369628906,1.0,0,1704.6358642578125,7,17,305.7091369628906
8,R_A6,0.0,STANDARD,2018-01-01,42,305.85552978515625,1.0,0,1706.1807861328125,8,17,305.85552978515625
9,R_A6,0.0,STANDARD,2018-01-01,42,306.301025390625,1.0,0,1707.725830078125,9,17,306.301025390625
10,R_A6,0.0,STANDARD,2018-01-01,42,306.14166259765625,1.0,0,1709.2708740234375,10,17,306.14166259765625
11,R_A6,0.0,STANDARD,2018-01-01,42,306.32415771484375,1.0,0,1711.1951904296875,11,17,306.32415771484375
12,R_A6,0.0,STANDARD,2018-01-01,42,306.54248046875,1.0,0,1713.4989013671875,12,17,306.54248046875
13,R_A6,0.0,STANDARD,2018-01-01,42,306.77276611328125,1.0,0,1715.802490234375,13,17,306.77276611328125
14,R_A6,0.0,STANDARD,2018-01-01,42,306.9910888671875,1.0,0,1718.1060791015625,14,17,306.9910888671875
15,R_A6,0.0,STANDARD,2018-01-01,42,307.35443115234375,1.0,0,1720.4097900390625,15,17,307.35443115234375
16,R_A6,0.0,STANDARD,2018-01-01,42,307.57275390625,1.0,0,1722.71337890625,16,17,307.57275390625
17,R_A6,0.0,STANDARD,2018-01-01,42,307.79107666015625,1.0,0,1725.0169677734375,17,17,307.79107666015625
18,R_A6,0.0,STANDARD,2018-01-01,42,307.9382629394531,1.0,0,1726.5699462890625,18,17,307.9382629394531
28,R_A6,0.0,STANDARD,2018-01-01,42,307.90069580078125,1.0,0,1727.8309326171875,19,17,307.90069580078125
29,R_A6,0.0,STANDARD,2018-01-01,42,308.3694763183594,1.0,0,1729.5506591796875,20,17,308.3694763183594
30,R_A6,0.0,STANDARD,2018-01-01,42,308.532470703125,1.0,0,1731.2705078125,21,17,308.532470703125
31,R_A6,0.0,STANDARD,2018-01-01,42,308.69549560546875,1.0,0,1732.990478515625,22,17,308.69549560546875
32,R_A6,0.0,STANDARD,2018-01-01,42,308.5527038574219,1.0,0,1734.710205078125,23,17,308.5527038574219
1,R_A2,0.0,STANDARD,2018-03-01,30,299.10076904296875,0.0548207089304924,0,1639.2471923828125,1,22,299.10076904296875
2,R_A2,0.0,STANDARD,2018-03-01,30,299.21649169921875,0.055652227252721786,0,1640.9739990234375,2,22,299.21649169921875
3,R_A2,0.0,STANDARD,2018-03-01,30,299.33221435546875,0.05909055843949318,0,1642.7008056640625,3,22,299.33221435546875
4,R_A2,0.0,STANDARD,2018-03-01,30,299.44793701171875,0.06563422083854675,0,1644.427734375,4,22,299.44793701171875
5,R_A2,0.0,STANDARD,2018-03-01,30,299.56365966796875,0.06543732434511185,0,1646.154541015625,5,22,299.56365966796875
6,R_A2,0.0,STANDARD,2018-03-01,30,299.6800842285156,0.307307630777359,0,1647.88134765625,6,22,299.6800842285156
7,R_A2,0.0,STANDARD,2018-03-01,30,299.8013610839844,0.8736444115638733,0,1649.608154296875,7,22,299.8013610839844
8,R_A2,0.0,STANDARD,2018-03-01,30,299.92071533203125,0.844167947769165,0,1651.3349609375,8,22,299.92071533203125
9,R_A2,0.0,STANDARD,2018-03-01,30,300.13812255859375,0.8779342174530029,0,1653.0618896484375,9,22,300.13812255859375
10,R_A2,0.0,STANDARD,2018-03-01,30,300.1624755859375,0.8893346190452576,0,1654.7886962890625,10,22,300.1624755859375
11,R_A2,0.0,STANDARD,2018-03-01,30,300.0064392089844,0.06925724446773529,0,1656.64990234375,11,22,300.0064392089844
13,R_A2,0.0,STANDARD,2018-03-01,30,300.6363220214844,0.43588900566101074,0,1660.6417236328125,12,22,300.6363220214844
14,R_A2,0.0,STANDARD,2018-03-01,30,300.7702941894531,0.47784289717674255,0,1662.6375732421875,13,22,300.7702941894531
15,R_A2,0.0,STANDARD,2018-03-01,30,300.90386962890625,0.9096653461456299,0,1664.63330078125,14,22,300.90386962890625
16,R_A2,0.0,STANDARD,2018-03-01,30,301.0371398925781,0.9371103644371033,0,1666.629150390625,15,22,301.0371398925781
17,R_A2,0.0,STANDARD,2018-03-01,30,301.17083740234375,0.8825938105583191,0,1668.625,16,22,301.17083740234375
17,R_A2,0.0,STANDARD,2018-03-01,29,301.4604797363281,0.9740411043167114,0,1674.43505859375,17,22,301.4604797363281
18,R_A2,0.0,STANDARD,2018-03-01,29,301.5753479003906,0.9984654784202576,0,1676.147705078125,18,22,301.5753479003906
28,R_A2,0.0,STANDARD,2018-03-01,29,302.5740661621094,0.7941576242446899,0,1677.66650390625,19,22,302.5740661621094
29,R_A2,-6.253823414681392e-08,STANDARD,2018-03-01,29,302.0423278808594,0.9999993443489075,0,1679.3931884765625,20,22,302.0423278808594
30,R_A2,-3.0120028693403356e-09,STANDARD,2018-03-01,29,302.20050048828125,0.9999999403953552,0,1681.119873046875,21,22,302.20050048828125
31,R_A2,-1.3489548367218163e-10,STANDARD,2018-03-01,29,302.3567199707031,1.0,0,1682.846435546875,22,22,302.3567199707031
32,R_A2,0.0,STANDARD,2018-03-01,29,302.41693115234375,0.9999988675117493,0,1684.5731201171875,23,22,302.41693115234375
1,R_A5,-5.523452382321173e-14,STANDARD,2018-04-28,20,279.7065734863281,1.0,0,1685.599365234375,1,31,279.7065734863281
2,R_A5,-5.4138317499797736e-14,STANDARD,2018-04-28,20,279.93341064453125,1.0,0,1687.9970703125,2,31,279.93341064453125
3,R_A5,-5.5015972382161174e-14,STANDARD,2018-04-28,20,280.16009521484375,1.0,0,1690.394775390625,3,31,280.16009521484375
4,R_A5,-1.8126406815420146e-14,STANDARD,2018-04-28,20,280.3855285644531,1.0,0,1692.79248046875,4,31,280.3855285644531
5,R_A5,-4.764690093752959e-14,STANDARD,2018-04-28,20,280.6120300292969,1.0,0,1695.190185546875,5,31,280.6120300292969
6,R_A5,-1.9510513538968655e-13,STANDARD,2018-04-28,20,280.8387145996094,1.0,0,1697.5877685546875,6,31,280.8387145996094
7,R_A5,-2.1458251994542878e-15,STANDARD,2018-04-28,20,281.39373779296875,1.0,0,1699.9854736328125,7,31,281.39373779296875
11,R_A5,-3.6649377976871733e-10,STANDARD,2018-04-28,21,279.1382751464844,1.0,0,1699.725830078125,8,31,279.1382751464844
12,R_A5,-2.57935561798206e-10,STANDARD,2018-04-28,21,279.3284606933594,1.0,0,1701.7237548828125,9,31,279.3284606933594
13,R_A5,-1.2657772399671252e-11,STANDARD,2018-04-28,21,279.5329284667969,1.0,0,1703.7216796875,10,31,279.5329284667969
14,R_A5,-2.6220622895145596e-11,STANDARD,2018-04-28,21,279.7242431640625,1.0,0,1705.7196044921875,11,31,279.7242431640625
15,R_A5,-8.895908315542655e-12,STANDARD,2018-04-28,21,279.91693115234375,1.0,0,1707.717529296875,12,31,279.91693115234375
16,R_A5,-2.4726370256855645e-11,STANDARD,2018-04-28,21,280.13836669921875,1.0,0,1709.715576171875,13,31,280.13836669921875
17,R_A5,-3.5603484136587094e-12,STANDARD,2018-04-28,21,280.5098571777344,1.0,0,1711.71337890625,14,31,280.5098571777344
18,R_A5,-7.817552161171193e-12,STANDARD,2018-04-28,21,280.714111328125,1.0,0,1713.571044921875,15,31,280.714111328125
19,R_A5,0.0,STANDARD,2018-04-28,21,280.81695556640625,1.0,0,1714.560546875,16,31,280.81695556640625
28,R_A5,-6.203663693860051e-10,STANDARD,2018-04-28,21,284.7797546386719,1.0,0,1715.8958740234375,17,31,284.7797546386719
29,R_A5,-7.422554793024005e-10,STANDARD,2018-04-28,21,284.990966796875,1.0,0,1718.3046875,18,31,284.990966796875
30,R_A5,-3.3524121449336915e-17,STANDARD,2018-04-28,21,296.1959533691406,1.0,0,1720.713623046875,19,31,296.1959533691406
31,R_A5,-3.5155039548702605e-18,STANDARD,2018-04-28,21,303.7227783203125,1.0,0,1723.1224365234375,20,31,303.7227783203125
32,R_A5,-8.579063656532806e-20,STANDARD,2018-04-28,21,306.6744689941406,1.0,0,1725.5313720703125,21,31,306.6744689941406
1,R_A3,0.0,STANDARD,2018-07-03,41,282.9312438964844,0.29992780089378357,0,1611.4752197265625,1,28,282.9312438964844
2,R_A3,0.0,STANDARD,2018-07-03,41,283.0689392089844,0.1332823634147644,0,1613.49365234375,2,28,283.0689392089844
3,R_A3,0.0,STANDARD,2018-07-03,41,283.2037048339844,0.11912135779857635,0,1615.511962890625,3,28,283.2037048339844
4,R_A3,0.0,STANDARD,2018-07-03,41,283.33880615234375,0.6661190390586853,0,1617.5303955078125,4,28,283.33880615234375
4,R_A3,0.0,STANDARD,2018-07-03,41,282.3669128417969,0.39459267258644104,0,1603.607421875,5,29,282.3669128417969
5,R_A3,0.0,STANDARD,2018-07-03,41,283.78515625,0.7824522852897644,0,1605.794189453125,6,29,283.78515625
6,R_A3,0.0,STANDARD,2018-07-03,41,284.064697265625,0.6490959525108337,0,1607.98095703125,7,29,284.064697265625
7,R_A3,0.0,STANDARD,2018-07-03,41,284.2672119140625,0.19294020533561707,0,1610.1678466796875,8,29,284.2672119140625
8,R_A3,0.0,STANDARD,2018-07-03,41,284.41326904296875,0.19630251824855804,0,1612.3546142578125,9,29,284.41326904296875
9,R_A3,0.0,STANDARD,2018-07-03,41,284.65289306640625,0.7984140515327454,0,1614.5413818359375,10,29,284.65289306640625
10,R_A3,0.0,STANDARD,2018-07-03,41,286.98345947265625,0.7979351282119751,0,1616.7281494140625,11,29,286.98345947265625
11,R_A3,0.0,STANDARD,2018-07-03,41,287.5787658691406,0.046264469623565674,0,1618.9970703125,12,29,287.5787658691406
12,R_A3,0.0,STANDARD,2018-07-03,41,287.7359313964844,0.05325423926115036,0,1621.3482666015625,13,29,287.7359313964844
13,R_A3,0.0,STANDARD,2018-07-03,41,287.89398193359375,0.3721124231815338,0,1623.699462890625,14,29,287.89398193359375
14,R_A3,0.0,STANDARD,2018-07-03,41,289.0382080078125,0.3591219186782837,0,1626.050537109375,15,29,289.0382080078125
15,R_A3,0.0,STANDARD,2018-07-03,41,288.4947204589844,0.6030466556549072,0,1628.381591796875,16,29,288.4947204589844
16,R_A3,0.0,STANDARD,2018-07-03,41,288.6673889160156,0.8062061071395874,0,1630.3404541015625,17,29,288.6673889160156
28,R_A3,0.0,STANDARD,2018-07-03,41,288.637451171875,0.9999927282333374,0,1633.213134765625,18,29,288.637451171875
29,R_A3,0.0,STANDARD,2018-07-03,41,284.847900390625,0.044836658984422684,0,1636.972900390625,19,29,284.847900390625
30,R_A3,0.0,STANDARD,2018-07-03,41,285.09912109375,0.08586319535970688,0,1640.7327880859375,20,29,285.09912109375
31,R_A3,0.0,STANDARD,2018-07-03,41,285.36370849609375,0.6491606831550598,0,1644.49267578125,21,29,285.36370849609375
32,R_A3,0.0,STANDARD,2018-07-03,41,285.61700439453125,0.06258923560380936,0,1648.25244140625,22,29,285.61700439453125
1,R_A4,0.0,STANDARD,2018-09-12,52,277.24853515625,0.052490558475255966,0,1633.14453125,1,30,277.24853515625
1,R_A4,0.0,STANDARD,2018-09-12,52,276.88800048828125,0.04959195852279663,0,1626.1151123046875,2,31,276.88800048828125
2,R_A4,0.0,STANDARD,2018-09-12,52,277.0265197753906,0.050222352147102356,0,1628.1942138671875,3,31,277.0265197753906
3,R_A4,0.0,STANDARD,2018-09-12,52,277.1650085449219,0.05146174505352974,0,1630.2733154296875,4,31,277.1650085449219
4,R_A4,0.0,STANDARD,2018-09-12,52,277.3033752441406,0.05489056184887886,0,1632.3524169921875,5,31,277.3033752441406
5,R_A4,0.0,STANDARD,2018-09-12,52,277.4416809082031,0.05489443615078926,0,1634.4315185546875,6,31,277.4416809082031
5,R_A4,0.0,STANDARD,2018-09-12,52,277.3397216796875,0.05440043658018112,0,1631.074462890625,7,32,277.3397216796875
6,R_A4,0.0,STANDARD,2018-09-12,52,277.46478271484375,0.05461880564689636,0,1632.952392578125,8,32,277.46478271484375
6,R_A4,0.0,STANDARD,2018-09-12,51,277.6535949707031,0.057168424129486084,0,1637.256103515625,9,32,277.6535949707031
5,R_A4,0.0,STANDARD,2018-09-12,51,277.5298156738281,0.05753860995173454,0,1635.399658203125,10,32,277.5298156738281
5,R_A4,0.0,STANDARD,2018-09-12,51,277.80340576171875,0.05896222963929176,0,1637.7861328125,11,33,277.80340576171875
4,R_A4,0.0,STANDARD,2018-09-12,51,277.6793518066406,0.055725324898958206,0,1635.92724609375,12,33,277.6793518066406
4,R_A4,0.0,STANDARD,2018-09-12,50,277.8621826171875,0.0620381236076355,0,1641.0123291015625,13,33,277.8621826171875
4,R_A4,0.0,STANDARD,2018-09-12,50,277.9640808105469,0.06232393905520439,0,1640.386474609375,14,34,277.9640808105469
3,R_A4,0.0,STANDARD,2018-09-12,50,277.8375549316406,0.09481488168239594,0,1638.4849853515625,15,34,277.8375549316406
3,R_A4,0.0,STANDARD,2018-09-12,50,278.07708740234375,0.12132389843463898,0,1638.6317138671875,16,35,278.07708740234375
32,R_A4,0.0,STANDARD,2018-09-12,49,278.738525390625,0.05458672344684601,0,1643.1953125,17,35,278.738525390625
31,R_A4,0.0,STANDARD,2018-09-12,49,278.33197021484375,0.1336030662059784,0,1637.115478515625,18,35,278.33197021484375
31,R_A4,0.0,STANDARD,2018-09-12,49,278.7353515625,0.25255995988845825,0,1642.1514892578125,19,36,278.7353515625
31,R_A4,0.0,STANDARD,2018-09-12,48,278.7425537109375,0.18722552061080933,0,1643.1668701171875,20,36,278.7425537109375
31,R_A4,0.0,STANDARD,2018-09-12,48,281.3167724609375,0.8385103344917297,0,1649.819091796875,21,37,281.3167724609375
30,R_A4,0.0,STANDARD,2018-09-12,48,278.9456481933594,0.2360614687204361,0,1644.251953125,22,37,278.9456481933594
30,R_A4,0.0,STANDARD,2018-09-12,48,279.5213317871094,0.1989261656999588,0,1650.996337890625,23,38,279.5213317871094
30,R_A4,0.0,STANDARD,2018-09-12,47,280.1730041503906,0.1153632253408432,0,1662.1058349609375,24,38,280.1730041503906
29,R_A4,0.0,STANDARD,2018-09-12,47,279.7982177734375,0.056295499205589294,0,1656.48779296875,25,38,279.7982177734375
1,R_A6,-1.4343204358599482e-12,STANDARD,2018-11-07,42,275.9869079589844,1.0,0,1695.36572265625,1,17,275.9869079589844
2,R_A6,-7.275859602307033e-13,STANDARD,2018-11-07,42,276.1318664550781,1.0,0,1696.9107666015625,2,17,276.1318664550781
3,R_A6,-5.956802434127495e-13,STANDARD,2018-11-07,42,276.27435302734375,1.0,0,1698.455810546875,3,17,276.27435302734375
4,R_A6,-4.934025735724157e-13,STANDARD,2018-11-07,42,276.41314697265625,1.0,0,1700.000732421875,4,17,276.41314697265625
5,R_A6,-7.8131685149474e-13,STANDARD,2018-11-07,42,276.5503845214844,1.0,0,1701.5457763671875,5,17,276.5503845214844
6,R_A6,-3.7175706957270904e-11,STANDARD,2018-11-07,42,276.69085693359375,1.0,0,1703.0908203125,6,17,276.69085693359375
7,R_A6,-6.937992541589111e-11,STANDARD,2018-11-07,42,276.53753662109375,1.0,0,1704.6358642578125,7,17,276.53753662109375
8,R_A6,-4.854519911057231e-11,STANDARD,2018-11-07,42,276.6824951171875,1.0,0,1706.1807861328125,8,17,276.6824951171875
9,R_A6,-1.612355943203525e-10,STANDARD,2018-11-07,42,277.1243591308594,1.0,0,1707.725830078125,9,17,277.1243591308594
