CONKPOS,WELL,SGAS,WELLMODEL,DATE,CONJPOS,PRESSURE,SWAT,DRAWDOWN,DEPTH,CONIDX,CONIPOS,CONBPRES
1,R_A2,0.0,STANDARD,2018-01-01,30,300.58978271484375,0.05481240525841713,0,1639.2471923828125,1,22,300.58978271484375
2,R_A2,0.0,STANDARD,2018-01-01,30,300.70556640625,0.055643230676651,0,1640.9739990234375,2,22,300.70556640625
3,R_A2,0.0,STANDARD,2018-01-01,30,300.82135009765625,0.059081971645355225,0,1642.7008056640625,3,22,300.82135009765625
4,R_A2,0.0,STANDARD,2018-01-01,30,300.9371337890625,0.06561210751533508,0,1644.427734375,4,22,300.9371337890625
5,R_A2,0.0,STANDARD,2018-01-01,30,301.0529479980469,0.06541337072849274,0,1646.154541015625,5,22,301.0529479980469
6,R_A2,0.0,STANDARD,2018-01-01,30,301.1687316894531,0.3071736991405487,0,1647.88134765625,6,22,301.1687316894531
7,R_A2,0.0,STANDARD,2018-01-01,30,301.2845458984375,0.8737016320228577,0,1649.608154296875,7,22,301.2845458984375
8,R_A2,0.0,STANDARD,2018-01-01,30,301.4003601074219,0.8442384600639343,0,1651.3349609375,8,22,301.4003601074219
9,R_A2,0.0,STANDARD,2018-01-01,30,301.51617431640625,0.8779855966567993,0,1653.0618896484375,9,22,301.51617431640625
10,R_A2,0.0,STANDARD,2018-01-01,30,301.6319885253906,0.889402449131012,0,1654.7886962890625,10,22,301.6319885253906
11,R_A2,0.0,STANDARD,2018-01-01,30,301.7568054199219,0.06918073445558548,0,1656.64990234375,11,22,301.7568054199219
13,R_A2,0.0,STANDARD,2018-01-01,30,302.0245666503906,0.4357997179031372,0,1660.6417236328125,12,22,302.0245666503906
14,R_A2,0.0,STANDARD,2018-01-01,30,302.1584167480469,0.47776296734809875,0,1662.6375732421875,13,22,302.1584167480469
15,R_A2,0.0,STANDARD,2018-01-01,30,302.29229736328125,0.9097961783409119,0,1664.63330078125,14,22,302.29229736328125
16,R_A2,0.0,STANDARD,2018-01-01,30,302.4261779785156,0.9371370077133179,0,1666.629150390625,15,22,302.4261779785156
17,R_A2,0.0,STANDARD,2018-01-01,30,302.56005859375,0.8826440572738647,0,1668.625,16,22,302.56005859375
17,R_A2,0.0,STANDARD,2018-01-01,29,302.9498596191406,0.974052906036377,0,1674.43505859375,17,22,302.9498596191406
18,R_A2,0.0,STANDARD,2018-01-01,29,303.06475830078125,0.9984661936759949,0,1676.147705078125,18,22,303.06475830078125
28,R_A2,0.0,STANDARD,2018-01-01,29,303.1666564941406,0.7941932678222656,0,1677.66650390625,19,22,303.1666564941406
29,R_A2,0.0,STANDARD,2018-01-01,29,303.61602783203125,1.0,0,1679.3931884765625,20,22,303.61602783203125
30,R_A2,0.0,STANDARD,2018-01-01,29,303.7796630859375,1.0,0,1681.119873046875,21,22,303.7796630859375
31,R_A2,0.0,STANDARD,2018-01-01,29,303.9432678222656,1.0,0,1682.846435546875,22,22,303.9432678222656
32,R_A2,0.0,STANDARD,2018-01-01,29,304.1069030761719,1.0,0,1684.5731201171875,23,22,304.1069030761719
1,R_A3,0.0,STANDARD,2018-01-01,41,298.7280578613281,0.2992337942123413,0,1611.4752197265625,1,28,298.7280578613281
2,R_A3,0.0,STANDARD,2018-01-01,41,298.86334228515625,0.13302072882652283,0,1613.49365234375,2,28,298.86334228515625
3,R_A3,0.0,STANDARD,2018-01-01,41,298.9986267089844,0.11823459714651108,0,1615.511962890625,3,28,298.9986267089844
4,R_A3,0.0,STANDARD,2018-01-01,41,299.1339111328125,0.6481541991233826,0,1617.5303955078125,4,28,299.1339111328125
4,R_A3,0.0,STANDARD,2018-01-01,41,298.2008056640625,0.38258618116378784,0,1603.607421875,5,29,298.2008056640625
5,R_A3,0.0,STANDARD,2018-01-01,41,298.34735107421875,0.8055787086486816,0,1605.794189453125,6,29,298.34735107421875
6,R_A3,0.0,STANDARD,2018-01-01,41,298.493896484375,0.6481541991233826,0,1607.98095703125,7,29,298.493896484375
7,R_A3,0.0,STANDARD,2018-01-01,41,298.64044189453125,0.19208015501499176,0,1610.1678466796875,8,29,298.64044189453125
8,R_A3,0.0,STANDARD,2018-01-01,41,298.7870178222656,0.19498775899410248,0,1612.3546142578125,9,29,298.7870178222656
9,R_A3,0.0,STANDARD,2018-01-01,41,298.9335632324219,0.7992398142814636,0,1614.5413818359375,10,29,298.9335632324219
10,R_A3,0.0,STANDARD,2018-01-01,41,299.08013916015625,0.8000191450119019,0,1616.7281494140625,11,29,299.08013916015625
11,R_A3,0.0,STANDARD,2018-01-01,41,299.2322082519531,0.04619518667459488,0,1618.9970703125,12,29,299.2322082519531
12,R_A3,0.0,STANDARD,2018-01-01,41,299.3898010253906,0.05317467451095581,0,1621.3482666015625,13,29,299.3898010253906
13,R_A3,0.0,STANDARD,2018-01-01,41,299.54742431640625,0.37173518538475037,0,1623.699462890625,14,29,299.54742431640625
14,R_A3,0.0,STANDARD,2018-01-01,41,299.70501708984375,0.3587687611579895,0,1626.050537109375,15,29,299.70501708984375
15,R_A3,0.0,STANDARD,2018-01-01,41,299.8612976074219,0.601466715335846,0,1628.381591796875,16,29,299.8612976074219
16,R_A3,0.0,STANDARD,2018-01-01,41,299.99261474609375,0.8068326711654663,0,1630.3404541015625,17,29,299.99261474609375
28,R_A3,0.0,STANDARD,2018-01-01,41,300.1852111816406,1.0,0,1633.213134765625,18,29,300.1852111816406
29,R_A3,0.0,STANDARD,2018-01-01,41,300.4372863769531,0.04449309781193733,0,1636.972900390625,19,29,300.4372863769531
30,R_A3,0.0,STANDARD,2018-01-01,41,300.68939208984375,0.08520092070102692,0,1640.7327880859375,20,29,300.68939208984375
31,R_A3,0.0,STANDARD,2018-01-01,41,300.9414978027344,0.6481541991233826,0,1644.49267578125,21,29,300.9414978027344
32,R_A3,0.0,STANDARD,2018-01-01,41,301.1936340332031,0.06247173249721527,0,1648.25244140625,22,29,301.1936340332031
1,R_A4,0.0,STANDARD,2018-01-01,52,300.18060302734375,0.05237907916307449,0,1633.14453125,1,30,300.18060302734375
1,R_A4,0.0,STANDARD,2018-01-01,52,299.7093505859375,0.04948721081018448,0,1626.1151123046875,2,31,299.7093505859375
2,R_A4,0.0,STANDARD,2018-01-01,52,299.8487243652344,0.05010891333222389,0,1628.1942138671875,3,31,299.8487243652344
3,R_A4,0.0,STANDARD,2018-01-01,52,299.98809814453125,0.05134221166372299,0,1630.2733154296875,4,31,299.98809814453125
4,R_A4,0.0,STANDARD,2018-01-01,52,300.12750244140625,0.05477656051516533,0,1632.3524169921875,5,31,300.12750244140625
5,R_A4,0.0,STANDARD,2018-01-01,52,300.2668762207031,0.05477022007107735,0,1634.4315185546875,6,31,300.2668762207031
5,R_A4,0.0,STANDARD,2018-01-01,52,300.04180908203125,0.054281171411275864,0,1631.074462890625,7,32,300.04180908203125
6,R_A4,0.0,STANDARD,2018-01-01,52,300.167724609375,0.05448780208826065,0,1632.952392578125,8,32,300.167724609375
6,R_A4,0.0,STANDARD,2018-01-01,51,300.4562683105469,0.05702248960733414,0,1637.256103515625,9,32,300.4562683105469
5,R_A4,0.0,STANDARD,2018-01-01,51,300.3318176269531,0.05741613358259201,0,1635.399658203125,10,32,300.3318176269531
5,R_A4,0.0,STANDARD,2018-01-01,51,300.4918212890625,0.058786701411008835,0,1637.7861328125,11,33,300.4918212890625
4,R_A4,0.0,STANDARD,2018-01-01,51,300.3671875,0.05556696653366089,0,1635.92724609375,12,33,300.3671875
4,R_A4,0.0,STANDARD,2018-01-01,50,300.7081298828125,0.06171179190278053,0,1641.0123291015625,13,33,300.7081298828125
4,R_A4,0.0,STANDARD,2018-01-01,50,300.6661682128906,0.06208176538348198,0,1640.386474609375,14,34,300.6661682128906
3,R_A4,0.0,STANDARD,2018-01-01,50,300.5386657714844,0.09462988376617432,0,1638.4849853515625,15,34,300.5386657714844
3,R_A4,0.0,STANDARD,2018-01-01,50,300.5484924316406,0.12126218527555466,0,1638.6317138671875,16,35,300.5484924316406
32,R_A4,0.0,STANDARD,2018-01-01,49,300.8545227050781,0.0541667640209198,0,1643.1953125,17,35,300.8545227050781
31,R_A4,0.0,STANDARD,2018-01-01,49,300.44683837890625,0.13253439962863922,0,1637.115478515625,18,35,300.44683837890625
31,R_A4,0.0,STANDARD,2018-01-01,49,300.7845153808594,0.2547103464603424,0,1642.1514892578125,19,36,300.7845153808594
31,R_A4,0.0,STANDARD,2018-01-01,48,300.85260009765625,0.1837490051984787,0,1643.1668701171875,20,36,300.85260009765625
31,R_A4,0.0,STANDARD,2018-01-01,48,301.2987060546875,0.8395019769668579,0,1649.819091796875,21,37,301.2987060546875
30,R_A4,0.0,STANDARD,2018-01-01,48,300.92535400390625,0.23957665264606476,0,1644.251953125,22,37,300.92535400390625
30,R_A4,0.0,STANDARD,2018-01-01,48,301.37762451171875,0.19779591262340546,0,1650.996337890625,23,38,301.37762451171875
30,R_A4,0.0,STANDARD,2018-01-01,47,302.1227722167969,0.11352790147066116,0,1662.1058349609375,24,38,302.1227722167969
29,R_A4,0.0,STANDARD,2018-01-01,47,301.7459411621094,0.05580757558345795,0,1656.48779296875,25,38,301.7459411621094
1,R_A5,0.0,STANDARD,2018-01-01,20,303.8983459472656,1.0,0,1685.599365234375,1,31,303.8983459472656
2,R_A5,0.0,STANDARD,2018-01-01,20,304.1255798339844,1.0,0,1687.9970703125,2,31,304.1255798339844
3,R_A5,0.0,STANDARD,2018-01-01,20,304.352783203125,1.0,0,1690.394775390625,3,31,304.352783203125
4,R_A5,0.0,STANDARD,2018-01-01,20,304.58001708984375,1.0,0,1692.79248046875,4,31,304.58001708984375
5,R_A5,0.0,STANDARD,2018-01-01,20,304.8072204589844,1.0,0,1695.190185546875,5,31,304.8072204589844
6,R_A5,0.0,STANDARD,2018-01-01,20,305.0344543457031,1.0,0,1697.5877685546875,6,31,305.0344543457031
7,R_A5,0.0,STANDARD,2018-01-01,20,305.5674743652344,1.0,0,1699.9854736328125,7,31,305.5674743652344
11,R_A5,0.0,STANDARD,2018-01-01,21,305.2371826171875,1.0,0,1699.725830078125,8,31,305.2371826171875
12,R_A5,0.0,STANDARD,2018-01-01,21,305.426513671875,1.0,0,1701.7237548828125,9,31,305.426513671875
13,R_A5,0.0,STANDARD,2018-01-01,21,305.6278381347656,1.0,0,1703.7216796875,10,31,305.6278381347656
14,R_A5,0.0,STANDARD,2018-01-01,21,305.8171691894531,1.0,0,1705.7196044921875,11,31,305.8171691894531
15,R_A5,0.0,STANDARD,2018-01-01,21,306.00653076171875,1.0,0,1707.717529296875,12,31,306.00653076171875
