Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:28
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       298484642.31         39941046.09         26415761.60         16613686.26
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  298484642.31         39941046.09         26415761.60         16613686.26
MidReek    1                       228590822.64         34112905.23         23316111.75         14664220.98
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  228590822.64         34112905.23         23316111.75         14664220.98
LowerReek  1                       136423880.56         21358447.24         15468993.61          9728926.64
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  136423880.56         21358447.24         15468993.61          9728926.64
Totals     1                       663499345.50         95412398.56         65200866.96         41006833.88
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  663499345.50         95412398.56         65200866.96         41006833.88
