DATE,SGAS,CONBPRES,CONIDX,DEPTH,CONIPOS,WELLMODEL,DRAWDOWN,WELL,CONKPOS,SWAT,PRESSURE,CONJPOS
2018-01-01,0.0,300.860107421875,1,1642.4375,22,STANDARD,0,R_A2,1,0.05438441038131714,300.860107421875,30
2018-01-01,0.0,300.983154296875,2,1644.2728271484375,22,STANDARD,0,R_A2,2,0.0563531331717968,300.983154296875,30
2018-01-01,0.0,301.1062316894531,3,1646.1082763671875,22,STANDARD,0,R_A2,3,0.058953847736120224,301.1062316894531,30
2018-01-01,0.0,301.2293395996094,4,1647.943603515625,22,STANDARD,0,R_A2,4,0.06580031663179398,301.2293395996094,30
2018-01-01,0.0,301.3524169921875,5,1649.779052734375,22,STANDARD,0,R_A2,5,0.0692579597234726,301.3524169921875,30
2018-01-01,0.0,301.4754943847656,6,1651.6142578125,22,STANDARD,0,R_A2,6,0.3223821520805359,301.4754943847656,30
2018-01-01,0.0,301.5986022949219,7,1653.44970703125,22,STANDARD,0,R_A2,7,0.8873907923698425,301.5986022949219,30
2018-01-01,0.0,301.7216796875,8,1655.2850341796875,22,STANDARD,0,R_A2,8,0.8671661019325256,301.7216796875,30
2018-01-01,0.0,301.84478759765625,9,1657.1204833984375,22,STANDARD,0,R_A2,9,0.6481541991233826,301.84478759765625,30
2018-01-01,0.0,301.9678955078125,10,1658.955810546875,22,STANDARD,0,R_A2,10,0.9091463685035706,301.9678955078125,30
2018-01-01,0.0,302.0986328125,11,1660.9049072265625,22,STANDARD,0,R_A2,11,0.07528616487979889,302.0986328125,30
2018-01-01,0.0,302.23699951171875,12,1662.9676513671875,22,STANDARD,0,R_A2,12,0.07610062509775162,302.23699951171875,30
2018-01-01,0.0,302.3753662109375,13,1665.030517578125,22,STANDARD,0,R_A2,13,0.4457491636276245,302.3753662109375,30
2018-01-01,0.0,302.51373291015625,14,1667.09326171875,22,STANDARD,0,R_A2,14,0.48466262221336365,302.51373291015625,30
2018-01-01,0.0,302.652099609375,15,1669.156005859375,22,STANDARD,0,R_A2,15,0.6633689999580383,302.652099609375,30
2018-01-01,0.0,302.7904968261719,16,1671.21875,22,STANDARD,0,R_A2,16,0.9816569089889526,302.7904968261719,30
2018-01-01,0.0,302.92889404296875,17,1673.281494140625,22,STANDARD,0,R_A2,17,0.9268794655799866,302.92889404296875,30
2018-01-01,0.0,303.0586853027344,18,1675.2159423828125,22,STANDARD,0,R_A2,18,0.9720104932785034,303.0586853027344,30
2018-01-01,0.0,302.9010314941406,19,1672.8663330078125,22,STANDARD,0,R_A2,18,0.9413814544677734,302.9010314941406,29
2018-01-01,0.0,302.9747009277344,20,1673.9642333984375,22,STANDARD,0,R_A2,19,0.9934760332107544,302.9747009277344,29
2018-01-01,0.0,303.0455322265625,21,1675.020263671875,22,STANDARD,0,R_A2,25,1.0,303.0455322265625,29
