PRESSURE,SWAT,WELLMODEL,WELL,CONKPOS,DATE,CONIPOS,DEPTH,CONBPRES,CONJPOS,CONIDX,DRAWDOWN,SGAS
300.6733093261719,0.05649875849485397,STANDARD,R_A2,1,2018-01-01,22,1641.094970703125,300.6733093261719,30,1,0,0.0
300.7936096191406,0.05709094554185867,STANDARD,R_A2,2,2018-01-01,22,1642.8890380859375,300.7936096191406,30,2,0,0.0
300.9139099121094,0.06132970005273819,STANDARD,R_A2,3,2018-01-01,22,1644.68310546875,300.9139099121094,30,3,0,0.0
301.0342102050781,0.06751589477062225,STANDARD,R_A2,4,2018-01-01,22,1646.4771728515625,301.0342102050781,30,4,0,0.0
301.1545104980469,0.07101739197969437,STANDARD,R_A2,5,2018-01-01,22,1648.2713623046875,301.1545104980469,30,5,0,0.0
301.27484130859375,0.3220924139022827,STANDARD,R_A2,6,2018-01-01,22,1650.0654296875,301.27484130859375,30,6,0,0.0
301.3951721191406,0.6901668310165405,STANDARD,R_A2,7,2018-01-01,22,1651.859619140625,301.3951721191406,30,7,0,0.0
301.5154724121094,0.6481541991233826,STANDARD,R_A2,8,2018-01-01,22,1653.6536865234375,301.5154724121094,30,8,0,0.0
301.63580322265625,0.6481541991233826,STANDARD,R_A2,9,2018-01-01,22,1655.44775390625,301.63580322265625,30,9,0,0.0
301.7561340332031,0.9162277579307556,STANDARD,R_A2,10,2018-01-01,22,1657.2418212890625,301.7561340332031,30,10,0,0.0
301.88323974609375,0.07591938227415085,STANDARD,R_A2,11,2018-01-01,22,1659.1368408203125,301.88323974609375,30,11,0,0.0
302.01708984375,0.08079689741134644,STANDARD,R_A2,12,2018-01-01,22,1661.132568359375,302.01708984375,30,12,0,0.0
302.1509704589844,0.45630839467048645,STANDARD,R_A2,13,2018-01-01,22,1663.12841796875,302.1509704589844,30,13,0,0.0
302.28485107421875,0.503816545009613,STANDARD,R_A2,14,2018-01-01,22,1665.1241455078125,302.28485107421875,30,14,0,0.0
302.4187316894531,0.6866241097450256,STANDARD,R_A2,15,2018-01-01,22,1667.1199951171875,302.4187316894531,30,15,0,0.0
302.5526123046875,0.9751048684120178,STANDARD,R_A2,16,2018-01-01,22,1669.11572265625,302.5526123046875,30,16,0,0.0
302.6864929199219,0.9595911502838135,STANDARD,R_A2,17,2018-01-01,22,1671.111572265625,302.6864929199219,30,17,0,0.0
