SGAS,CONBPRES,WELL,CONIDX,CONKPOS,DEPTH,CONJPOS,PRESSURE,DATE,WELLMODEL,CONIPOS,SWAT,DRAWDOWN
0.0,300.689697265625,R_A2,1,1,1640.89013671875,30,300.689697265625,2018-01-01,STANDARD,22,0.054971206933259964,0
0.0,300.8111877441406,R_A2,2,2,1642.7017822265625,30,300.8111877441406,2018-01-01,STANDARD,22,0.05737530067563057,0
0.0,300.9326477050781,R_A2,3,3,1644.5133056640625,30,300.9326477050781,2018-01-01,STANDARD,22,0.059784822165966034,0
0.0,301.05413818359375,R_A2,4,4,1646.324951171875,30,301.05413818359375,2018-01-01,STANDARD,22,0.06704484671354294,0
0.0,301.1756286621094,R_A2,5,5,1648.1365966796875,30,301.1756286621094,2018-01-01,STANDARD,22,0.07043154537677765,0
0.0,301.297119140625,R_A2,6,6,1649.9482421875,30,301.297119140625,2018-01-01,STANDARD,22,0.30541056394577026,0
0.0,301.4186096191406,R_A2,7,7,1651.759765625,30,301.4186096191406,2018-01-01,STANDARD,22,0.6481541991233826,0
0.0,301.54010009765625,R_A2,8,8,1653.5714111328125,30,301.54010009765625,2018-01-01,STANDARD,22,0.3093395233154297,0
0.0,301.66162109375,R_A2,9,9,1655.383056640625,30,301.66162109375,2018-01-01,STANDARD,22,0.8925487995147705,0
0.0,301.7831115722656,R_A2,10,10,1657.1947021484375,30,301.7831115722656,2018-01-01,STANDARD,22,0.9143564701080322,0
0.0,301.90924072265625,R_A2,11,11,1659.0751953125,30,301.90924072265625,2018-01-01,STANDARD,22,0.0746636837720871,0
0.0,302.03997802734375,R_A2,12,12,1661.024169921875,30,302.03997802734375,2018-01-01,STANDARD,22,0.07732918858528137,0
0.0,302.17071533203125,R_A2,13,13,1662.9732666015625,30,302.17071533203125,2018-01-01,STANDARD,22,0.43868488073349,0
0.0,302.30145263671875,R_A2,14,14,1664.92236328125,30,302.30145263671875,2018-01-01,STANDARD,22,0.47864705324172974,0
0.0,302.43218994140625,R_A2,15,15,1666.8714599609375,30,302.43218994140625,2018-01-01,STANDARD,22,0.6753737926483154,0
0.0,302.5629577636719,R_A2,16,16,1668.820556640625,30,302.5629577636719,2018-01-01,STANDARD,22,0.9528170228004456,0
0.0,302.6936950683594,R_A2,17,17,1670.7696533203125,30,302.6936950683594,2018-01-01,STANDARD,22,0.9388614296913147,0
0.0,302.5906677246094,R_A2,18,17,1669.233642578125,29,302.5906677246094,2018-01-01,STANDARD,22,0.908640444278717,0
0.0,302.7295227050781,R_A2,19,18,1671.303466796875,29,302.7295227050781,2018-01-01,STANDARD,22,0.9455150365829468,0
0.0,302.8221130371094,R_A2,20,19,1672.68359375,29,302.8221130371094,2018-01-01,STANDARD,22,0.934345543384552,0
0.0,302.90740966796875,R_A2,21,27,1673.955078125,29,302.90740966796875,2018-01-01,STANDARD,22,1.0,0
0.0,303.0308837890625,R_A2,22,28,1675.795654296875,29,303.0308837890625,2018-01-01,STANDARD,22,1.0,0
0.0,303.1543884277344,R_A2,23,29,1677.6361083984375,29,303.1543884277344,2018-01-01,STANDARD,22,1.0,0
0.0,303.62396240234375,R_A2,24,30,1679.4765625,29,303.62396240234375,2018-01-01,STANDARD,22,1.0,0
0.0,303.7983703613281,R_A2,25,31,1681.317138671875,29,303.7983703613281,2018-01-01,STANDARD,22,1.0,0
0.0,298.33233642578125,R_A3,1,1,1605.72265625,41,298.33233642578125,2018-01-01,STANDARD,28,0.21493084728717804,0
0.0,298.4605407714844,R_A3,2,2,1607.635986328125,41,298.4605407714844,2018-01-01,STANDARD,28,0.1942828893661499,0
0.0,298.19873046875,R_A3,3,2,1603.729248046875,41,298.19873046875,2018-01-01,STANDARD,29,0.19148728251457214,0
0.0,298.3345031738281,R_A3,4,3,1605.7552490234375,41,298.3345031738281,2018-01-01,STANDARD,29,0.18714341521263123,0
0.0,298.4703063964844,R_A3,5,4,1607.7813720703125,41,298.4703063964844,2018-01-01,STANDARD,29,0.36485835909843445,0
0.0,298.6060791015625,R_A3,6,5,1609.8074951171875,41,298.6060791015625,2018-01-01,STANDARD,29,0.811771035194397,0
0.0,298.7418518066406,R_A3,7,6,1611.8336181640625,41,298.7418518066406,2018-01-01,STANDARD,29,0.6481541991233826,0
0.0,298.8776550292969,R_A3,8,7,1613.8597412109375,41,298.8776550292969,2018-01-01,STANDARD,29,0.19771768152713776,0
0.0,299.0134582519531,R_A3,9,8,1615.8858642578125,41,299.0134582519531,2018-01-01,STANDARD,29,0.19994595646858215,0
0.0,299.1492614746094,R_A3,10,9,1617.9119873046875,41,299.1492614746094,2018-01-01,STANDARD,29,0.8010072112083435,0
0.0,299.2850646972656,R_A3,11,10,1619.9381103515625,41,299.2850646972656,2018-01-01,STANDARD,29,0.8079673051834106,0
0.0,299.42919921875,R_A3,12,11,1622.08837890625,41,299.42919921875,2018-01-01,STANDARD,29,0.04846074804663658,0
0.0,299.5816345214844,R_A3,13,12,1624.3626708984375,41,299.5816345214844,2018-01-01,STANDARD,29,0.0547674298286438,0
0.0,299.7341003417969,R_A3,14,13,1626.636962890625,41,299.7341003417969,2018-01-01,STANDARD,29,0.38021060824394226,0
0.0,299.8865661621094,R_A3,15,14,1628.9112548828125,41,299.8865661621094,2018-01-01,STANDARD,29,0.2440313994884491,0
0.0,300.0390319824219,R_A3,16,15,1631.185546875,41,300.0390319824219,2018-01-01,STANDARD,29,0.49096444249153137,0
0.0,300.15765380859375,R_A3,17,16,1632.9547119140625,41,300.15765380859375,2018-01-01,STANDARD,29,0.814721941947937,0
0.0,300.3153991699219,R_A3,18,27,1635.3074951171875,41,300.3153991699219,2018-01-01,STANDARD,29,1.0,0
0.0,300.546142578125,R_A3,19,28,1638.7491455078125,41,300.546142578125,2018-01-01,STANDARD,29,0.04520154744386673,0
0.0,300.77691650390625,R_A3,20,29,1642.190673828125,41,300.77691650390625,2018-01-01,STANDARD,29,0.05132608860731125,0
0.0,301.0076904296875,R_A3,21,30,1645.63232421875,41,301.0076904296875,2018-01-01,STANDARD,29,0.8154512047767639,0
0.0,301.2384948730469,R_A3,22,31,1649.073974609375,41,301.2384948730469,2018-01-01,STANDARD,29,0.06279337406158447,0
0.0,299.9789733886719,R_A4,1,1,1630.289794921875,52,299.9789733886719,2018-01-01,STANDARD,30,0.04973641037940979,0
0.0,299.7673034667969,R_A4,2,1,1627.13232421875,52,299.7673034667969,2018-01-01,STANDARD,31,0.04928436875343323,0
0.0,299.9034423828125,R_A4,3,2,1629.1630859375,52,299.9034423828125,2018-01-01,STANDARD,31,0.05108696594834328,0
0.0,300.03961181640625,R_A4,4,3,1631.19384765625,52,300.03961181640625,2018-01-01,STANDARD,31,0.05133013427257538,0
0.0,300.1757507324219,R_A4,5,4,1633.224609375,52,300.1757507324219,2018-01-01,STANDARD,31,0.053379837423563004,0
0.0,299.9499816894531,R_A4,6,4,1629.85693359375,52,299.9499816894531,2018-01-01,STANDARD,32,0.05410335958003998,0
0.0,300.0765075683594,R_A4,7,5,1631.744384765625,52,300.0765075683594,2018-01-01,STANDARD,32,0.05449257045984268,0
