DRAWDOWN,PRESSURE,CONIPOS,CONKPOS,WELL,SWAT,CONBPRES,CONJPOS,CONIDX,DEPTH,DATE,SGAS,WELLMODEL
0,300.8115234375,22,1,R_A2,0.11120891571044922,300.8115234375,30,1,1641.094970703125,2018-01-01,0.0,STANDARD
0,300.93182373046875,22,2,R_A2,0.05554599314928055,300.93182373046875,30,2,1642.8890380859375,2018-01-01,0.0,STANDARD
0,301.0521545410156,22,3,R_A2,0.12114735692739487,301.0521545410156,30,3,1644.68310546875,2018-01-01,0.0,STANDARD
0,301.1724548339844,22,4,R_A2,0.10251869261264801,301.1724548339844,30,4,1646.4771728515625,2018-01-01,0.0,STANDARD
0,301.29278564453125,22,5,R_A2,0.10502622276544571,301.29278564453125,30,5,1648.2713623046875,2018-01-01,0.0,STANDARD
0,301.4130859375,22,6,R_A2,0.30607619881629944,301.4130859375,30,6,1650.0654296875,2018-01-01,0.0,STANDARD
0,301.5334167480469,22,7,R_A2,0.875737190246582,301.5334167480469,30,7,1651.859619140625,2018-01-01,0.0,STANDARD
0,301.65374755859375,22,8,R_A2,0.8509836196899414,301.65374755859375,30,8,1653.6536865234375,2018-01-01,0.0,STANDARD
0,301.7740783691406,22,9,R_A2,0.8881260752677917,301.7740783691406,30,9,1655.44775390625,2018-01-01,0.0,STANDARD
0,301.8944091796875,22,10,R_A2,0.8776347637176514,301.8944091796875,30,10,1657.2418212890625,2018-01-01,0.0,STANDARD
0,302.0215148925781,22,11,R_A2,0.06771673262119293,302.0215148925781,30,11,1659.1368408203125,2018-01-01,0.0,STANDARD
0,302.1553649902344,22,12,R_A2,0.07077869027853012,302.1553649902344,30,12,1661.132568359375,2018-01-01,0.0,STANDARD
0,302.28924560546875,22,13,R_A2,0.4232785701751709,302.28924560546875,30,13,1663.12841796875,2018-01-01,0.0,STANDARD
0,302.4231262207031,22,14,R_A2,0.47008830308914185,302.4231262207031,30,14,1665.1241455078125,2018-01-01,0.0,STANDARD
0,302.5570068359375,22,15,R_A2,0.6616412401199341,302.5570068359375,30,15,1667.1199951171875,2018-01-01,0.0,STANDARD
0,302.6908874511719,22,16,R_A2,0.9258795976638794,302.6908874511719,30,16,1669.11572265625,2018-01-01,0.0,STANDARD
0,302.8247985839844,22,17,R_A2,0.8721986413002014,302.8247985839844,30,17,1671.111572265625,2018-01-01,0.0,STANDARD
0,302.95068359375,22,18,R_A2,0.9225906729698181,302.95068359375,30,18,1672.9881591796875,2018-01-01,0.0,STANDARD
0,303.03399658203125,22,18,R_A2,0.945226788520813,303.03399658203125,29,19,1674.229736328125,2018-01-01,0.0,STANDARD
0,303.16400146484375,22,27,R_A2,1.0,303.16400146484375,29,20,1676.1676025390625,2018-01-01,0.0,STANDARD
0,303.28271484375,22,28,R_A2,1.0,303.28271484375,29,21,1677.9368896484375,2018-01-01,0.0,STANDARD
0,303.40142822265625,22,29,R_A2,1.0,303.40142822265625,29,22,1679.7061767578125,2018-01-01,0.0,STANDARD
0,303.5201416015625,22,30,R_A2,1.0,303.5201416015625,29,23,1681.4754638671875,2018-01-01,0.0,STANDARD
0,303.98101806640625,22,31,R_A2,1.0,303.98101806640625,29,24,1683.2447509765625,2018-01-01,0.0,STANDARD
0,298.6763000488281,28,1,R_A3,0.6481541991233826,298.6763000488281,41,1,1609.243408203125,2018-01-01,0.0,STANDARD
0,298.8146667480469,28,2,R_A3,0.11823459714651108,298.8146667480469,41,2,1611.3077392578125,2018-01-01,0.0,STANDARD
0,298.9530334472656,28,3,R_A3,0.17153412103652954,298.9530334472656,41,3,1613.3720703125,2018-01-01,0.0,STANDARD
0,299.09136962890625,28,4,R_A3,0.18515248596668243,299.09136962890625,41,4,1615.4365234375,2018-01-01,0.0,STANDARD
0,299.2297668457031,28,5,R_A3,0.6481541991233826,299.2297668457031,41,5,1617.5008544921875,2018-01-01,0.0,STANDARD
0,299.3681335449219,28,6,R_A3,0.25423604249954224,299.3681335449219,41,6,1619.565185546875,2018-01-01,0.0,STANDARD
0,298.6845397949219,29,6,R_A3,0.22600403428077698,298.6845397949219,41,7,1609.3663330078125,2018-01-01,0.0,STANDARD
0,298.8219299316406,29,7,R_A3,0.19281315803527832,298.8219299316406,41,8,1611.4163818359375,2018-01-01,0.0,STANDARD
0,298.9593200683594,29,8,R_A3,0.23796041309833527,298.9593200683594,41,9,1613.46630859375,2018-01-01,0.0,STANDARD
