CONKPOS,SGAS,DATE,CONJPOS,CONIPOS,PRESSURE,CONIDX,DEPTH,DRAWDOWN,WELL,SWAT,CONBPRES,WELLMODEL
1,0.0,2018-01-01,30,22,300.6733093261719,1,1641.094970703125,0,R_A2,0.056692592799663544,300.6733093261719,STANDARD
2,0.0,2018-01-01,30,22,300.7936096191406,2,1642.8890380859375,0,R_A2,0.05867929756641388,300.7936096191406,STANDARD
3,0.0,2018-01-01,30,22,300.9139099121094,3,1644.68310546875,0,R_A2,0.061895012855529785,300.9139099121094,STANDARD
4,0.0,2018-01-01,30,22,301.0342102050781,4,1646.4771728515625,0,R_A2,0.06773295253515244,301.0342102050781,STANDARD
5,0.0,2018-01-01,30,22,301.1545104980469,5,1648.2713623046875,0,R_A2,0.07102545350790024,301.1545104980469,STANDARD
6,0.0,2018-01-01,30,22,301.27484130859375,6,1650.0654296875,0,R_A2,0.32000941038131714,301.27484130859375,STANDARD
7,0.0,2018-01-01,30,22,301.3951721191406,7,1651.859619140625,0,R_A2,0.8964528441429138,301.3951721191406,STANDARD
8,0.0,2018-01-01,30,22,301.5154724121094,8,1653.6536865234375,0,R_A2,0.721605658531189,301.5154724121094,STANDARD
9,0.0,2018-01-01,30,22,301.63580322265625,9,1655.44775390625,0,R_A2,0.8981422781944275,301.63580322265625,STANDARD
10,0.0,2018-01-01,30,22,301.7561340332031,10,1657.2418212890625,0,R_A2,0.9288972020149231,301.7561340332031,STANDARD
11,0.0,2018-01-01,30,22,301.88323974609375,11,1659.1368408203125,0,R_A2,0.0764261856675148,301.88323974609375,STANDARD
12,0.0,2018-01-01,30,22,302.01708984375,12,1661.132568359375,0,R_A2,0.07991793006658554,302.01708984375,STANDARD
13,0.0,2018-01-01,30,22,302.1509704589844,13,1663.12841796875,0,R_A2,0.44190388917922974,302.1509704589844,STANDARD
14,0.0,2018-01-01,30,22,302.28485107421875,14,1665.1241455078125,0,R_A2,0.5030866861343384,302.28485107421875,STANDARD
15,0.0,2018-01-01,30,22,302.4187316894531,15,1667.1199951171875,0,R_A2,0.6875477433204651,302.4187316894531,STANDARD
16,0.0,2018-01-01,30,22,302.5526123046875,16,1669.11572265625,0,R_A2,0.9696621894836426,302.5526123046875,STANDARD
17,0.0,2018-01-01,30,22,302.6864929199219,17,1671.111572265625,0,R_A2,0.9681722521781921,302.6864929199219,STANDARD
18,0.0,2018-01-01,30,22,302.8123779296875,18,1672.9881591796875,0,R_A2,0.988319993019104,302.8123779296875,STANDARD
18,0.0,2018-01-01,29,22,302.89569091796875,19,1674.229736328125,0,R_A2,0.9956573843955994,302.89569091796875,STANDARD
27,0.0,2018-01-01,29,22,303.02569580078125,20,1676.1676025390625,0,R_A2,1.0,303.02569580078125,STANDARD
28,0.0,2018-01-01,29,22,303.47802734375,21,1677.9368896484375,0,R_A2,1.0,303.47802734375,STANDARD
29,0.0,2018-01-01,29,22,303.64569091796875,22,1679.7061767578125,0,R_A2,1.0,303.64569091796875,STANDARD
30,0.0,2018-01-01,29,22,303.8133544921875,23,1681.4754638671875,0,R_A2,1.0,303.8133544921875,STANDARD
31,0.0,2018-01-01,29,22,303.98101806640625,24,1683.2447509765625,0,R_A2,1.0,303.98101806640625,STANDARD
1,0.0,2018-01-01,41,28,298.53814697265625,1,1609.243408203125,0,R_A3,0.6481541991233826,298.53814697265625,STANDARD
2,0.0,2018-01-01,41,28,298.676513671875,2,1611.3077392578125,0,R_A3,0.19344687461853027,298.676513671875,STANDARD
3,0.0,2018-01-01,41,28,298.8148498535156,3,1613.3720703125,0,R_A3,0.19432701170444489,298.8148498535156,STANDARD
4,0.0,2018-01-01,41,28,298.9532165527344,4,1615.4365234375,0,R_A3,0.24996744096279144,298.9532165527344,STANDARD
5,0.0,2018-01-01,41,28,299.0915832519531,5,1617.5008544921875,0,R_A3,0.6481541991233826,299.0915832519531,STANDARD
6,0.0,2018-01-01,41,28,299.2299499511719,6,1619.565185546875,0,R_A3,0.1498473584651947,299.2299499511719,STANDARD
6,0.0,2018-01-01,41,29,298.54638671875,7,1609.3663330078125,0,R_A3,0.2754424512386322,298.54638671875,STANDARD
7,0.0,2018-01-01,41,29,298.68377685546875,8,1611.4163818359375,0,R_A3,0.19882161915302277,298.68377685546875,STANDARD
8,0.0,2018-01-01,41,29,298.8211669921875,9,1613.46630859375,0,R_A3,0.1460786610841751,298.8211669921875,STANDARD
9,0.0,2018-01-01,41,29,298.95855712890625,10,1615.516357421875,0,R_A3,0.6481541991233826,298.95855712890625,STANDARD
10,0.0,2018-01-01,41,29,299.095947265625,11,1617.5662841796875,0,R_A3,0.8030344843864441,299.095947265625,STANDARD
11,0.0,2018-01-01,41,29,299.24237060546875,12,1619.750732421875,0,R_A3,0.04831019043922424,299.24237060546875,STANDARD
12,0.0,2018-01-01,41,29,299.3978271484375,13,1622.0697021484375,0,R_A3,0.053891588002443314,299.3978271484375,STANDARD
13,0.0,2018-01-01,41,29,299.5532531738281,14,1624.388671875,0,R_A3,0.37262097001075745,299.5532531738281,STANDARD
14,0.0,2018-01-01,41,29,299.7087097167969,15,1626.707763671875,0,R_A3,0.3456023037433624,299.7087097167969,STANDARD
15,0.0,2018-01-01,41,29,299.8641662597656,16,1629.026611328125,0,R_A3,0.49332767724990845,299.8641662597656,STANDARD
16,0.0,2018-01-01,41,29,299.992919921875,17,1630.9468994140625,0,R_A3,0.8019264936447144,299.992919921875,STANDARD
27,0.0,2018-01-01,41,29,300.16583251953125,18,1633.5262451171875,0,R_A3,0.6481541991233826,300.16583251953125,STANDARD
28,0.0,2018-01-01,41,29,300.40966796875,19,1637.1630859375,0,R_A3,0.04582946002483368,300.40966796875,STANDARD
29,0.0,2018-01-01,41,29,300.6535339355469,20,1640.8001708984375,0,R_A3,0.05228268727660179,300.6535339355469,STANDARD
30,0.0,2018-01-01,41,29,300.89739990234375,21,1644.4371337890625,0,R_A3,0.6481541991233826,300.89739990234375,STANDARD
31,0.0,2018-01-01,41,29,301.14129638671875,22,1648.0740966796875,0,R_A3,0.06127921864390373,301.14129638671875,STANDARD
1,0.0,2018-01-01,52,30,300.009033203125,1,1631.1873779296875,0,R_A4,0.05178655683994293,300.009033203125,STANDARD
1,0.0,2018-01-01,52,31,299.7571105957031,2,1627.4293212890625,0,R_A4,0.050683874636888504,299.7571105957031,STANDARD
2,0.0,2018-01-01,52,31,299.89520263671875,3,1629.4896240234375,0,R_A4,0.051592472940683365,299.89520263671875,STANDARD
3,0.0,2018-01-01,52,31,300.0333251953125,4,1631.5498046875,0,R_A4,0.053491584956645966,300.0333251953125,STANDARD
4,0.0,2018-01-01,52,31,300.17144775390625,5,1633.610107421875,0,R_A4,0.6481541991233826,300.17144775390625,STANDARD
4,0.0,2018-01-01,52,32,300.0901184082031,6,1632.3968505859375,0,R_A4,0.05713524669408798,300.0901184082031,STANDARD
4,0.0,2018-01-01,51,32,300.3236999511719,7,1635.880615234375,0,R_A4,0.6481541991233826,300.3236999511719,STANDARD
4,0.0,2018-01-01,51,33,300.4202575683594,8,1637.321044921875,0,R_A4,0.6481541991233826,300.4202575683594,STANDARD
3,0.0,2018-01-01,51,33,300.29644775390625,9,1635.474609375,0,R_A4,0.05947340279817581,300.29644775390625,STANDARD
4,0.0,2018-01-01,50,33,300.74395751953125,10,1642.1485595703125,0,R_A4,0.6481541991233826,300.74395751953125,STANDARD
4,0.0,2018-01-01,50,34,300.67578125,11,1641.132080078125,0,R_A4,0.09878486394882202,300.67578125,STANDARD
3,0.0,2018-01-01,50,34,300.5467224121094,12,1639.20703125,0,R_A4,0.15478037297725677,300.5467224121094,STANDARD
3,0.0,2018-01-01,50,35,300.66064453125,13,1640.9061279296875,0,R_A4,0.2293243557214737,300.66064453125,STANDARD
2,0.0,2018-01-01,50,35,300.53570556640625,14,1639.0426025390625,0,R_A4,0.2288455367088318,300.53570556640625,STANDARD
2,0.0,2018-01-01,49,35,300.72943115234375,15,1641.93212890625,0,R_A4,0.24109753966331482,300.72943115234375,STANDARD
30,0.0,2018-01-01,49,36,300.7579650878906,16,1642.357421875,0,R_A4,0.05171753093600273,300.7579650878906,STANDARD
30,0.0,2018-01-01,48,36,300.5735168457031,17,1639.6068115234375,0,R_A4,0.194771870970726,300.5735168457031,STANDARD
30,0.0,2018-01-01,48,37,301.0526123046875,18,1646.7513427734375,0,R_A4,0.09849477559328079,301.0526123046875,STANDARD
30,0.0,2018-01-01,48,38,301.5025939941406,19,1653.461669921875,0,R_A4,0.10194094479084015,301.5025939941406,STANDARD
30,0.0,2018-01-01,47,38,301.7947998046875,20,1657.8184814453125,0,R_A4,0.11428860574960709,301.7947998046875,STANDARD
1,0.0,2018-01-01,20,31,303.8440856933594,1,1685.026611328125,0,R_A5,1.0,303.8440856933594,STANDARD
2,0.0,2018-01-01,20,31,304.0601806640625,2,1687.3070068359375,0,R_A5,1.0,304.0601806640625,STANDARD
3,0.0,2018-01-01,20,31,304.58209228515625,3,1689.5875244140625,0,R_A5,1.0,304.58209228515625,STANDARD
4,0.0,2018-01-01,20,31,304.4924011230469,4,1691.8680419921875,0,R_A5,1.0,304.4924011230469,STANDARD
